Fixed,,,,,,,,,,,,
,,,,,,,,,,,,
Table 1: Summary of network access & call revenues (£millions),,,,,,,,,,,,
,,,,,,,,,,,,
,All Operators,BT2,Virgin Media,Other,,BT share2,,,,,,
2010 Q1,"23,354","9,954","3,701","9,699",,42.60%,,,,,,
2010 Q2,"21,407","8,700","3,306","9,401",,40.60%,,,,,,
2010 Q3,"21,286","8,566","3,250","9,470",,40.20%,,,,,,
2010 Q4,"21,680","8,969","3,375","9,336",,41.40%,,,,,,
2011 Q1,"20,824","8,362","3,169","9,293",,40.20%,,,,,,
2011 Q2,"19,569","7,668","2,909","8,992",,39.20%,,,,,,
2011 Q3,"18,964","7,606","2,858","8,500",,40.10%,,,,,,
2011 Q4,"18,834","7,470","2,855","8,509",,39.70%,,,,,,
2012 Q1,"18,852","7,483","2,828","8,541",,39.70%,,,,,,
2012 Q2,"17,874","7,072","2,652","8,150",,39.60%,,,,,,
2012 Q3,"17,403","6,859","2,568","7,976",,39.40%,,,,,,
2012 Q4,"17,374","6,896","2,566","7,912",,39.70%,,,,,,
2013 Q1,"17,321","6,934","2,547","7,840",,40.00%,,,,,,
2013 Q2,"15,945","6,371","2,333","7,241",,40.00%,,,,,,
2013 Q3,"15,252","5,995","2,271","6,986",,39.30%,,,,,,
2013 Q4,"15,160","5,918","2,299","6,943",,39.00%,,,,,,
2014 Q1,"14,555","5,583","2,227","6,745",,38.40%,,,,,,
2014 Q2,"13,919","5,514","2,075","6,330",,39.60%,,,,,,
2014 Q3,"13,664","5,441","2,045","6,178",,39.80%,,,,,,
2014 Q4,"13,612","5,446","2,045","6,121",,40.00%,,,,,,
2015 Q1,"13,576","5,353","1,998","6,225",,39.40%,,,,,,
2015 Q2,"12,289","4,901","1,827","5,561",,39.90%,,,,,,
2015 Q3,"12,066","4,815","1,778","5,473",,39.90%,,,,,,
2015 Q4,"11,995","4,778","1,779","5,438",,39.80%,,,,,,
2016 Q1,"11,751","4,668","1,746","5,337",,39.70%,,,,,,
2016 Q2,"10,909","4,382","1,618","4,909",,40.20%,,,,,,
2016 Q3,"10,388","4,224","1,461","4,703",,40.70%,,,,,,
2016 Q4,"10,229","4,234","1,238","4,757",,41.40%,,,,,,
2017 Q1,"9,748","4,118","1,030","4,600",,42.20%,,,,,,
2017 Q2,"8,642","3,632",836,"4,174",,42.00%,,,,,,
2017 Q3,"8,299","3,557",814,"3,928",,42.90%,,,,,,
2017 Q4,"8,279","3,936",738,"3,605",,47.50%,,,,,,
2018 Q1,"8,068","3,903",668,"3,497",,48.40%,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Table 9: Summary of residential call revenues by call type (£millions),,,,,,,,,,,,
,,,,,,,,,,,,
,All calls,UK geographic calls,International calls,Calls to mobiles,Other calls1,,,,,,,
,,,,,,,,,,,,
2007,"3,091",830,318,956,987,,,,,,,
2008,"2,973",834,318,939,882,,,,,,,
2009,"2,894",877,299,872,846,,,,,,,
2010,"2,829",898,289,810,832,,,,,,,
2011,"2,441",790,237,675,739,,,,,,,
2012,"2,145",733,198,566,649,,,,,,,
2013,"1,936",677,155,488,616,,,,,,,
2014,"1,759",571,132,430,625,,,,,,,
2015,"1,594",498,123,369,604,,,,,,,
2016,"1,404",428,111,270,596,,,,,,,
2017,"1,222",362,89,228,543,,,,,,,
,,,,,,,,,,,,
2007 Q1,796,216,78,229,273,,,,,,,
2007 Q2,751,196,79,230,246,,,,,,,
2007 Q3,759,204,80,244,231,,,,,,,
2007 Q4,786,214,81,254,237,,,,,,,
2008 Q1,757,202,80,244,230,,,,,,,
2008 Q2,755,213,81,240,220,,,,,,,
2008 Q3,726,207,79,230,211,,,,,,,
2008 Q4,735,212,78,224,221,,,,,,,
2009 Q1,695,210,75,214,196,,,,,,,
2009 Q2,725,211,74,220,219,,,,,,,
2009 Q3,710,214,75,215,206,,,,,,,
2009 Q4,764,242,76,222,224,,,,,,,
2010 Q1,721,229,75,209,208,,,,,,,
2010 Q2,702,217,71,204,210,,,,,,,
2010 Q3,692,214,71,199,208,,,,,,,
2010 Q4,714,238,72,198,206,,,,,,,
2011 Q1,657,212,65,180,200,,,,,,,
2011 Q2,609,194,59,171,185,,,,,,,
2011 Q3,598,194,57,167,180,,,,,,,
2011 Q4,577,190,55,158,174,,,,,,,
2012 Q1,549,184,51,146,168,,,,,,,
2012 Q2,537,181,49,144,163,,,,,,,
2012 Q3,535,184,49,141,161,,,,,,,
2012 Q4,524,184,48,135,158,,,,,,,
2013 Q1,507,185,42,127,154,,,,,,,
2013 Q2,483,167,39,122,154,,,,,,,
2013 Q3,477,164,38,122,154,,,,,,,
2013 Q4,469,161,36,117,154,,,,,,,
2014 Q1,453,152,34,109,157,,,,,,,
2014 Q2,442,141,33,109,158,,,,,,,
2014 Q3,437,139,33,108,157,,,,,,,
2014 Q4,427,139,32,104,152,,,,,,,
2015 Q1,413,134,31,96,152,,,,,,,
2015 Q2,392,120,31,94,148,,,,,,,
2015 Q3,398,120,30,93,155,,,,,,,
2015 Q4,391,123,32,87,150,,,,,,,
2016 Q1,363,116,30,71,145,,,,,,,
2016 Q2,346,105,28,68,145,,,,,,,
2016 Q3,354,105,27,67,155,,,,,,,
2016 Q4,341,102,26,62,151,,,,,,,
2017 Q1,315,98,24,58,135,,,,,,,
2017 Q2,310,91,22,59,138,,,,,,,
2017 Q3,304,87,21,56,139,,,,,,,
2017 Q4,293,86,21,55,130,,,,,,,
2018 Q1,292,87,20,54,131,,,,,,,
,,,,,,,,,,,,
"Excludes VAT; 1 Includes freephone, special services, premium rate, directory enquiries and all other call",,,,,,,,,,,,
types; Figures are not intended to include subscription revenues for internet access although some,,,,,,,,,,,,
element may remain; 2 Includes EE from 2017 Q4.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Table 10: Summary of residential call volumes by call type (millions of minutes),,,,,,,,,,,,
,,,,,,,,,,,,
,All Operators,BT2,Virgin Media,Other,,BT share2,,,,,,
,,,,,,,,,,,,
UK geographic calls,,,,,,,,,,,,
2007,"66,784","34,715","12,469","19,600",,52.00%,,,,,,
2008,"65,138","31,450","12,037","21,651",,48.30%,,,,,,
2009,"63,733","28,215","11,079","24,439",,44.30%,,,,,,
2010,"62,582","25,620","10,195","26,767",,40.90%,,,,,,
2011,"56,397","22,570","8,867","24,960",,40.00%,,,,,,
2012,"51,944","21,051","8,062","22,831",,40.50%,,,,,,
2013,"45,912","18,388","7,202","20,322",,40.10%,,,,,,
2014,"40,197","16,284","6,437","17,476",,40.50%,,,,,,
2015,"35,586","14,696","5,851","15,039",,41.30%,,,,,,
2016,"30,471","12,967","4,900","12,604",,42.60%,,,,,,
2017,"24,705","11,392","2,746","10,567",,46.10%,,,,,,
,,,,,,,,,,,,
2007 Q1,"17,639","9,440","3,305","4,894",,53.50%,,,,,,
2007 Q2,"16,548","8,702","3,059","4,787",,52.60%,,,,,,
2007 Q3,"16,128","8,354","2,936","4,838",,51.80%,,,,,,
2007 Q4,"16,470","8,219","3,169","5,082",,49.90%,,,,,,
2008 Q1,"16,929","8,347","3,198","5,384",,49.30%,,,,,,
2008 Q2,"16,062","7,772","2,977","5,313",,48.40%,,,,,,
2008 Q3,"15,863","7,587","2,867","5,409",,47.80%,,,,,,
2008 Q4,"16,285","7,744","2,995","5,546",,47.60%,,,,,,
2009 Q1,"16,406","7,668","2,971","5,767",,46.70%,,,,,,
2009 Q2,"15,364","6,816","2,678","5,870",,44.40%,,,,,,
2009 Q3,"15,380","6,695","2,658","6,027",,43.50%,,,,,,
2009 Q4,"16,582","7,036","2,772","6,774",,42.40%,,,,,,
2010 Q1,"16,762","7,026","2,795","6,941",,41.90%,,,,,,
2010 Q2,"14,963","6,081","2,448","6,434",,40.60%,,,,,,
2010 Q3,"15,116","5,977","2,391","6,748",,39.50%,,,,,,
2010 Q4,"15,741","6,536","2,561","6,644",,41.50%,,,,,,
2011 Q1,"14,980","6,053","2,394","6,533",,40.40%,,,,,,
2011 Q2,"13,945","5,523","2,173","6,249",,39.60%,,,,,,
2011 Q3,"13,755","5,485","2,130","6,140",,39.90%,,,,,,
2011 Q4,"13,716","5,509","2,170","6,037",,40.20%,,,,,,
2012 Q1,"13,722","5,595","2,153","5,974",,40.80%,,,,,,
2012 Q2,"12,983","5,229","2,005","5,749",,40.30%,,,,,,
2012 Q3,"12,602","5,064","1,939","5,599",,40.20%,,,,,,
2012 Q4,"12,637","5,163","1,965","5,509",,40.90%,,,,,,
2013 Q1,"12,534","5,084","1,963","5,487",,40.60%,,,,,,
2013 Q2,"11,475","4,626","1,774","5,075",,40.30%,,,,,,
2013 Q3,"10,921","4,300","1,715","4,906",,39.40%,,,,,,
2013 Q4,"10,982","4,378","1,750","4,854",,39.90%,,,,,,
2014 Q1,"10,514","4,129","1,693","4,692",,39.30%,,,,,,
2014 Q2,"10,078","4,091","1,580","4,407",,40.60%,,,,,,
2014 Q3,"9,798","4,004","1,569","4,225",,40.90%,,,,,,
2014 Q4,"9,808","4,060","1,595","4,153",,41.40%,,,,,,
2015 Q1,"9,617","3,974","1,564","4,079",,41.30%,,,,,,
2015 Q2,"8,767","3,608","1,438","3,721",,41.20%,,,,,,
2015 Q3,"8,560","3,526","1,412","3,622",,41.20%,,,,,,
2015 Q4,"8,642","3,588","1,437","3,617",,41.50%,,,,,,
2016 Q1,"8,371","3,504","1,411","3,456",,41.90%,,,,,,
2016 Q2,"7,666","3,243","1,308","3,115",,42.30%,,,,,,
2016 Q3,"7,201","3,091","1,178","2,932",,42.90%,,,,,,
2016 Q4,"7,232","3,129","1,003","3,100",,43.30%,,,,,,
2017 Q1,"6,842","3,046",834,"2,962",,44.50%,,,,,,
2017 Q2,"6,109","2,745",672,"2,692",,44.90%,,,,,,
2017 Q3,"5,832","2,654",649,"2,529",,45.50%,,,,,,
2017 Q4,"5,921","2,947",591,"2,383",,49.80%,,,,,,
2018 Q1,"5,786","2,928",534,"2,324",,50.60%,,,,,,
,,,,,,,,,,,,
International calls,,,,,,,,,,,,
2007,"3,558","1,191",296,"2,071",,33.50%,,,,,,
2008,"4,145","1,243",307,"2,595",,30.00%,,,,,,
2009,"4,539","1,171",289,"3,079",,25.80%,,,,,,
2010,"4,722","1,053",284,"3,385",,22.30%,,,,,,
2011,"4,570",890,261,"3,419",,19.50%,,,,,,
2012,"4,111",743,239,"3,129",,18.10%,,,,,,
2013,"3,455",622,221,"2,612",,18.00%,,,,,,
2014,"3,015",548,203,"2,264",,18.20%,,,,,,
2015,"2,749",468,182,"2,099",,17.00%,,,,,,
2016,"2,169",398,152,"1,619",,18.40%,,,,,,
2017,"1,550",345,88,"1,117",,22.30%,,,,,,
,,,,,,,,,,,,
2007 Q1,837,301,63,473,,36.00%,,,,,,
2007 Q2,865,300,73,492,,34.70%,,,,,,
2007 Q3,903,298,78,527,,33.00%,,,,,,
2007 Q4,953,292,82,579,,30.70%,,,,,,
2008 Q1,"1,012",316,82,614,,31.20%,,,,,,
2008 Q2,"1,044",308,77,659,,29.50%,,,,,,
2008 Q3,"1,029",305,73,651,,29.60%,,,,,,
2008 Q4,"1,060",314,75,671,,29.60%,,,,,,
2009 Q1,"1,098",309,74,715,,28.10%,,,,,,
2009 Q2,"1,123",291,71,761,,25.90%,,,,,,
2009 Q3,"1,135",280,70,785,,24.70%,,,,,,
2009 Q4,"1,184",291,74,819,,24.60%,,,,,,
2010 Q1,"1,184",280,73,831,,23.60%,,,,,,
2010 Q2,"1,186",265,71,850,,22.40%,,,,,,
2010 Q3,"1,167",250,69,848,,21.40%,,,,,,
2010 Q4,"1,185",258,71,856,,21.80%,,,,,,
2011 Q1,"1,263",245,68,950,,19.40%,,,,,,
2011 Q2,"1,217",232,66,919,,19.10%,,,,,,
2011 Q3,"1,048",210,63,775,,20.00%,,,,,,
2011 Q4,"1,042",203,64,775,,19.50%,,,,,,
2012 Q1,"1,043",198,62,783,,19.00%,,,,,,
2012 Q2,"1,050",187,60,803,,17.80%,,,,,,
2012 Q3,"1,039",178,57,804,,17.10%,,,,,,
2012 Q4,979,180,60,739,,18.40%,,,,,,
2013 Q1,921,166,58,697,,18.00%,,,,,,
2013 Q2,882,160,55,667,,18.10%,,,,,,
2013 Q3,830,148,53,629,,17.80%,,,,,,
2013 Q4,822,148,55,619,,18.00%,,,,,,
2014 Q1,796,137,53,606,,17.20%,,,,,,
2014 Q2,758,140,51,567,,18.50%,,,,,,
2014 Q3,724,133,49,542,,18.40%,,,,,,
2014 Q4,738,138,50,550,,18.70%,,,,,,
2015 Q1,758,126,48,584,,16.60%,,,,,,
2015 Q2,686,119,45,522,,17.30%,,,,,,
2015 Q3,648,111,44,493,,17.10%,,,,,,
2015 Q4,657,112,45,500,,17.10%,,,,,,
2016 Q1,610,106,44,460,,17.40%,,,,,,
2016 Q2,573,103,41,429,,18.00%,,,,,,
2016 Q3,515,95,36,384,,18.50%,,,,,,
2016 Q4,470,94,31,345,,20.00%,,,,,,
2017 Q1,420,89,26,305,,21.20%,,,,,,
2017 Q2,380,81,22,277,,21.30%,,,,,,
2017 Q3,376,75,21,280,,19.90%,,,,,,
2017 Q4,375,100,19,256,,26.70%,,,,,,
2018 Q1,348,93,17,238,,26.70%,,,,,,
,,,,,,,,,,,,
Calls to mobiles,,,,,,,,,,,,
2007,"7,546","4,182","1,200","2,164",,55.40%,,,,,,
2008,"6,712","3,505",981,"2,226",,52.20%,,,,,,
2009,"6,021","2,869",792,"2,360",,47.70%,,,,,,
2010,"5,358","2,324",648,"2,386",,43.40%,,,,,,
2011,"4,471","1,852",528,"2,091",,41.40%,,,,,,
2012,"3,902","1,598",453,"1,851",,41.00%,,,,,,
2013,"3,351","1,326",445,"1,580",,39.60%,,,,,,
2014,"2,940","1,187",434,"1,319",,40.40%,,,,,,
2015,"2,735","1,084",388,"1,263",,39.60%,,,,,,
2016,"2,811","1,017",325,"1,469",,36.20%,,,,,,
2017,"2,586",939,185,"1,462",,36.30%,,,,,,
,,,,,,,,,,,,
2007 Q1,"1,957","1,108",316,533,,56.60%,,,,,,
2007 Q2,"1,924","1,083",308,533,,56.30%,,,,,,
2007 Q3,"1,864","1,038",289,537,,55.70%,,,,,,
2007 Q4,"1,801",953,287,561,,52.90%,,,,,,
2008 Q1,"1,766",933,266,567,,52.80%,,,,,,
2008 Q2,"1,714",901,253,560,,52.60%,,,,,,
2008 Q3,"1,649",858,236,555,,52.00%,,,,,,
2008 Q4,"1,584",813,226,545,,51.30%,,,,,,
2009 Q1,"1,515",760,210,545,,50.20%,,,,,,
2009 Q2,"1,507",728,202,577,,48.30%,,,,,,
2009 Q3,"1,517",704,195,618,,46.40%,,,,,,
2009 Q4,"1,482",677,185,620,,45.70%,,,,,,
2010 Q1,"1,403",629,171,603,,44.80%,,,,,,
2010 Q2,"1,337",583,163,591,,43.60%,,,,,,
2010 Q3,"1,324",559,158,607,,42.20%,,,,,,
2010 Q4,"1,295",553,156,586,,42.70%,,,,,,
2011 Q1,"1,181",485,137,559,,41.10%,,,,,,
2011 Q2,"1,150",467,133,550,,40.60%,,,,,,
2011 Q3,"1,092",463,131,498,,42.40%,,,,,,
2011 Q4,"1,048",437,127,484,,41.70%,,,,,,
2012 Q1,"1,010",419,119,472,,41.50%,,,,,,
2012 Q2,982,404,113,465,,41.10%,,,,,,
2012 Q3,967,395,111,461,,40.80%,,,,,,
2012 Q4,942,380,110,452,,40.30%,,,,,,
2013 Q1,878,351,108,419,,40.00%,,,,,,
2013 Q2,858,342,110,406,,39.80%,,,,,,
2013 Q3,828,323,113,392,,39.00%,,,,,,
2013 Q4,787,310,114,363,,39.40%,,,,,,
2014 Q1,736,284,109,343,,38.60%,,,,,,
2014 Q2,746,303,109,334,,40.60%,,,,,,
2014 Q3,738,304,108,326,,41.20%,,,,,,
2014 Q4,721,296,108,317,,41.00%,,,,,,
2015 Q1,698,279,101,318,,40.00%,,,,,,
2015 Q2,673,271,97,305,,40.30%,,,,,,
2015 Q3,678,270,95,313,,39.80%,,,,,,
2015 Q4,688,264,95,329,,38.40%,,,,,,
2016 Q1,686,250,91,345,,36.40%,,,,,,
2016 Q2,701,262,88,351,,37.40%,,,,,,
2016 Q3,683,257,79,347,,37.60%,,,,,,
2016 Q4,741,248,67,426,,33.50%,,,,,,
2017 Q1,707,240,54,413,,33.90%,,,,,,
2017 Q2,670,227,46,397,,33.90%,,,,,,
2017 Q3,608,223,45,340,,36.70%,,,,,,
2017 Q4,601,249,40,312,,41.50%,,,,,,
2018 Q1,580,241,35,304,,41.50%,,,,,,
,,,,,,,,,,,,
Other calls1,,,,,,,,,,,,
2007,"32,307","20,581","5,905","5,821",,63.70%,,,,,,
2008,"22,438","12,982","3,392","6,064",,57.90%,,,,,,
2009,"17,299","9,331","2,879","5,089",,53.90%,,,,,,
2010,"15,065","7,192","2,505","5,368",,47.70%,,,,,,
2011,"12,753","5,794","2,135","4,824",,45.40%,,,,,,
2012,"11,546","4,918","1,860","4,768",,42.60%,,,,,,
2013,"10,960","4,882","1,582","4,496",,44.50%,,,,,,
2014,"9,597","3,965","1,318","4,314",,41.30%,,,,,,
2015,"8,855","3,599",961,"4,295",,40.60%,,,,,,
2016,"7,826","3,126",686,"4,014",,39.90%,,,,,,
2017,"6,128","2,567",399,"3,162",,41.90%,,,,,,
,,,,,,,,,,,,
2007 Q1,"9,430","6,171","1,773","1,486",,65.40%,,,,,,
2007 Q2,"8,129","5,265","1,440","1,424",,64.80%,,,,,,
2007 Q3,"8,180","4,905","1,828","1,447",,60.00%,,,,,,
2007 Q4,"6,568","4,240",864,"1,464",,64.60%,,,,,,
2008 Q1,"6,269","3,966",845,"1,458",,63.30%,,,,,,
2008 Q2,"5,653","3,253",866,"1,534",,57.50%,,,,,,
2008 Q3,"5,747","3,033",868,"1,846",,52.80%,,,,,,
2008 Q4,"4,769","2,730",813,"1,226",,57.20%,,,,,,
2009 Q1,"4,620","2,617",776,"1,227",,56.60%,,,,,,
2009 Q2,"4,309","2,344",713,"1,252",,54.40%,,,,,,
2009 Q3,"4,286","2,284",719,"1,283",,53.30%,,,,,,
2009 Q4,"4,085","2,086",671,"1,328",,51.10%,,,,,,
2010 Q1,"4,005","2,019",662,"1,324",,50.40%,,,,,,
2010 Q2,"3,923","1,771",624,"1,528",,45.10%,,,,,,
2010 Q3,"3,679","1,780",632,"1,267",,48.40%,,,,,,
2010 Q4,"3,459","1,622",587,"1,250",,46.90%,,,,,,
2011 Q1,"3,399","1,579",570,"1,250",,46.50%,,,,,,
2011 Q2,"3,257","1,446",537,"1,274",,44.40%,,,,,,
2011 Q3,"3,069","1,448",534,"1,087",,47.20%,,,,,,
2011 Q4,"3,028","1,321",494,"1,213",,43.60%,,,,,,
2012 Q1,"3,077","1,271",494,"1,312",,41.30%,,,,,,
2012 Q2,"2,859","1,252",474,"1,133",,43.80%,,,,,,
2012 Q3,"2,794","1,222",461,"1,111",,43.70%,,,,,,
2012 Q4,"2,816","1,173",431,"1,212",,41.70%,,,,,,
2013 Q1,"2,988","1,333",418,"1,237",,44.60%,,,,,,
2013 Q2,"2,730","1,243",394,"1,093",,45.50%,,,,,,
2013 Q3,"2,673","1,224",390,"1,059",,45.80%,,,,,,
2013 Q4,"2,569","1,082",380,"1,107",,42.10%,,,,,,
2014 Q1,"2,509","1,033",372,"1,104",,41.20%,,,,,,
2014 Q2,"2,338",980,335,"1,023",,41.90%,,,,,,
2014 Q3,"2,405","1,000",319,"1,086",,41.60%,,,,,,
2014 Q4,"2,345",952,292,"1,101",,40.60%,,,,,,
2015 Q1,"2,503",974,285,"1,244",,38.90%,,,,,,
2015 Q2,"2,164",903,247,"1,014",,41.70%,,,,,,
2015 Q3,"2,180",908,227,"1,045",,41.70%,,,,,,
2015 Q4,"2,008",814,202,992,,40.50%,,,,,,
2016 Q1,"2,084",808,200,"1,076",,38.80%,,,,,,
2016 Q2,"1,969",774,181,"1,014",,39.30%,,,,,,
2016 Q3,"1,988",781,168,"1,039",,39.30%,,,,,,
2016 Q4,"1,786",763,137,886,,42.70%,,,,,,
2017 Q1,"1,779",743,116,920,,41.80%,,,,,,
2017 Q2,"1,484",579,96,809,,39.00%,,,,,,
2017 Q3,"1,482",605,99,778,,40.80%,,,,,,
2017 Q4,"1,382",640,88,654,,46.30%,,,,,,
2018 Q1,"1,353",641,82,630,,47.40%,,,,,,
,,,,,,,,,,,,
"1 Includes freephone, special services, premium rate, directory enquiries and all other call types; 2 Includes",,,,,,,,,,,,
EE from 2017 Q4.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Table 11: Summary of business network access & call revenues (£millions),,,,,,,,,,,,
,,,,,,,,,,,,
,All Operators,BT2,Virgin Media,Other,,BT share2,,,,,,
,,,,,,,,,,,,
Access & Calls1,,,,,,,,,,,,
2007,"4,114","2,321",161,"1,633",,56.40%,,,,,,
2008,"3,896","2,135",150,"1,612",,54.80%,,,,,,
2009,"3,524","1,885",108,"1,532",,53.50%,,,,,,
2010,"3,232","1,609",103,"1,519",,49.80%,,,,,,
2011,"3,103","1,531",97,"1,475",,49.30%,,,,,,
2012,"2,841","1,402",90,"1,349",,49.40%,,,,,,
2013,"2,723","1,330",84,"1,308",,48.90%,,,,,,
2014,"2,491","1,239",77,"1,176",,49.70%,,,,,,
2015,"2,299","1,168",75,"1,056",,50.80%,,,,,,
2016,"2,325","1,198",69,"1,058",,51.50%,,,,,,
2017,"2,179","1,125",64,989,,51.60%,,,,,,
,,,,,,,,,,,,
2007 Q1,"1,036",574,40,422,,55.40%,,,,,,
2007 Q2,"1,055",597,41,417,,56.60%,,,,,,
2007 Q3,"1,022",581,41,400,,56.90%,,,,,,
2007 Q4,"1,001",568,39,394,,56.70%,,,,,,
2008 Q1,994,562,38,393,,56.60%,,,,,,
2008 Q2,984,542,38,404,,55.10%,,,,,,
2008 Q3,977,526,37,414,,53.80%,,,,,,
2008 Q4,941,504,37,400,,53.60%,,,,,,
2009 Q1,913,500,28,385,,54.80%,,,,,,
2009 Q2,890,479,27,384,,53.80%,,,,,,
2009 Q3,867,464,27,375,,53.60%,,,,,,
2009 Q4,855,441,26,388,,51.60%,,,,,,
2010 Q1,844,424,26,393,,50.30%,,,,,,
2010 Q2,820,406,26,389,,49.50%,,,,,,
2010 Q3,794,391,25,378,,49.20%,,,,,,
2010 Q4,773,388,26,360,,50.10%,,,,,,
2011 Q1,815,399,26,390,,49.00%,,,,,,
2011 Q2,787,390,24,373,,49.60%,,,,,,
2011 Q3,749,370,24,356,,49.40%,,,,,,
2011 Q4,752,372,24,356,,49.40%,,,,,,
2012 Q1,732,360,24,347,,49.20%,,,,,,
2012 Q2,711,347,23,341,,48.80%,,,,,,
2012 Q3,714,357,23,335,,50.00%,,,,,,
2012 Q4,684,338,20,325,,49.50%,,,,,,
2013 Q1,693,339,21,333,,48.90%,,,,,,
2013 Q2,682,334,20,328,,49.00%,,,,,,
2013 Q3,654,317,22,315,,48.50%,,,,,,
2013 Q4,693,340,20,332,,49.10%,,,,,,
2014 Q1,658,328,20,311,,49.80%,,,,,,
2014 Q2,614,301,18,295,,49.00%,,,,,,
2014 Q3,612,305,20,288,,49.80%,,,,,,
2014 Q4,607,305,19,283,,50.30%,,,,,,
2015 Q1,578,290,20,268,,50.20%,,,,,,
2015 Q2,568,286,18,263,,50.40%,,,,,,
2015 Q3,579,297,18,264,,51.30%,,,,,,
2015 Q4,574,295,19,260,,51.30%,,,,,,
2016 Q1,561,283,18,260,,50.40%,,,,,,
2016 Q2,602,314,17,270,,52.30%,,,,,,
2016 Q3,585,306,17,262,,52.30%,,,,,,
2016 Q4,577,294,17,266,,51.00%,,,,,,
2017 Q1,576,297,17,262,,51.50%,,,,,,
2017 Q2,549,285,15,248,,52.00%,,,,,,
2017 Q3,539,280,16,243,,51.90%,,,,,,
2017 Q4,514,263,16,236,,51.10%,,,,,,
2018 Q1,501,257,15,228,,51.30%,,,,,,
,,,,,,,,,,,,
Access1,,,,,,,,,,,,
2007,"2,033","1,473",64,496,,72.50%,,,,,,
2008,"2,021","1,408",68,545,,69.70%,,,,,,
2009,"1,916","1,272",38,605,,66.40%,,,,,,
2010,"1,824","1,140",39,645,,62.50%,,,,,,
2011,"1,910","1,130",41,739,,59.20%,,,,,,
2012,"1,784","1,048",38,698,,58.70%,,,,,,
2013,"1,736",983,35,717,,56.70%,,,,,,
2014,"1,639",917,33,689,,56.00%,,,,,,
2015,"1,543",861,36,646,,55.80%,,,,,,
2016,"1,580",873,38,669,,55.30%,,,,,,
2017,"1,496",817,34,644,,54.60%,,,,,,
,,,,,,,,,,,,
2007 Q1,486,354,13,118,,73.00%,,,,,,
2007 Q2,527,382,17,128,,72.50%,,,,,,
2007 Q3,509,367,17,125,,72.20%,,,,,,
2007 Q4,512,369,16,126,,72.20%,,,,,,
2008 Q1,516,367,17,132,,71.30%,,,,,,
2008 Q2,500,350,17,134,,69.90%,,,,,,
2008 Q3,508,353,17,138,,69.40%,,,,,,
2008 Q4,497,338,18,141,,68.00%,,,,,,
2009 Q1,486,330,10,146,,68.00%,,,,,,
2009 Q2,483,324,10,150,,67.10%,,,,,,
2009 Q3,476,314,10,153,,65.90%,,,,,,
2009 Q4,470,304,10,157,,64.60%,,,,,,
2010 Q1,470,297,10,164,,63.10%,,,,,,
2010 Q2,459,289,10,160,,63.00%,,,,,,
2010 Q3,444,276,9,159,,62.10%,,,,,,
2010 Q4,450,278,10,162,,61.80%,,,,,,
2011 Q1,497,292,10,194,,58.80%,,,,,,
2011 Q2,485,287,10,187,,59.20%,,,,,,
2011 Q3,455,271,10,174,,59.60%,,,,,,
2011 Q4,474,279,10,184,,59.00%,,,,,,
2012 Q1,454,266,11,177,,58.60%,,,,,,
2012 Q2,443,259,10,173,,58.60%,,,,,,
2012 Q3,452,267,10,176,,59.00%,,,,,,
2012 Q4,436,256,8,172,,58.80%,,,,,,
2013 Q1,439,255,9,176,,58.00%,,,,,,
2013 Q2,430,246,9,176,,57.20%,,,,,,
2013 Q3,410,229,9,172,,55.80%,,,,,,
2013 Q4,456,254,9,194,,55.70%,,,,,,
2014 Q1,431,243,8,180,,56.30%,,,,,,
2014 Q2,403,224,8,171,,55.50%,,,,,,
2014 Q3,402,224,8,170,,55.70%,,,,,,
2014 Q4,404,227,8,168,,56.30%,,,,,,
2015 Q1,384,216,8,160,,56.10%,,,,,,
2015 Q2,383,214,8,161,,55.90%,,,,,,
2015 Q3,387,217,8,162,,56.00%,,,,,,
2015 Q4,388,215,11,163,,55.40%,,,,,,
2016 Q1,371,204,10,157,,54.90%,,,,,,
2016 Q2,413,232,10,171,,56.30%,,,,,,
2016 Q3,401,224,9,168,,55.80%,,,,,,
2016 Q4,395,213,9,172,,54.00%,,,,,,
2017 Q1,390,211,9,170,,54.10%,,,,,,
2017 Q2,379,209,9,162,,55.10%,,,,,,
2017 Q3,372,204,8,160,,54.80%,,,,,,
2017 Q4,355,193,8,153,,54.50%,,,,,,
2018 Q1,345,187,8,150,,54.30%,,,,,,
,,,,,,,,,,,,
Calls,,,,,,,,,,,,
2007,"2,081",847,97,"1,137",,40.70%,,,,,,
2008,"1,875",727,81,"1,067",,38.80%,,,,,,
2009,"1,609",612,70,926,,38.10%,,,,,,
2010,"1,408",469,64,875,,33.30%,,,,,,
2011,"1,194",402,57,736,,33.60%,,,,,,
2012,"1,057",354,52,650,,33.50%,,,,,,
2013,987,347,49,591,,35.10%,,,,,,
2014,852,322,43,487,,37.80%,,,,,,
2015,756,307,39,410,,40.60%,,,,,,
2016,745,325,31,389,,43.60%,,,,,,
2017,682,308,30,345,,45.10%,,,,,,
,,,,,,,,,,,,
2007 Q1,551,220,26,305,,39.90%,,,,,,
