Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Regulatory Status,Authorization Number,Authorization Issue Date,Expiration Date,Location
Granby Pit,Stoney Robby Road,,Oswego,NY,13126,Oswego,7,3155646784,WD Malone Trucking & Excavating; Inc.,Private,CDDHRF - concrete rock brick - registration,[38C10034],Yes,382481,4800848,1 - No accuracy stated,Brick;Concrete,Registration,?38C10034,2018-05-17T00:00:00,2023-05-16T00:00:00,
Peat Bed Gravel Bed,Peat Bed Road,at Emmons Dr.,Hannibal,NY,13074,Oswego,7,3155646784,William D. Malone,Private,CDDHRF - concrete rock brick - registration,[38C10035],Yes,377396,4797169,1 - No accuracy stated,Brick;Concrete,Registration,?38C20035,2018-05-17T00:00:00,2023-05-16T00:00:00,
McGinnis Property Facility,8394 Lake Road,,LeRoy,NY,14482,Genesee,8,5857686769,Thomas W. McGinnis,Private,CDDHRF - concrete rock brick - registration,[19W03],Yes,257181,4765901,,,Registration,?,,,"{'human_address': '{""address"":""8394 Lake Road"",""city"":""LeRoy"",""state"":""NY"",""zip"":""14482""}', 'latitude': '43.006745', 'longitude': '-77.97883', 'needs_recoding': False}"
Oak Openings Victor Gravel Corp,1392 Oak Opening Rd,,Avon,NY,14414,Livingston,8,5859251934,Dale Twardokus,Private,CDDHRF - concrete rock brick - registration,[26C10001],Yes,425508,773943,1 - No accuracy stated,Concrete,Registration,?26C10001,2018-11-30T00:00:00,2023-11-30T00:00:00,"{'human_address': '{""address"":""1392 Oak Opening Rd"",""city"":""Avon"",""state"":""NY"",""zip"":""14414""}', 'latitude': '42.920831', 'longitude': '-77.656255', 'needs_recoding': False}"
Perkins; LLC,4343 Whalen Road,,Great Valley,NY,14779,Cattaraugus,9,,Fred Perkins,Private,CDDHRF - concrete rock brick - registration,[05C10016],Yes,195060,4677298,4 - GIS Assisted,Concrete,Registration,?05C10016,2019-01-03T00:00:00,2024-01-02T00:00:00,"{'human_address': '{""address"":""4343 Whalen Road"",""city"":""Great Valley"",""state"":""NY"",""zip"":""14779""}', 'latitude': '42.194351', 'longitude': '-78.678103', 'needs_recoding': False}"
Ledge Creek Development,10100 County Road,,Clarence Center,NY,14032,Erie,9,7167413174,10100 County Road Properties; LLC,Private,CDDHRF - concrete rock brick - registration,[15C10001],Yes,204941,4771019,,Concrete,Registration,?15C10001,2018-08-16T00:00:00,2023-08-15T00:00:00,"{'human_address': '{""address"":""10100 County Road"",""city"":""Clarence Center"",""state"":""NY"",""zip"":""14032""}', 'latitude': '43.03126', 'longitude': '-78.611412', 'needs_recoding': False}"
Gershow Recycling of Freeport,143 Hanse Avenue,,Freeport,NY,11520,Nassau,1,5166340644,Gershow Recycling of Freeport Inc,Private,CDDHRF - permit,[30CP0102],Yes,620721,4500607,4.3 - Utilization of Digital Orthophoto Quads,Construction & Demolition Debris;Concrete;Rock;Paper/Cardboard;Metals (Aluminum);Metals (Ferrous);Metals (Non-Ferrous);Wood (Unadulterated),Permit,?0102,2018-12-15T00:00:00,2021-12-14T00:00:00,"{'human_address': '{""address"":""143 Hanse Avenue"",""city"":""Freeport"",""state"":""NY"",""zip"":""11520""}', 'latitude': '40.647433', 'longitude': '-73.572256', 'needs_recoding': False}"
Gershow Recycling of Valley Stream,97 East Hawthorne Avenue,,Valley Stream,NY,11580,Nassau,1,5168257244,Gershow Recycling of Valley Stream,Private,CDDHRF - permit,[30W10],Yes,610317,4501869,4.3 - Utilization of Digital Orthophoto Quads,Construction & Demolition Debris;Rock;Wood (Clean);Metals (Non-Ferrous);Metals (Ferrous);Paper / Cardboard,Permit,?1-2820-03393/00001,2017-11-14T00:00:00,2022-11-13T00:00:00,"{'human_address': '{""address"":""97 East Hawthorne Avenue"",""city"":""Valley Stream"",""state"":""NY"",""zip"":""11580""}', 'latitude': '40.659466', 'longitude': '-73.694651', 'needs_recoding': False}"
Hampton Sand Mining Corp,1 High Street,,Speonk,NY,11972,Suffolk,1,6313255533,Barbara Dawson,Private,CDDHRF - permit,[52W33R],Yes,693751,4524337,4.3 - Utilization of Digital Orthophoto Quads,Wood (Clean);Concrete;Soil (Clean);Wood (Brush/ Branches/ Trees/ Stumps);Wood (Chips);Asphalt,Registration,?1-4736-00747/00009,2017-12-12T00:00:00,2022-12-18T00:00:00,"{'human_address': '{""address"":""1 High Street"",""city"":""Speonk"",""state"":""NY"",""zip"":""11972""}', 'latitude': '40.892013', 'longitude': '-72.399538', 'needs_recoding': False}"
Our Recycling,5 Grucci Lane,Yaphank,Brookhaven,NY,11706,Suffolk,1,6318394824,,,CDDHRF - permit,[52W204],Yes,725556,404851,3.2 - Hand-Held Unit (post-processed; diff. corrected),Construction & Demolition Debris;Concrete;Brick;Asphalt;Soil (Clean);Rock,,?1-4722-06728,2018-01-17T00:00:00,2023-01-16T00:00:00,"{'human_address': '{""address"":""5 Grucci Lane"",""city"":""Brookhaven"",""state"":""NY"",""zip"":""11706""}', 'latitude': '40.801627', 'longitude': '-72.926208', 'needs_recoding': False}"
S&P Sanitation,1062 Montauk Highway,PO Box 939,Watermill,NY,11976,Suffolk,1,6317269500,Suzanne Hennington,Private,CDDHRF - permit,[52W116],Yes,723442,4533029,4.3 - Utilization of Digital Orthophoto Quads,Construction & Demolition Debris;Wood (Brush/ Branches/ Trees/ Stumps);Concrete;Paper / Cardboard;Wood (Unadulterated),Permit,?1-4736-06027/00001,2018-01-17T00:00:00,2023-01-16T00:00:00,"{'human_address': '{""address"":""1062 Montauk Highway"",""city"":""Watermill"",""state"":""NY"",""zip"":""11976""}', 'latitude': '40.917161', 'longitude': '-72.345509', 'needs_recoding': False}"
Contento Recycling LLC,119 1/2 Pendleton Street,,Cortland,NY,13045,Cortland,7,6077538136,Anthony Contento,Private,CDDHRF - permit,[12CP0010],Yes,404112,4716425,3 - Global Positioning System (GPS),,Permit,?711020012500001,2018-02-06T00:00:00,2028-02-05T00:00:00,"{'human_address': '{""address"":""119 1/2 Pendleton Street"",""city"":""Cortland"",""state"":""NY"",""zip"":""13045""}', 'latitude': '42.594342', 'longitude': '-76.171701', 'needs_recoding': False}"
Superior Disposal TS,1180 Elmira Road,,Newfield,NY,14867,Tompkins,7,6072773000,Casella Waste Management NY,Private,CDDHRF - permit,[55CP0011],Yes,371400,4694500,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris,Permit,?7-5034-00036/00002,2014-10-23T00:00:00,2024-11-30T00:00:00,"{'human_address': '{""address"":""1180 Elmira Road"",""city"":""Newfield"",""state"":""NY"",""zip"":""14867""}', 'latitude': '42.391139', 'longitude': '-76.562484', 'needs_recoding': False}"
ARG Services of WNY; Inc.,366 Washington Street,,Albion,NY,14411,Orleans,8,5852051847,ARG Services of WNY; Inc.,,CDDHRF - permit,[37CP0001],Yes,239262,4792358,4.1 - Address Matching,Soil (Clean);Sand;Rock;Non-petroleum Contaminated Soil;Gravel;Construction & Demolition Debris;Concrete;Brick;Asphalt;Wood (Brush/ Branches/ Trees/ Stumps);Wood (Chips);Furniture/Appliances,Permit,?,,,"{'human_address': '{""address"":""366 Washington Street"",""city"":""Albion"",""state"":""NY"",""zip"":""14411""}', 'latitude': '43.242787', 'longitude': '-78.207869', 'needs_recoding': False}"
Coeymans Recycling Center; LLC,40 Riverview Drive,,Coeymans,NY,12045,Albany,4,,Carver Laraway,Private,CDDHRF - restricted or limited use fill - registration,[01C72402],Yes,598,4703,1.1 - Obtained from original submission and unverified process,Construction & Demolition Debris,Registration,?01C72402,2018-12-19T00:00:00,2020-12-18T00:00:00,
Port of Coeymans,2170 State Route 144,,Coeymans,NY,12045,Albany,4,,P&M Brick LLC,Private,CDDHRF - restricted or limited use fill - registration,[01C72401],Yes,599,4704,1.1 - Obtained from original submission and unverified process,Construction & Demolition Debris,Registration,?01C72401,2018-12-07T00:00:00,2020-12-06T00:00:00,
Wynantskill Mine (Valente Gravel Bank),NYS Route 66,,North Greenbush,NY,12198,Rensselaer,4,5182836340,Callanan Industries; Inc.,Private,CDDHRF - uncontaminated soil sand gravel rock - registration,[42C60011],Yes,613300,4727200,1.1 - Obtained from original submission and unverified process,Gravel;Soil (Clean);Sand;Rock,Registration,?42C60011,2018-08-17T00:00:00,2023-08-17T00:00:00,
Manitoba Corp,122-130 Central Avenue,,Lancaster,NY,14086,Erie,9,7166857000,Manitoba Corp,,RHRF - exempt (non-VDF),[15M00],Yes,200328,4756889,,,,?,,,"{'human_address': '{""address"":""122-130 Central Avenue"",""city"":""Lancaster"",""state"":""NY"",""zip"":""14086""}', 'latitude': '42.905592', 'longitude': '-78.671057', 'needs_recoding': False}"
Richmondville Shop,145 Podpadic Road,,Richmondville,NY,12149,Schoharie,4,5182949964,Lancaster Development; Inc.,Private,CDDHRF - uncontaminated soil sand gravel rock - registration,[48C60004],Yes,537934,4721679,4.1 - Address Matching,Soil (Clean);Sand;Gravel;Rock,Registration,?48C60004,2018-08-22T00:00:00,2023-08-22T00:00:00,"{'human_address': '{""address"":""145 Podpadic Road"",""city"":""Richmondville"",""state"":""NY"",""zip"":""12149""}', 'latitude': '42.648018', 'longitude': '-74.536302', 'needs_recoding': False}"
Waddingham Stock Area,26719 Waddingham Rd.,,Evans Mills,NY,13637,Jefferson,6,,Rusty VanTassel,Private,CDDHRF - uncontaminated soil sand gravel rock - registration,[23C60006],Yes,432688,4879616,4.1 - Address Matching,Soil (Clean);Sand;Gravel;Rock,Registration,?23C60006,2018-12-18T00:00:00,2023-12-17T00:00:00,"{'human_address': '{""address"":""26719 Waddingham Rd."",""city"":""Evans Mills"",""state"":""NY"",""zip"":""13637""}', 'latitude': '44.064893', 'longitude': '-75.837978', 'needs_recoding': False}"
Broad Street Industrial Park,111 1/2 Bevier Street,,Binghamton,NY,13901,Broome,7,5182949964,Tri City Highway Products Inc,Private,CDDHRF - uncontaminated soil sand gravel rock - registration,[04C60009],Yes,426586,4663573,,Rock;Sand;Soil (Clean),Registration,?04C60009,2018-05-04T00:00:00,2023-05-03T00:00:00,"{'human_address': '{""address"":""111 1/2 Bevier Street"",""city"":""Binghamton"",""state"":""NY"",""zip"":""13901""}', 'latitude': '42.119219', 'longitude': '-75.890792', 'needs_recoding': False}"
Crushed Products Inc,320 Bridge Street,,Syracuse,NY,13209,Onondaga,7,3154686225,Crushed Products Inc.,Private,CDDHRF - uncontaminated soil sand gravel rock - registration,[34C60017],Yes,401189,4768833,,Soil (Clean);Sand;Gravel;Rock,Registration,?34C60017,2018-07-27T00:00:00,2023-05-03T00:00:00,"{'human_address': '{""address"":""320 Bridge Street"",""city"":""Syracuse"",""state"":""NY"",""zip"":""13209""}', 'latitude': '43.064213', 'longitude': '-76.216958', 'needs_recoding': False}"
Kinsella Barrett Plant,4800 Solvay Road Ext.,,Jamesville,NY,13078,Onondaga,7,3153780657,Hanson Aggregates East,Private,CDDHRF - uncontaminated soil sand gravel rock - registration,[34C60033],Yes,412430,4761773,1 - No accuracy stated,Soil (Clean),Registration,?34C10033,2018-06-05T00:00:00,2023-06-04T00:00:00,"{'human_address': '{""address"":""4800 Solvay Road Ext."",""city"":""Jamesville"",""state"":""NY"",""zip"":""13078""}', 'latitude': '43.003602', 'longitude': '-76.07451', 'needs_recoding': False}"
Bronx Metals Recycling,850 Edgewater Road,,Bronx,NY,10474,Bronx,2,7185422300,SimsMetal East LLC,,RHRF - exempt (non-VDF),[03M00],Yes,594232,4519222,,,,?,,,"{'human_address': '{""address"":""850 Edgewater Road"",""city"":""Bronx"",""state"":""NY"",""zip"":""10474""}', 'latitude': '40.818402', 'longitude': '-73.883632', 'needs_recoding': False}"
Kinsella Quarry,8086 East Genesee Street,,Fayetteville,NY,13066,Onondaga,7,3156373390,T.H. Kinsella; Inc.,Private,CDDHRF - uncontaminated soil sand gravel rock - registration,[34C60034],Yes,421743,4765929,1 - No accuracy stated,Soil (Clean),Registration,?34C60034,2018-06-05T00:00:00,2023-06-04T00:00:00,"{'human_address': '{""address"":""8086 East Genesee Street"",""city"":""Fayetteville"",""state"":""NY"",""zip"":""13066""}', 'latitude': '43.039415', 'longitude': '-75.965425', 'needs_recoding': False}"
Oak Openings Victor Gravel Corp,1392 Oak Opening Rd,,Avon,NY,14414,Livingston,8,5859251934,Dale Twardokus,Private,CDDHRF - uncontaminated soil sand gravel rock - registration,[26C60001],Yes,425508,773943,1 - No accuracy stated,Soil (Clean),Registration,?26C20001,2018-11-30T00:00:00,2023-11-30T00:00:00,"{'human_address': '{""address"":""1392 Oak Opening Rd"",""city"":""Avon"",""state"":""NY"",""zip"":""14414""}', 'latitude': '42.920831', 'longitude': '-77.656255', 'needs_recoding': False}"
Clarkson Transfer Station,3078 Redman Road,,Brockport,NY,14420,Monroe,8,5856371137,Town of Clarkson,Municipal,CDDHRF - uncontaminated soil sand gravel rock - registration,[28C60001],Yes,259343,4793956,4.2.1 - Utilization of GIS and Facility Mapping System,Rock;Sand;Non-petroleum Contaminated Soil,Registration,?28C60001,2018-05-03T00:00:00,2023-05-02T00:00:00,"{'human_address': '{""address"":""3078 Redman Road"",""city"":""Brockport"",""state"":""NY"",""zip"":""14420""}', 'latitude': '43.260215', 'longitude': '-77.96654', 'needs_recoding': False}"
Perkins; LLC,4343 Whalen Road,,Great Valley,NY,14779,Cattaraugus,9,,Fred Perkins,Private,CDDHRF - uncontaminated soil sand gravel rock - registration,[05C60016],Yes,195060,4677298,4 - GIS Assisted,Soil (Clean),Registration,?05C60016,2019-01-03T00:00:00,2024-01-02T00:00:00,"{'human_address': '{""address"":""4343 Whalen Road"",""city"":""Great Valley"",""state"":""NY"",""zip"":""14779""}', 'latitude': '42.194351', 'longitude': '-78.678103', 'needs_recoding': False}"
Ledge Creek Development,10100 County Road,,Clarence Center,NY,14032,Erie,9,7167413174,10100 County Road Properties; LLC,Private,CDDHRF - uncontaminated soil sand gravel rock - registration,[15C60001],Yes,204941,4771019,4 - GIS Assisted,Sand;Rock;Soil (Clean),Registration,?15C60001,2018-08-16T00:00:00,2023-08-15T00:00:00,"{'human_address': '{""address"":""10100 County Road"",""city"":""Clarence Center"",""state"":""NY"",""zip"":""14032""}', 'latitude': '43.03126', 'longitude': '-78.611412', 'needs_recoding': False}"
Oneida-Herkimer Solid Waste Authority - Leland Ave. Ext.,80 Leland Avenue Extension,,Utica,NY,13503,Oneida,6,3157380417,Oneida Herkimer SWA,Municipal,CDDHRF - uncontaminated unadulterated wood - registration,[33C50002],Yes,484432,4772023,,Wood (Unadulterated Pallets),Registration,?33C50002,2018-09-11T00:00:00,2023-09-10T00:00:00,"{'human_address': '{""address"":""80 Leland Avenue Extension"",""city"":""Utica"",""state"":""NY"",""zip"":""13503""}', 'latitude': '43.106545', 'longitude': '-75.212374', 'needs_recoding': False}"
Oneida-Herkimer Western Transfer Station,575 Perimeter Road,,Rome (C),NY,13440,Oneida,6,3153390288,Oneida Herkimer SWMA,Municipal,CDDHRF - uncontaminated unadulterated wood - registration,[33C50001],Yes,469000,4783400,4.3 - Utilization of Digital Orthophoto Quads,Wood (Brush/ Branches/ Trees/ Stumps);Wood (Chips),Registration,?33C50001,2018-08-06T00:00:00,2023-08-05T00:00:00,
Lehigh Northeast Cement Company,313 Warren Street,,Glens Falls,NY,12801,Warren,5,5182231292,Lehigh Northeast Cement Company,,Combustion - alternative fuel storage - registration,[57B40007],Yes,611758,4796111,,Non-recyclable Scrap Plastic,Registration,?57B40007,2018-12-11T00:00:00,2023-12-10T00:00:00,"{'human_address': '{""address"":""313 Warren Street"",""city"":""Glens Falls"",""state"":""NY"",""zip"":""12801""}', 'latitude': '43.309612', 'longitude': '-73.62195', 'needs_recoding': False}"
Carbon Activated Corporation,3774 Hoover Road,,Blasdell,NY,14219,Erie,9,7168217830,Carbon Activated Corporation,Private,Combustion - alternative fuel storage - registration,[15B40002],Yes,184910,4743961,4.2 - Utilization of GIS and existing spatial data,Spent Activated Carbon,Registration,?15B40002,2018-11-19T00:00:00,2023-11-19T00:00:00,"{'human_address': '{""address"":""3774 Hoover Road"",""city"":""Blasdell"",""state"":""NY"",""zip"":""14219""}', 'latitude': '42.782849', 'longitude': '-78.852246', 'needs_recoding': False}"
Calgon Carbon Corporation - 830 River Road,830 River Road,,North Tonawanda,NY,14120,Niagara,9,7165319113,Calgon Carbon Corporation,Private,Combustion - alternative fuel storage - registration,[32B40002],Yes,183208,4772721,4.2 - Utilization of GIS and existing spatial data,Spent Activated Carbon,Registration,?32B40002,2018-11-28T00:00:00,2023-11-28T00:00:00,"{'human_address': '{""address"":""830 River Road"",""city"":""North Tonawanda"",""state"":""NY"",""zip"":""14120""}', 'latitude': '43.041847', 'longitude': '-78.888096', 'needs_recoding': False}"
Huntington Resource Recovery Facility,99 Townline Rd,,East Northport,NY,11731,Suffolk,1,6317541100,Covanta Huntington LP,Private,Combustion - permit,[52E15],Yes,644131,4527051,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Sewage Treatment Plant Sludge;Metals (Ferrous & Non-Ferrous),Permit,?1-4726-00790/00007,2018-03-09T00:00:00,2023-03-08T00:00:00,"{'human_address': '{""address"":""99 Townline Rd"",""city"":""East Northport"",""state"":""NY"",""zip"":""11731""}', 'latitude': '40.880377', 'longitude': '-73.286628', 'needs_recoding': False}"
Telescope Casual Furniture; Inc.,82 Church Street,,Granville,NY,12832,Washington,5,5186421100,Telescope Casual Furniture; Inc.,,Combustion/thermal treatment - uncontaminated unadulterated wood - registration,[58B20004],Yes,640987,4806485,,Wood (Unadulterated);Wood (Uncontaminated),Registration,?58B20004,2018-10-17T00:00:00,2023-10-16T00:00:00,"{'human_address': '{""address"":""82 Church Street"",""city"":""Granville"",""state"":""NY"",""zip"":""12832""}', 'latitude': '43.398985', 'longitude': '-73.261024', 'needs_recoding': False}"
Added value,103 Otsego,,Brooklyn,NY,11231,Kings,2,9174142805,NYC Compost Project Brooklyn Botanic Garden,,Composting - source separated organic waste - registration,[24C64],Yes,583594,4502847,,Food Scraps;Yard Waste,Registration,?24CG4,,,"{'human_address': '{""address"":""103 Otsego"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""11231""}', 'latitude': '40.672785', 'longitude': '-74.010748', 'needs_recoding': False}"
Clifton Recycling Inc,3400 Court Street,,Syracuse,NY,13206,Onondaga,7,3154631170,Clifton Recycling Inc,Private,Combustion/thermal treatment - uncontaminated unadulterated wood - registration,[34B20015],Yes,408891,4770514,,Wood (Adulterated),Registration,?34B20015,2018-07-10T00:00:00,2023-05-03T00:00:00,"{'human_address': '{""address"":""3400 Court Street"",""city"":""Syracuse"",""state"":""NY"",""zip"":""13206""}', 'latitude': '43.081443', 'longitude': '-76.119493', 'needs_recoding': False}"
Chenango (T) Compost,Northgate WWTP,1256 Front Street,Binghamton,NY,13905,Broome,7,6076484809,Town of Chenango,Municipal,Composting - biosolids/other - permit,[04PP0013],Yes,429054,4662089,3 - Global Positioning System (GPS),Biosolids;Wood (Chips),Permit,?7-0324-00042/00011,2013-01-22T00:00:00,2023-01-21T00:00:00,
Endicott (V) Biosolids,40 Anson Road,,Endicott,NY,13760,Broome,7,6077572457,Village of Endicott,,Composting - biosolids/other - permit,[04PP0019],Yes,409810,4659981,4.2 - Utilization of GIS and existing spatial data,Biosolids,Permit,?7-0346-00011/00005,2017-10-12T00:00:00,2027-10-11T00:00:00,"{'human_address': '{""address"":""40 Anson Road"",""city"":""Endicott"",""state"":""NY"",""zip"":""13760""}', 'latitude': '42.085543', 'longitude': '-76.088362', 'needs_recoding': False}"
Weedsport Joint Composting,2621 Earl St.,,Weedsport,NY,13166,Cayuga,7,3158346411,Village of Weedsport,Municipal,Composting - biosolids/other - permit,[06PP0028],Yes,372358,4767857,3.1 - Sportsman Hand-Held Unit (w/ Selective Availability on),,Permit,?7-0522-00017/00007,2013-06-10T00:00:00,2023-06-09T00:00:00,"{'human_address': '{""address"":""2621 Earl St."",""city"":""Weedsport"",""state"":""NY"",""zip"":""13166""}', 'latitude': '43.052535', 'longitude': '-76.568504', 'needs_recoding': False}"
Madison County Sewer District Compost Facility,4500 NY Route 13,,Cazenovia Town,NY,13035,Madison,7,3156552261,Madison County Sewer District,Municipal,Composting - biosolids/other - permit,[27PP0014],Yes,431303,4754669,1.1 - Obtained from original submission and unverified process,Biosolids,Permit,?7-2522-00030/00004,2017-09-01T00:00:00,2027-08-31T00:00:00,"{'human_address': '{""address"":""4500 NY Route 13"",""city"":""Cazenovia Town"",""state"":""NY"",""zip"":""13035""}', 'latitude': '42.940493', 'longitude': '-75.844776', 'needs_recoding': False}"
Village of Marcellus Composting Facility,6 Mile High Drive,(near 1 Mustang Hill Rd),Marcellus,NY,13108,Onondaga,7,3156734491,Village of Marcellus,Municipal,Composting - biosolids/other - permit,[34PP0072],Yes,390636,4759792,4.2 - Utilization of GIS and existing spatial data,,Permit,?7-3140-00005/00003,2016-07-26T00:00:00,2021-07-25T00:00:00,
Bergen (V) Composting,6593 North Lake Road,,Bergen,NY,14416,Genesee,8,5854942018,Village of Bergen,,Composting - biosolids/other - permit,[19C02],Yes,261297,4775324,1 - No accuracy stated,Biosolids,Permit,?19C02,2017-08-28T00:00:00,2022-03-26T00:00:00,"{'human_address': '{""address"":""6593 North Lake Road"",""city"":""Bergen"",""state"":""NY"",""zip"":""14416""}', 'latitude': '43.09388', 'longitude': '-77.935251', 'needs_recoding': False}"
City of Syracuse - Peat Street,100 City Crossroads Drive,,Syracuse,NY,13210,Onondaga,7,3154488547,Syracuse Industrial Development Agency (SIDA),Municipal,Composting - roadkill/mortalities - registration,[34P30014],Yes,408904,4767231,,Animal Carcasses,Registration,?34P30014,2018-06-26T00:00:00,2023-06-26T00:00:00,"{'human_address': '{""address"":""100 City Crossroads Drive"",""city"":""Syracuse"",""state"":""NY"",""zip"":""13210""}', 'latitude': '43.053179', 'longitude': '-76.117673', 'needs_recoding': False}"
The Last Pasture,3240 Dodgeson Rd,,Alexander,NY,14005,Genesee,8,5853568955,John Caccamise,Private,Composting - roadkill/mortalities - registration,[26P30001],Yes,723073,4757124,4.1 - Address Matching,Wood/Brush;Animal Carcasses,Registration,?26P30001,2018-12-28T00:00:00,2023-12-28T00:00:00,"{'human_address': '{""address"":""3240 Dodgeson Rd"",""city"":""Alexander"",""state"":""NY"",""zip"":""14005""}', 'latitude': '42.940709', 'longitude': '-78.268191', 'needs_recoding': False}"
OCRRA - Amboy Site,6296 Airport Road,,Camillus,NY,13209,Onondaga,7,3155156379,OCRRA,Municipal,Composting - source separated organic waste - permit,[34PP0046],Yes,397131,4770127,,,Permit,?7-3120-00137/00001,2013-01-28T00:00:00,2023-01-27T00:00:00,"{'human_address': '{""address"":""6296 Airport Road"",""city"":""Camillus"",""state"":""NY"",""zip"":""13209""}', 'latitude': '43.075863', 'longitude': '-76.267576', 'needs_recoding': False}"
Cayuga Compost,3225 Agard Road,,Trumansburg,NY,14886,Tompkins,7,6073876826,William & Mary Proctor,Private,Composting - source separated organic waste - permit,[55PP0004],Yes,367052,4709267,3.1 - Sportsman Hand-Held Unit (w/ Selective Availability on),,Permit,?7-5036-00122/00001,2014-08-21T00:00:00,2019-11-12T00:00:00,"{'human_address': '{""address"":""3225 Agard Road"",""city"":""Trumansburg"",""state"":""NY"",""zip"":""14886""}', 'latitude': '42.524164', 'longitude': '-76.623297', 'needs_recoding': False}"
Waste Management - High Acres Compost Facility,425 Perinton Parkway,,Fairport,NY,14450,Monroe,8,5854216223,Waste Management of New York LLC,Private,Composting - source separated organic waste - permit,[59PP0001],Yes,306354,4773375,4.3 - Utilization of Digital Orthophoto Quads,Yard Waste;Wood (Chips);Source Separated Organic Waste (SSOW),Permit,?8-9908-00162/00021,2018-10-21T00:00:00,2028-10-20T00:00:00,"{'human_address': '{""address"":""425 Perinton Parkway"",""city"":""Fairport"",""state"":""NY"",""zip"":""14450""}', 'latitude': '43.088575', 'longitude': '-77.380984', 'needs_recoding': False}"
RED HOOK COMMUNITY FARM COMPOST FACILITY,103 OTSEGO,,BROOKLYN,NY,11218,Kings,2,9174142805,,,Composting - source separated organic waste - permit,[1],Yes,11111,11111,1 - No accuracy stated,,,?,,,"{'human_address': '{""address"":""103 OTSEGO"",""city"":""BROOKLYN"",""state"":""NY"",""zip"":""11218""}', 'latitude': '40.672785', 'longitude': '-74.010748', 'needs_recoding': False}"
McEnroe Organic Farm,194 Coleman Station Rd,,Millerton,NY,12546,Dutchess,3,5187893252,Ray McEnroe,,Composting - source separated organic waste - permit,[14C03],Yes,622735,4640095,4.3 - Utilization of Digital Orthophoto Quads,Manure;Food Scraps,Permit,?3-1338-00048/00009,2010-11-16T00:00:00,2015-11-15T00:00:00,"{'human_address': '{""address"":""194 Coleman Station Rd"",""city"":""Millerton"",""state"":""NY"",""zip"":""12546""}', 'latitude': '41.902666', 'longitude': '-73.519556', 'needs_recoding': False}"
Organic Renewal LLC,Organic Recycling; Inc.,PO Box 544; 895 Pulaski Highway,Goshen,NY,10924,Orange,3,8456517544,Environmental Farms; LLC,,Composting - source separated organic waste - permit,[36C03],Yes,595479,4519033,1 - No accuracy stated,Yard Waste,Permit,?3-3330-00082/00005,2012-11-21T00:00:00,2019-11-21T00:00:00,
UCRRA Ulster Transfer Station,999 Flatbush Road,,Kingston,NY,12401,Ulster,3,8453360600,Ulster CountyResource Recovery Agency,County,Composting - source separated organic waste - permit,[56T05],Yes,585478,4647691,,,Permit,?,,,"{'human_address': '{""address"":""999 Flatbush Road"",""city"":""Kingston"",""state"":""NY"",""zip"":""12401""}', 'latitude': '41.974711', 'longitude': '-73.971089', 'needs_recoding': False}"
Marine Park Golf Course,2880 Flatbush Ave,,Brooklyn,NY,11234,Kings,2,9174009150,Michael Giordano,,Composting - source separated organic waste - registration,[24CG5],Yes,592078,4494913,1 - No accuracy stated,,Registration,?24CG5,,,"{'human_address': '{""address"":""2880 Flatbush Ave"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""11234""}', 'latitude': '40.599853', 'longitude': '-73.911691', 'needs_recoding': False}"
Earth Matter NY Inc,South Craig Rd.,Governors Island,New York,NY,10004,New York,2,9174477256,Trust for Governors Island,,Composting - source separated organic waste - registration,[31C23],Yes,582741,4504438,,,Registration,?31C23,,,
Outstanding Renewal Enterprises (LowerEastSideEcologyCenter),bellow the Williamsburg Bridge on the Manhattan side near..,..the x-section of FDR Drive&Delancey Str in East River Park,New York,NY,10002,New York,2,2124774022,Lower East Side Ecology Center,,Composting - source separated organic waste - registration,[31C22],Yes,586427,4507667,,,Registration,?31C22,,,
Queensbridge Compost Site,Queens Plaza South and 10th Street/Under Queensboro Bridge,Long Island City; Queens,NY,NY,11101,Queens,2,7185353365,Big Reuse,,Composting - source separated organic waste - registration,[41CB7],Yes,588823,4511932,,,Registration,?41CB7,2013-09-05T00:00:00,,
Rikers Island Compost Facility ( DSNY),Rikers Island Correctional Facility,Rikers Island; Queens,New York,NY,11106,Queens,2,2124374656,NYC Dept. of Sanitation,,Composting - source separated organic waste - registration,[03C98],Yes,594373,4516236,,,Registration,?,,,
Community Compost/Glynwood Incubator Farm,60 Gatehouse Rd.,,New Paltz,NY,12561,Ulster,3,8457873478,Open Space Institute,,Composting - source separated organic waste - registration,[56C08],Yes,571835,4621856,,,Registration,?,,,"{'human_address': '{""address"":""60 Gatehouse Rd."",""city"":""New Paltz"",""state"":""NY"",""zip"":""12561""}', 'latitude': '41.746018', 'longitude': '-74.119496', 'needs_recoding': False}"
