Company: Company Name,Company: Company Name (Fake),Company: Industry,Company: Company Number,Company: Stock Name,Company: Stock Symbol,Company: Stock Sector,Company: IBAN
Voonder,"Dietrich, Von and Turner",Real Estate Investment Trusts,27-648-9086,Capstead Mortgage Corporation,CMO,Consumer Services,BR06 8856 0441 0393 0247 6047 801A A
Jetpulse,"Feest, Cummerata and Wolff",Investment Bankers/Brokers/Service,22-125-3846,"KCG Holdings, Inc.",KCG,Finance,LB02 4125 Q0ZG CIKN JEDY MWX4 S47H
Divape,"Trantow, Cartwright and Beatty",Electric Utilities: Central,22-099-6986,Brookfield Renewable Partners L.P.,BEP,Public Utilities,AZ31 CFRX JLTO OQI8 XC47 APUT B31L
Flashpoint,Brown-Lesch,n/a,31-422-1762,New Mountain Finance Corporation,NMFC,n/a,CY53 6338 4951 AKPE UH9D L8HD ZAD5
Mynte,Okuneva Inc,Apparel,41-457-6475,"Oxford Industries, Inc.",OXM,Consumer Non-Durables,CR39 9123 5772 0587 5289 3
Divanoodle,Mann-Reichel,Major Banks,16-572-8583,"HarborOne Bancorp, Inc.",HONE,Finance,FR11 7188 8438 61BI CH1C VDV1 O34
Gabtune,Jaskolski LLC,n/a,70-155-2399,Oxford Lane Capital Corp.,OXLCO,n/a,IL95 5925 8903 3922 1367 144
Skiba,Rogahn LLC,Major Pharmaceuticals,27-742-4490,Concordia International Corp.,CXRX,Health Care,NO17 8836 0514 314
Aibox,"Kozey, Hackett and Schuppe",Advertising,06-445-4374,"The Meet Group, Inc.",MEET,Consumer Services,GE42 BH64 0106 7811 6793 11
Skibox,"Schroeder, Littel and Boyer",n/a,60-258-9696,Protective Life Corporation,PL^E,n/a,SA58 30KE COKJ XDM9 2RWQ WW82
Meevee,Schumm Group,Industrial Machinery/Components,24-658-3320,"Telenav, Inc.",TNAV,Capital Goods,LU34 256G IZW9 B60A YT5L
Fivechat,Bashirian-Connelly,n/a,27-035-5642,Rayonier Advanced Materials Inc.,RYAM^A,n/a,FR76 5066 8580 98RJ EHX4 TV8B X68
Jabbersphere,Kuhlman Group,n/a,64-461-7937,ClearBridge American Energy MLP Fund Inc.,CBA           ,n/a,GR62 2145 824K 004W VOO7 JO1H XI9
Agimba,"Von, Kreiger and Runte",Business Services,42-743-1648,"CoStar Group, Inc.",CSGP,Miscellaneous,RS62 1992 7026 3523 9981 05
Youtags,"Price, Padberg and Bartell",Major Pharmaceuticals,16-303-5387,"Cara Therapeutics, Inc.",CARA,Health Care,MT10 SYBK 9987 45QM SOAK EJFY EXKS QXH
Skibox,Rosenbaum and Sons,Industrial Machinery/Components,84-897-2226,Ideal Power Inc.,IPWR,Energy,PS37 RAEJ BJFO ZCON MYZQ KLIG RQ83 2
Blogspan,Weimann-Fadel,n/a,51-028-7155,Baltimore Gas & Electric Company,BGE^B,n/a,MD47 TIA4 MT06 09OH IPEG IJQR
Skipfire,Kassulke LLC,n/a,80-299-3050,Global X NASDAQ China Technology ETF,QQQC,n/a,LU75 7131 QTDW LNZB U9OK
Photobean,"Simonis, Roberts and Vandervort",Real Estate Investment Trusts,71-319-1301,Two Harbors Investments Corp,TWO,Consumer Services,KZ73 2182 GJA1 7C36 OURF
Edgewire,"Kemmer, Powlowski and Cartwright",n/a,19-258-2516,Eaton Vance Corporation,ETW,n/a,RO52 GTWA 5CVD ZGK6 9FWS KR0Y
Flipstorm,Botsford-VonRueden,Major Pharmaceuticals,10-783-4966,"Stellar Biotechnologies, Inc.",SBOT,Health Care,DK32 4019 3193 4275 19
Omba,Hane-Ebert,Computer Software: Prepackaged Software,49-928-5897,Attunity Ltd.,ATTU,Technology,CZ82 4106 2932 7362 0549 8833
Topdrive,"Lind, Haag and Cremin",Oil Refining/Marketing,48-426-0846,NGL ENERGY PARTNERS LP,NGL,Energy,GB77 DOSJ 5842 9530 0583 14
Flipbug,"Windler, Quigley and Orn",n/a,64-691-6066,Wells Fargo & Company,WFC^N,n/a,GE74 WM86 7142 5791 7183 61
Kwilith,Medhurst-Beatty,Semiconductors,10-767-7535,"Rambus, Inc.",RMBS,Technology,FR15 2852 1493 15Z3 IGNX UNCF T93
Edgepulse,Hackett Group,Agricultural Chemicals,04-761-5400,Israel Chemicals Shs,ICL,Basic Industries,PT61 2241 3161 9511 3263 4578 0
Vinte,Gutkowski-Erdman,Auto Parts:O.E.M.,39-477-5345,Visteon Corporation,VC,Capital Goods,LT14 2104 5887 9645 4849
Divanoodle,Beahan-Mueller,Biotechnology: In Vitro & In Vivo Diagnostic Substances,83-633-5782,"Bioptix, Inc",BIOP,Health Care,FR37 6113 8794 075Q CQTY UY2Z Q08
Zazio,"Adams, Kilback and Armstrong",Medical/Dental Instruments,97-688-5099,"Utah Medical Products, Inc.",UTMD,Health Care,VG40 JAGZ 8518 9105 2282 5627
Youspan,Ebert Inc,Computer Software: Prepackaged Software,10-959-8975,Changyou.com Limited,CYOU,Technology,CY30 2960 1904 QFHB CLYU X8QF 3LEN
Pixonyx,Kuhic Group,Metal Fabrications,60-727-7842,Encore Wire Corporation,WIRE,Capital Goods,MC35 0372 6105 12BL JGZN RZ7N 792
Kayveo,Shields-Bayer,Medical/Dental Instruments,13-582-1296,Nuvectra Corporation,NVTR,Health Care,KZ73 133D LY2J LOOW IRS6
Rhyloo,Kohler Group,Restaurants,64-557-6096,"Nathan's Famous, Inc.",NATH,Consumer Services,FI13 0667 1342 2964 53
Tagopia,Brown-Spencer,Telecommunications Equipment,93-511-0337,"T-Mobile US, Inc.",TMUS,Public Utilities,IT98 X016 5036 662N EV2H THQI DJU
Jaxspan,"Kautzer, Wintheiser and Prosacco",Railroads,61-861-7353,Guangshen Railway Company Limited,GSH,Transportation,SM20 S179 3691 938H 1O86 PCBJ QZT
Yozio,"Herman, Kirlin and Kuvalis",Major Banks,62-078-9228,DNB Financial Corp,DNBF,Finance,BA66 5516 5857 2494 1203
Jayo,Brakus-Bartell,n/a,09-327-1937,Dividend and Income Fund,DNI,n/a,MK31 663G LMCH 2T3X R53
BlogXS,Yost and Sons,Investment Managers,54-527-2708,"U.S. Global Investors, Inc.",GROW,Finance,GT85 CBJS IWZE JBKD PATG AYWG 2IBQ
Kwideo,Smitham-Hessel,Investment Bankers/Brokers/Service,95-328-7682,Intercontinental Exchange Inc.,ICE,Finance,GL58 5370 5835 5814 33
Tagpad,Littel Group,n/a,38-147-2397,"Digital Realty Trust, Inc.",DLR^I,n/a,CH43 8261 48PE HE1I EF8S K
Buzzbean,Schumm Inc,Life Insurance,44-289-7186,Atlantic American Corporation,AAME,Finance,FR84 5548 7541 98PA CSYN JBX4 T85
Npath,Botsford-Jacobson,Home Furnishings,99-839-1922,GP Investments Acquisition Corp.,GPIA,Consumer Durables,NO41 8014 6258 032
Vipe,"Walter, Morissette and Muller",n/a,30-916-5141,Public Storage,PSA^W,n/a,KW83 UEWN TRVZ ALNQ N2LP IXXL THZR UY
Skivee,"Leuschke, Konopelski and Denesik","Computer Software: Programming, Data Processing",78-095-2018,"Synacor, Inc.",SYNC,Technology,FO96 8328 5244 0250 61
Voonyx,Rodriguez Group,Advertising,33-547-9466,Global Sources Ltd.,GSOL,Consumer Services,LU09 923B WVNX HAQX UC9R
Voonder,Zieme Inc,n/a,58-057-2833,WisdomTree Western Asset Unconstrained Bond Fund,UBND,n/a,FR21 8218 3777 19WP 5GSB BUOX E70
Tagfeed,Ruecker LLC,Industrial Machinery/Components,38-887-2835,"Alamo Group, Inc.",ALG,Capital Goods,CZ13 1944 3356 8833 9409 8127
Cogilith,Corwin-Kessler,Coal Mining,86-941-8708,Foresight Energy LP,FELP,Energy,MU83 SVCK 3309 3153 4948 8410 014U RS
Shufflester,Schamberger LLC,n/a,49-743-9524,First Trust RiverFront Dynamic Developed International ETF,RFDI,n/a,DK39 5031 0262 9065 37
Edgeclub,Marquardt-Skiles,Major Banks,20-377-9704,"First Hawaiian, Inc.",FHB,Finance,SK88 2332 7566 2657 1080 0627
Jatri,Rice-Reynolds,Military/Government/Technical,60-079-7218,"Spirit Aerosystems Holdings, Inc.",SPR,Capital Goods,IL64 5391 6887 5452 6357 274
Muxo,"Mann, Beier and Rice",Real Estate Investment Trusts,46-455-6395,PennyMac Mortgage Investment Trust,PMT,Consumer Services,BH63 OMUI TGVH ETVN TJKZ UE
Eare,Hirthe Group,Beverages (Production/Distribution),84-092-7355,Coca-Cola European Partners plc,CCE,Consumer Non-Durables,FR70 7750 8726 88P2 F6EW 042J F06
Babbleblab,Funk and Sons,Consumer Specialties,51-030-9986,Signet Jewelers Limited,SIG,Consumer Services,AZ94 RMUJ PV1P GIDG 9AYZ VW2I YK2C
Youspan,Schmeler-Bode,n/a,25-876-1510,"Blackrock MuniYield Quality Fund, Inc.",MQY,n/a,CY74 6698 3059 BJMM CIAU POWQ 8OOU
Rhybox,"Brakus, Ondricka and Glover",EDP Services,10-884-6730,Verint Systems Inc.,VRNT,Technology,LV73 VGBH CB2J NDSE YGBG X
Abatz,"Hirthe, Block and Auer",Business Services,45-108-2516,"PayPal Holdings, Inc.",PYPL,Miscellaneous,ME23 0269 9631 5447 7846 41
Myworks,"Kozey, Emard and Sanford",Oil & Gas Production,87-004-9789,Ultra Petroleum Corp.,UPL,Energy,MU45 QDSG 8378 7682 8656 9847 638P ZR
Skyvu,Hettinger-Veum,Electric Utilities: Central,08-444-8690,Tennessee Valley Authority,TVC,Public Utilities,PK61 EGDN ZI9E NAQS VBSJ ZUVY
Layo,Kohler-Auer,n/a,98-328-0159,"PNC Financial Services Group, Inc. (The)",PNC^P,n/a,LT29 7810 9999 8905 4258
Lazz,Bednar-Herzog,Military/Government/Technical,97-156-8867,Sterling Construction Company Inc,STRL,Basic Industries,BH38 TMIJ KOJN M6VM 6ZYX MG
Yata,Aufderhar-Breitenberg,Natural Gas Distribution,66-407-7799,"Western Gas Partners, LP",WES,Public Utilities,DO60 BX2R 7504 0551 0428 2306 2356
Realcube,"Kerluke, Gutmann and Koss",Electric Utilities: Central,50-546-6737,"Dominion Energy, Inc.",D,Public Utilities,HR85 6010 4743 5400 4644 4
Flashdog,Boyle-Mraz,Major Pharmaceuticals,96-723-9364,Ascendis Pharma A/S,ASND,Health Care,NO02 9823 2178 200
Flipopia,"O'Keefe, Kozey and Johnston",Business Services,61-581-2159,Avista Healthcare Public Acquisition Corp.,AHPAU,Finance,CR60 8616 2415 0805 5880 2
Browsetype,Blanda-Eichmann,Computer Software: Prepackaged Software,48-170-4808,"Avid Technology, Inc.",AVID,Technology,BE41 2148 7774 9159
Skippad,Ebert-Reichel,n/a,86-993-8918,"American Capital Senior Floating, Ltd.",ACSF,n/a,FR50 6706 8750 59GC YHMW PEFV Q50
Realblab,Kunze-Satterfield,Electrical Products,98-283-2306,Nano Dimension Ltd.,NNDM,Technology,FR82 9699 0339 79WR 9OSA 4ONR T14
Quimba,"Nitzsche, Littel and Adams",n/a,47-578-0406,iShares MSCI Global Impact ETF,MPCT,n/a,LU65 536W 6MQK ETWJ 6JSD
Photobug,Lemke Group,Marine Transportation,02-669-1858,Nordic American Tankers Limited,NAT,Consumer Services,PK32 JIKP RLD2 X5YJ 1CRK 1SYB
Aibox,Fahey-Weimann,Food Chains,18-220-2891,Smart,SFS,Consumer Services,MT94 EHGV 9962 9RLQ S3YK TWKI SAX7 IQP
Dazzlesphere,Barton-Terry,n/a,01-791-9738,RAIT Financial Trust,RAS^B,n/a,GL66 5596 3684 7024 97
Ailane,"Smith, Kub and Ritchie",Real Estate Investment Trusts,07-851-1233,American Homes 4 Rent,AMH,Consumer Services,MC83 0732 9882 15X8 5NVW UTRP Z69
Eire,Considine-Glover,Major Banks,87-369-3876,Orrstown Financial Services Inc,ORRF,Finance,IT07 W675 2950 995Y I4VP 0HWR UHD
Yadel,Metz-Hirthe,Investment Bankers/Brokers/Service,76-471-9814,TD Ameritrade Holding Corporation,AMTD,Finance,MD60 ICVX WKS6 OKX0 BKAO CMQU
Innotype,Johnston-Schuster,Medical/Dental Instruments,70-578-8608,Mazor Robotics Ltd.,MZOR,Health Care,FO06 8562 3437 1850 60
Teklist,"Effertz, Gislason and Spencer",Automotive Aftermarket,26-965-5469,Cooper Tire & Rubber Company,CTB,Consumer Durables,DE25 8505 6156 1670 6337 40
Pixoboo,"Mohr, Legros and Hauck",Semiconductors,86-296-6407,"Pixelworks, Inc.",PXLW,Technology,BR68 9419 1811 4978 3388 0918 057A C
Browsetype,Senger-Gusikowski,Real Estate Investment Trusts,75-316-8690,FelCor Lodging Trust Incorporated,FCH^A,Consumer Services,MK14 9842 VUYL XEXR N06
Livetube,Senger-Funk,Industrial Machinery/Components,10-750-9435,"Rockwell Automation, Inc.",ROK,Capital Goods,AT88 8417 4121 1831 3707
Skilith,Satterfield Inc,Homebuilding,92-990-5013,"A V Homes, Inc.",AVHI,Capital Goods,LB84 2217 FGLD BJCS GGQA O1WR VIVX
LiveZ,"Boyle, Stanton and Veum",Mining & Quarrying of Nonmetallic Minerals (No Fuels),65-539-5855,Emerge Energy Services LP,EMES,Basic Industries,AE90 8349 6581 0025 4573 543
Mydeo,Stoltenberg-Lockman,Real Estate Investment Trusts,62-695-9390,"Essex Property Trust, Inc.",ESS,Consumer Services,ME18 0866 6492 8196 1155 57
Zoomlounge,Senger Group,Investment Managers,29-145-6133,The Carlyle Group L.P.,CG,Finance,AD79 9796 7568 ZVS1 XMZE FSFK
Realfire,Abbott and Sons,Major Pharmaceuticals,34-709-3834,"Reata Pharmaceuticals, Inc.",RETA,Health Care,FR62 7512 1005 16FN F7IW XQZT U13
Innotype,Pouros-Wiegand,Major Banks,77-551-5940,M B T Financial Corp,MBTF,Finance,LT45 7959 2642 6069 4630
Thoughtworks,"Kunde, Hegmann and Ziemann",n/a,73-224-1387,Goldman Sachs MLP Energy Renaissance Fund,GER,n/a,KW54 OXAF PWY3 TZNQ 8ILY KDZ7 ECBN DE
Lajo,"Conroy, Braun and Huel",Investment Managers,05-531-7661,Eaton Vance Corporation,EV,Finance,DK61 3729 4083 6972 16
Skimia,Ebert-Block,n/a,43-989-1010,"Colony NorthStar, Inc.",CLNS^B,n/a,SK61 3875 4879 9468 7307 6594
Thoughtmix,Johnston-Schowalter,Automotive Aftermarket,24-039-0410,TravelCenters of America LLC,TANNZ,Consumer Durables,DK23 7954 0293 5220 07
Dablist,Auer Group,Major Banks,31-353-9824,Webster Financial Corporation,WBS,Finance,GL63 2362 5452 0111 88
Browseblab,Halvorson Inc,EDP Services,01-595-0278,Infosys Limited,INFY,Technology,GB84 XREC 4127 5407 4210 60
Tagcat,"Rice, Spinka and Connelly",Oil & Gas Production,48-603-5542,Harmony Merger Corp.,HRMNW,Public Utilities,IS59 3903 9978 9500 7382 4609 28
Wikizz,"Bradtke, Frami and Oberbrunner",Electrical Products,78-709-8520,Xcerra Corporation,XCRA,Capital Goods,LU94 322P FRBO WCLW UCC0
Centimia,Davis-Yundt,Major Banks,30-077-4240,Peoples Financial Services Corp. ,PFIS,Finance,FR58 4914 4842 88FV YJIO DMNZ I86
Tagcat,Durgan-Ortiz,n/a,96-994-4232,Principal Real Estate Income Fund,PGZ,n/a,HU82 0420 7227 7471 1917 6148 1864
Yozio,"Langosh, Waelchi and Cummerata",Other Specialty Stores,51-770-0653,"HSN, Inc.",HSNI,Consumer Services,IT10 X110 7783 8723 FXDT IPUB DER
Gabtune,Gulgowski-Metz,n/a,12-235-0704,OFG Bancorp,OFG^B,n/a,CZ74 6669 8028 6351 7087 5253
Wordpedia,Weber-Bosco,Hospital/Nursing Management,98-132-0947,HealthSouth Corporation,HLS,Health Care,MK88 508F W3ZF SQPZ J29
Fliptune,Ritchie Group,Business Services,65-552-4442,Vantage Energy Acquisition Corp.,VEACW,Finance,FR07 6473 6830 30IM A1GS AODG O48
Skyba,Schaefer and Sons,Electronic Components,73-493-8001,Taitron Components Incorporated,TAIT,Consumer Non-Durables,KZ37 091N XOJA 5SNW PAAK
Blogtag,Jaskolski Group,Real Estate,73-125-3103,"Dupont Fabros Technology, Inc.",DFT,Finance,GL33 5790 7695 0368 50
Browsecat,Jerde and Sons,n/a,75-996-3374,Nuveen Texas Quality Municipal Income Fund,NTX,n/a,DE34 3367 2882 3334 1736 10
Oyonder,"Robel, Walter and Swift",Radio And Television Broadcasting And Communications Equipment,18-082-7888,"ViaSat, Inc.",VSAT,Technology,BE37 7573 3732 9219
Quire,Batz Inc,n/a,91-242-9467,First Trust NASDAQ ABA Community Bank Index Fund,QABA,n/a,MU11 AOIQ 0167 2494 8212 2696 428A AV
Devbug,Luettgen-Torphy,n/a,27-185-0576,John Hancock Premium Dividend Fund,PDT,n/a,FO23 8437 5498 2922 75
Linklinks,"Wintheiser, Considine and Connelly",n/a,05-266-7284,FlexShares Credit-Scored US Long Corporate Bond Index Fund,LKOR,n/a,SK67 6607 7693 2402 9607 3414
Twitterbridge,"Kirlin, Pfeffer and Schulist",n/a,59-162-0679,"Maiden Holdings, Ltd.",MH^C,n/a,SE18 3227 5475 8046 6757 4922
Trudoo,"Leffler, Mann and Glover",Biotechnology: Commercial Physical & Biological Resarch,50-737-6731,Exact Sciences Corporation,EXAS,Health Care,FO22 4147 2766 1155 17
Teklist,Effertz and Sons,n/a,51-520-8695,M&T Bank Corporation,MTB.WS,n/a,BH52 BWZC 6QZP GECH 7N56 WP
Riffpedia,"Prohaska, Stokes and Gaylord",n/a,53-527-7368,"AmTrust Financial Services, Inc.",AFSI^D,n/a,LU93 921O 8UUR UENS RVJF
Ntag,Rau Group,Homebuilding,90-177-9529,"Winnebago Industries, Inc.",WGO,Consumer Non-Durables,IT71 E857 3252 816N 7APS HFA2 UUE
Demimbu,"Jaskolski, Huel and Orn",Major Chemicals,70-391-3849,"Synthesis Energy Systems, Inc.",SYMX,Basic Industries,FR31 5873 1810 69HP YLFE LSIC B41
Quatz,Watsica Group,n/a,67-715-0931,Guggenheim Strategic Opportunities Fund,GOF,n/a,AD78 1270 1548 MRZ2 M9PR P6QO
Skinder,Ziemann Group,Commercial Banks,18-786-1353,Lloyds Banking Group Plc,LYG,Finance,LI41 4445 4I7S KVHZ IFRQ L
Oba,Ondricka LLC,Investment Managers,80-967-4775,"Legg Mason, Inc.",LMHA,Finance,FR55 0775 1834 70IV IDDY NSCN W62
Plambee,"Klocko, Hane and Heller",Real Estate Investment Trusts,11-892-1078,"Alexandria Real Estate Equities, Inc.",ARE,Consumer Services,SA94 576H NYZT 6CV9 HMOW RWIG
Topicware,"Thiel, Ernser and Herman",Major Pharmaceuticals,53-987-3743,Benitec Biopharma Limited,BNTC,Health Care,FR86 3717 5098 65WD BAOQ YMVN I55
Voomm,Schamberger-Gislason,Miscellaneous manufacturing industries,51-696-3704,Entertainment Gaming Asia Incorporated,EGT,Consumer Durables,BG65 NXYM 8281 39QX BOC2 VD
Kwinu,Collier Inc,Electrical Products,53-528-7371,"Celestica, Inc.",CLS,Technology,EE12 9878 6037 7444 6125
Meezzy,"Legros, Fisher and McClure",Homebuilding,93-184-1695,"Cavco Industries, Inc.",CVCO,Basic Industries,LU41 897A PGLE IWWT LFEV
Kaymbo,Langosh Group,n/a,42-856-8140,PowerShares DWA Industrials Momentum Portfolio,PRN,n/a,DE67 3841 7885 0529 0135 96
Tazzy,Beatty-Turcotte,Commercial Banks,98-879-8558,Bank Of Montreal,BMO,Finance,GL05 0975 9530 1472 11
Mydo,"Torp, Kessler and Gaylord",n/a,39-709-6084,Nuveen Quality Preferred Income Fund 2,JPS,n/a,GL26 1107 4845 4578 53
BlogXS,Gottlieb LLC,n/a,94-250-4776,Harvest Capital Credit Corporation,HCAP,n/a,FR27 8385 9263 84ZH 2RYA YSJE E40
Avavee,"Keebler, Rosenbaum and Moore",Semiconductors,42-688-8101,"Integrated Device Technology, Inc.",IDTI,Technology,BR37 5671 4573 0600 8523 2707 484P H
Zoombox,Kris LLC,Mining & Quarrying of Nonmetallic Minerals (No Fuels),36-912-7423,Hecla Mining Company,HL^B,Basic Industries,DE59 8801 2965 0381 4935 46
Janyx,Gutkowski-Crona,Commercial Banks,47-591-2954,Banco De Chile,BCH,Finance,NO86 3025 2837 866
Skilith,Yost and Sons,Shoe Manufacturing,85-821-2999,"Rocky Brands, Inc.",RCKY,Consumer Non-Durables,BE08 7930 8561 8076
Jabbertype,"Gottlieb, Halvorson and Ernser",Major Pharmaceuticals,91-165-2194,"Alder BioPharmaceuticals, Inc.",ALDR,Health Care,NO25 5623 8801 889
Innotype,"Predovic, Adams and Zemlak",n/a,61-551-7000,Brown Forman Corporation,BF.B,n/a,MC59 8962 4568 16SG 3QZV 3MOY A26
Kwideo,Torphy Group,Business Services,15-763-9947,Kingold Jewelry Inc.,KGJI,Miscellaneous,ES91 7439 9917 4347 2122 5897
Fadeo,"Herzog, Leannon and Abbott",Professional Services,96-244-9176,Booz Allen Hamilton Holding Corporation,BAH,Consumer Services,GL55 5193 4371 8384 32
Buzzshare,"Stroman, Ferry and Cole",Packaged Foods,80-951-8748,"Lifeway Foods, Inc.",LWAY,Consumer Non-Durables,TR41 9238 0ASD MW05 4KBW WIFN JV
Minyx,"McGlynn, Gutkowski and Schultz",n/a,85-388-1272,Federated Premier Intermediate Municipal Income Fund,FPT,n/a,ME08 4807 6015 5558 6449 61
Gabcube,Graham and Sons,n/a,52-921-7124,PowerShares DWA Consumer Staples Momentum Portfolio,PSL,n/a,BR69 6210 8414 5054 3676 1488 013M X
Kare,"Collier, Ankunding and Hermiston",Biotechnology: Biological Products (No Diagnostic Substances),21-010-8449,"NanoString Technologies, Inc.",NSTG,Health Care,FR16 9579 0450 19FX 8XP8 0QZP J67
Rhycero,Christiansen Group,Consumer Electronics/Appliances,91-332-4026,Universal Electronics Inc.,UEIC,Consumer Non-Durables,NO11 1441 6657 046
Oba,"Jacobi, Abbott and Stamm",Semiconductors,69-673-1975,"Skyworks Solutions, Inc.",SWKS,Technology,MD60 TRMU FW6Z INMN WD31 1WZI
Wordpedia,"Yost, Moen and Boyle",Medical/Dental Instruments,53-242-7698,"Penumbra, Inc.",PEN,Health Care,NO39 2614 9537 728
Topdrive,"Welch, Parker and Torphy",n/a,01-405-2752,Southern California Edison Company,SCE^G,n/a,SA64 61J4 WITY YU0H RKRK DQUY
Dynabox,Torphy-Keebler,Banks,35-587-2808,"FS Bancorp, Inc.",FSBW,Finance,LT02 5362 4903 1465 8390
Rhyzio,Ondricka Group,Electric Utilities: Central,24-208-0202,The AES Corporation,AES,Basic Industries,CY26 5460 8745 KTY8 T3K3 TMUV X8ME
Topicware,Ritchie-Franecki,n/a,20-577-4083,VEREIT Inc.,VER^F,n/a,MR16 9073 5409 0984 2846 9463 167
Omba,"Legros, Grady and Schulist",Radio And Television Broadcasting And Communications Equipment,90-323-1185,"Ubiquiti Networks, Inc.",UBNT,Technology,FR61 1823 8105 9927 HZQE FXGL 160
Feedbug,Johns Inc,n/a,82-436-8231,PowerShares DWA Momentum Portfolio,PDP,n/a,ME66 9703 8121 2878 0203 03
Devcast,Lowe-Treutel,Beverages (Production/Distribution),22-154-6094,Fomento Economico Mexicano S.A.B. de C.V.,FMX,Consumer Non-Durables,AT60 0821 8923 7481 5309
Ooba,"Schimmel, Cartwright and Stokes",Business Services,30-796-9432,"QuinStreet, Inc.",QNST,Miscellaneous,LT27 9868 4690 3502 7667
Meembee,"Smith, Klein and Dibbert",n/a,48-313-6954,Guggenheim Enhanced Equity Income Fund,GPM,n/a,CY66 1549 0634 KYBY KKPR IESF 2VC3
Bluejam,Ebert-Bednar,Major Banks,08-598-1462,"Boston Private Financial Holdings, Inc.",BPFHP,Finance,AZ73 CXVS SGUC OKEX PNE9 BZV6 05CV
Zoonder,"Lockman, Brakus and Hagenes",n/a,02-012-5358,Apollo Commercial Real Estate Finance,ARI^C,n/a,ES53 5810 7616 2960 9628 5037
Flipstorm,Maggio-Bruen,Military/Government/Technical,04-585-8259,"Willdan Group, Inc.",WLDN,Consumer Services,DO78 D1CD 5088 2431 3019 7035 7518
Twitternation,Durgan-Hane,Restaurants,22-147-8754,"Bloomin' Brands, Inc.",BLMN,Consumer Services,IS18 1750 9143 0802 1249 3321 35
Ooba,"Willms, Gottlieb and Howe",n/a,27-834-3752,"Blackrock MuniYield California Fund, Inc.",MYC,n/a,FR64 5379 2076 88WG 2EWM KSGR A03
Edgeclub,"Breitenberg, Dicki and Zieme",Oil Refining/Marketing,13-907-9187,"Echo Global Logistics, Inc.",ECHO,Transportation,BH08 FXVV MXQN OOLQ 9YQO BY
Riffpedia,Wiegand-Christiansen,Business Services,99-309-2243,"B. Riley Financial, Inc.",RILYL,Miscellaneous,AL48 9995 5888 T6ER SBUP 3XVH PHNI
Thoughtstorm,Koepp-Mertz,Consumer Electronics/Video Chains,01-544-6274,"Best Buy Co., Inc.",BBY,Consumer Services,BR19 1079 6013 6644 4855 2300 627I I
Jaxbean,Williamson and Sons,Biotechnology: Biological Products (No Diagnostic Substances),61-433-7643,"Editas Medicine, Inc.",EDIT,Health Care,LV22 XTXE SMHQ PQCD N6EQ Z
Yakitri,Jacobson LLC,Business Services,43-257-4019,"Gores Holdings II, Inc.",GSHTU,Finance,SA42 84RK IJUC SI7B YN4I NVZH
Feedmix,Yundt Group,Marine Transportation,36-815-6461,Seanergy Maritime Holdings Corp,SHIPW,Transportation,KZ64 931C Q7UP GDGE KW0G
Mymm,Johnson LLC,Computer Communications Equipment,01-735-7145,"Electronics for Imaging, Inc.",EFII,Technology,HU22 8482 1633 8728 2847 0652 5822
Quimm,Swaniawski and Sons,Biotechnology: Biological Products (No Diagnostic Substances),10-235-9022,"Atara Biotherapeutics, Inc.",ATRA,Health Care,FR07 8675 5989 91OY MWLI R29B I48
Centimia,"Crona, Steuber and Schumm",n/a,50-122-8485,Global X Yieldco Index ETF,YLCO,n/a,GI57 EQVU ZF3V 6PCU BZDL TUH
Innojam,Weissnat-Kautzer,Consumer Electronics/Video Chains,29-875-4432,"Best Buy Co., Inc.",BBY,Consumer Services,RO83 TBYT CJ14 9515 QKET KPAC
Quatz,Bode-Ondricka,Major Pharmaceuticals,00-731-3294,"Keryx Biopharmaceuticals, Inc.",KERX,Health Care,GT61 PKYO AVX6 LC0C IUH1 NYNT A4JL
Agimba,Bayer-Klocko,Military/Government/Technical,56-532-8831,"Hill International, Inc.",HIL,Consumer Services,CZ47 5197 1093 2123 9640 7226
Brightdog,Rutherford and Sons,Business Services,63-175-0748,Silver Run Acquisition Corporation II,SRUNW,Finance,TR71 3734 4OCG LAAS 0ZVS NOB2 EW
Bluezoom,"Runolfsdottir, Deckow and Auer",Major Pharmaceuticals,11-365-2510,GlaxoSmithKline PLC,GSK,Health Care,IT93 M006 2029 305D VWKI F1OA WAX
Innotype,Treutel Inc,Semiconductors,18-561-0991,Resonant Inc.,RESN,Technology,DK82 4467 7666 5242 62
Demimbu,Strosin-Runolfsdottir,Industrial Specialties,66-567-5234,"Intuitive Surgical, Inc.",ISRG,Health Care,CR06 1066 8598 6820 7814 2
Tagchat,Cartwright-Stanton,Real Estate Investment Trusts,65-540-8850,"Easterly Government Properties, Inc.",DEA,Consumer Services,RO70 PSQL NGYG B6HO LHYW I81R
Edgeclub,"Block, Kuhlman and Yost",Textiles,61-755-8501,"Xerium Technologies, Inc.",XRM,Basic Industries,AZ26 OIQC 6BSX L1WE PQAO DD07 HI0D
Photobug,Reichert-Reilly,n/a,62-879-8517,Bank of America Corporation,BML^J,n/a,GT21 KLKO TCZE WYTF L9SF E3HX LIGC
Flipbug,"Hoppe, Marvin and Bernier",n/a,50-908-1687,"Delaware Investments Dividend & Income Fund, Inc.",DDF,n/a,FR25 7048 4563 37PG UVN4 YIFD 470
Youfeed,"Johnson, Stark and O'Kon",Forest Products,07-734-6301,"Ply Gem Holdings, Inc.",PGEM,Basic Industries,RS69 0855 8931 4387 2879 81
