COMPANY NAME,INDUSTRY,ADDRESS,CITY,STATE,ZIP,P,WEBSITE URL,CEO,CONTACT TITLE,EMPLOYEES,SALES,SALES RANGE,SIC CODE,SIC DESCRIPTION,NAICS CODE,LATITUDE,LONGITUDE
"Air Products and Chemicals, Inc. Common Stock",Professional Services,"1032 15th Street, Suite 100",Sacramento,CA,95814,214-808-1261,adt.com,Steffanie Meinen,,,,Unknown,,"Business Consulting Services, NEC",,33.75782937,117.89
Morgan Stanley Asia,Other Business Services,703 First Ave.,Sunnyvale,CA,94089,682-632-5968,justmyweight.com,Antonette Stimac,,,,Unknown,,"Business Services, NEC",,37.24213,122.01819
Amphenol Corporation Common Stock,Other Business Services,927 Blcaom Hill Road # 1525,San Jose,CA,95123,214-808-1273,ethanallen.com,Thora Daneker,,20,6120000,,7389,"Business Services, NEC",541410,37.40638,121.86288
"Advanced Photonix, Inc. Class A Common Stock",Transportation & Shipping,2560 Merced Avenue,South El Monte,CA,91733,214-808-1274,vulcan.com,Nada Massanet,Owner,,,"$1,000,000 - $2,500,000",3592,"Carburetors, Pistons, Piston Rings, and Valves",332710,34.05891,118.05125
"Atlas Pipeline Partners, L.P. Common Units, No Par Value",Other Business Services,911 North Sepulveda Boulevard,El Segundo,CA,90245,214-808-1275,loanapp.com,Ivette Dills,,,0,"$1,000,000 - $2,500,000",7389,"Business Services, NEC",561499,33.930063,118.39625
"Atlas Pipeline Partners, L.P. Cumulative Redeemable Perpetual Preferred Units Class E",Legal,402 South Hope St # 1060,Los Angeles,CA,90071,214-808-1276,omm.com,Devon Delacerda,,1500,0,"$100,000 - $500,002",8111,Legal Services,541110,34.052214,118.253655
"Apollo Global Management, LLC Class A Common Shares Representing Class A Limitied Liability Company Interests",Printing & Publishing,9842 Sixth St.,Rancho Cucamonga,CA,91730,214-808-1277,safariprinting.com,Lon Tibbles,,2,414000,,,Printing and Writing Paper,,34.0859906,117.1699201
American Apparel Inc Common Stock,Legal,Po Box 1902,Redlands,CA,92373,214-808-1278,waynejohnsonlaw.com,Tennie Santanna,Owner,2,334000,,8111,Legal Services,541110,34.03424,117.2271428
"Alpha Pro Tech, Ltd. Common Stock",Legal,162 West Santa Clara St # 1050,San Jose,CA,95113,512-343-4499,businessandtechnologylawgroup.com,Fidelia Vilven,,6,1002000,,8111,Legal Services,541110,37.33495,121.89306
"Preferred Apartment Communities, Inc. Common Stock",Other Business Services,"1043 n ogden dr #1, West Holly",Lee Vining,CA,93541,512-343-4500,laxlegacylimo.com/,Michal Gunyan,,,,Unknown,,"Business Services, NEC",,38.0407566,119.1445951
"AmeriGas Partners, L.P. Common Stock",Other Business Services,413 Lewis Rd. #190,San Jose,CA,95111,682-632-5968,quantumleapdatarecovery.com/california/data-recovery-in-san-jose-ca/,Enola Yandow,,,,Unknown,,"Business Services, NEC",,37.2972,121.84171
"American Spectrum Realty, Inc. Common Stock",Professional Services,5632 Cerritos Avenue,Cypress,CA,90630,512-343-4502,wcct.com,Meghann Mamudoski,,,,"$100,000 - $500,000",8731,Commercial Physical and Biological Research,541712,33.810095,118.034016
Antero Resources Corporation Common Stock,Other Business Services,3418 Lancashire Lane,Modesto,CA,95350,512-343-4503,homereportcardinspections.com,Latanya Mattia,President,1,219000,,7389,"Business Services, NEC",531390,37.687055,120.98555
"ARC Document Solutions, Inc. Common Stock",Transportation & Shipping,7133 Mirabel Road,Forestville,CA,95436,682-632-5968,rruwater.com,Chandra Firlik,Owner,9,2322000,,3713,Truck and Bus Bodies,221310,38.47476,122.97307
Arcos Dorados Holdings Inc. Class A Shares,Other Business Services,3821 23rd St,San Francisco,CA,94114,512-343-4505,apieceofpeace.com,Barney Dewer,,,,"$100,000 - $500,000",7389,"Business Services, NEC",812199,37.753226,122.144004
Arc Logistic Partners LP Common Units representing limited partner interest,Legal,20752 Ventura Boulevard # 400,Woodland Hills,CA,91364,512-343-4506,lmwslaw.com,Ocie Chreene,Partner,75,12525000,,8111,Legal Services,541110,34.166503,118.585309
"Ares Dynamic Credit Allocation Fund, Inc. Common Shares",Insurance,14453 Chambers Road Ste 130,Tustin,CA,92780,682-632-5968,insuremegary.com,Precious Dubray,,,,Unknown,,"Insurance Agents, Brokers, and Service",,33.722,117.80749
"Alexandria Real Estate Equities, Inc. Common Stock",Professional Services,1129 11th St # 310,Sacramento,CA,95814,512-343-4506,theboveecompany.com,Sanda Laramie,Owner,8,1680000,,8742,Management Consulting Services,541820,38.57854,121.492657
"Alexandria Real Estate Equities, Inc. Pfd Ser E",Legal,537 Anton Boulevard # 810,Costa Mesa,CA,92626,214-808-1283,lawfriend.com,Gaynell Benavente,,,,"$100,000 - $500,002",8111,Legal Services,541110,33.69006,117.87687
Ares Management L.P. Common Units representing Limited Partner Interests,Professional Services,13263 Moorpark Street Suite 201,Sherman Oaks,CA,91423,214-808-1284,hadassteincpa.com,Bethanie Cutsforth,,4,1876000,,,"Accounting, Auditing, and Bookkeeping Services",,34.1503,118.422
"Airgas, Inc. Common Stock",Advertising & Marketing,8656 Washington Boulevard,Culver City,CA,90232,214-808-1285,haleymiranda.com,Yvette Capiga,Owner,10,2090000,,7311,Advertising Agencies,541810,34.02997,118.38266
Global X MSCI Argentina ETF,Professional Services,,San Diego,CA,92121,682-632-5968,wilsonarchitecture.com,Alana Blackmon,,1,207000,,8712,Architectural Services,541310,,
Arch Capital Group Ltd. 6.75% PFD sh S C,Printing & Publishing,696 South Oxford Avenue,Los Angeles,CA,90005,214-808-1289,calbook.org,Lakeesha Beachel,Other,,,Unknown,5192,"Books, Periodicals, and Newspapers",813319,34.06004,118.30777
"Apollo Commercial Real Estate Finance, Inc",Professional Services,3316 Capobella,Aliso Viejo,CA,92656,214-808-1290,yeseverestcs.com,Ailene Friedman,,,,Unknown,8742,Management Consulting Services,999990,33.59488,117.7333
Apollo Commercial Real Estate Finance Cumulative Redeemable Perpetual Preferred Stock Series A,Legal,357 South Grand Avenue # 2900,Los Angeles,CA,90071,214-808-1291,reedsmith.com,Valene Madson,,200,33400000,,8111,Legal Services,541110,34.052271,118.25199
ARK Genomic Revolution Multi,Legal,557 California St,San Francisco,CA,94104,214-808-1292,ltws.com,Floyd Bub,,4,668000,,8111,Legal Services,541110,37.792713,122.403218
ARK Innovation ETF,Insurance,2242 East Plaza Boulevard # L,National City,CA,91950,682-632-5968,farmersagent.com/tbundalian,Josue Hatherly,Manager,4,784000,,6411,"Insurance Agents, Brokers, and Service",524210,32.6787,117.08185
ARK Industrial Innovation ETF,Other Business Services,3327 Longview Drive,Sacramento,CA,95821,512-343-4509,local.terminix.com,Johnathon Wadden,,,,Unknown,7342,Disinfecting and Pest Control Services,561710,38.643401,121.386574
ARK Web x.0 ETF,Other Business Services,757 East Nees Avenue Unit 27156,Fresno,CA,93729,512-343-4510,levelupcareers.com,Kenneth Drizin,,,,"$100,000 - $500,002",7361,Employment Agencies,541612,36.85208,119.77133
"American Realty Investors, Inc. Common Stock",Other Business Services,603 East Holt Boulevard,Ontario,CA,91764,512-343-4511,acesmogcheck.com,Leila Titzer,,3,324000,,,"Business Services, NEC",,34.06323,117.2807822
Ares Multi,Legal,"7702 Irvine Center Drive, Suite 955",Irvine,CA,92618,512-343-4512,habbaspilaw.com/city/orange-county/,Marquetta Quinlisk,,3,510000,,,Legal Services,,33.659097,117.3493693
Aramark Common Stock,Legal,321 North Main St # B,Fort Bragg,CA,95437,682-632-5968,fortbragglaw.com,Annamae Beliles,Partner,2,334000,,8111,Legal Services,541110,39.44469,123.80607
Ares Capital Corporation 7.00% Senior Notes due 2022,Printing & Publishing,102 S. CITRUS SUITE 204,Covina,CA,91723,512-343-4508,rochaarts.com,An Dosal,,,,Unknown,,Miscellaneous Publishing,,34.086,117.89021
Aeropostale Inc Common Stock,Real Estate,2177 North Calif Boulevard # 300,Walnut Creek,CA,94596,682-632-5968,cbre.com,Karina Cortesi,,,,Unknown,6531,Real Estate Agents and Managers,531210,37.90945,122.06543
"Atlas Resource Partners, L.P. Common Units representing Limited Partner Interests",Legal,"8998 Miramar Rd, Ste 220",San Diego,CA,92126,214-808-1293,aimeemorris.com,Otis Luong,,,,Unknown,,Legal Services,,32.8940773,117.62057
"Atlas Resource Partners, L.P. CUM RED PERP PDF UNIT CL D %",Professional Services,1483 Ford St # 201,Redlands,CA,92373,214-808-1294,caeap.com,Brendan Kasperek,President,7,574000,,8748,"Business Consulting Services, NEC",624190,34.0373,117.77568
"American Residential Properties, Inc. Common Stock",Professional Services,3480 Buskirk Avenue # 215,Pleasant Hill,CA,94523,214-808-1237,mazeassociates.com,Keith Evartt,,38,3230000,,8721,"Accounting, Auditing, and Bookkeeping Services",541219,37.941521,122.0571
"ARMOUR Residential REIT, Inc.",Professional Services,28215 Foxlane Drive,Canyon Country,CA,91351,214-808-1238,svsmusicproductions.com,Paulina Arand,,,,"$50,000 - $100,002",8748,"Business Consulting Services, NEC",541618,34.434376,118.467039
Armour Residential REIT INC Preferred Series A,Legal,2227 East Bayshore Road # 200,Palo Alto,CA,94303,214-808-1239,williamclewis.com,Cherelle Welschmeyer,Owner,4,668000,,8111,Legal Services,541110,37.450303,122.123099
"ARMOUR Residential REIT, Inc. Preferred Series B",Professional Services,1545 West Grand Avenue,Grover Beach,CA,93433,918-354-8904,cashamerica.com,Percy Neelon,,,,$500.000 - $999.1001,8742,Management Consulting Services,522320,35.12117,120.61236
Ares Capital Corporation 5.875% Senior Notes due 2022,Professional Services,3527 Mount Diablo Boulevard 12,Lafayette,CA,94549,918-354-8905,maryfurlong.com,Margot Storrs,,,,"$100,000 - $500,000",8742,Management Consulting Services,541613,37.48928,122.19627
"Arrow Electronics, Inc. Common Stock",Legal,222 Bush St # 1611,San Francisco,CA,94104,918-354-8906,toothattorney.com,Paris Bellis,,7,1169000,,8111,Legal Services,541110,37.388636,122.275057
Ares Capital Corporation 7.75% Senior Notes due 2040,Insurance,6267 Greenwich Drive # 250,San Diego,CA,92122,214-808-1252,hpis.biz,Sina Masiejczyk,Chief Executive Officer,4,784000,,6411,"Insurance Agents, Brokers, and Service",524210,32.85448,117.18489
ASA  Gold and Precious Metals Limited,Professional Services,13024 Woodcock Avenue,Sylmar,CA,91342,214-808-1253,arpnetworks.com,Kimi Selfe,,,,"$100,000 - $500,000",8712,Architectural Services,541310,34.306059,118.455573
Associated Banc,Insurance,3172 Crow Canyon Place # 120,San Ramon,CA,94583,214-808-1254,farmersagent.com/jcarlson4,Chun Richrdson,Owner,,,"$100,000 - $500,000",6411,"Insurance Agents, Brokers, and Service",524210,37.777007,121.972435
Associated Banc,Real Estate,875 Stevens Avenue,Solana Beach,CA,92075,214-808-1255,equityapartments.com,Lelia Thiemann,Manager,4,792000,,6513,Operators of Apartment Buildings,531110,32.984008,117.25938
Associated Banc,Professional Services,5152 Candlewood St # 9g,Lakewood,CA,90712,682-632-5969,driverstuwilliams.com,Cordell Zinda,,,,"$100,000 - $500,000",8721,"Accounting, Auditing, and Bookkeeping Services",541211,33.85352,118.133016
Ardmore Shipping Corporation Common Stock,Professional Services,2207 Coy Avenue,Bakersfield,CA,93307,214-808-1251,krazan.com,Dorothy Aitken,President,6,1056000,,8748,"Business Consulting Services, NEC",541711,35.323233,118.99972
Global X Southeast Asia ETF,Other Business Services,6748 Greenleaf Ave,Whittier,CA,90601,214-808-1252,locksmith-los-alamitos.com,Chauncey Mcelreath,,,,Unknown,,"Business Services, NEC",,33.9794986,118.0370973
Liberty All,Real Estate,2803 Camino Del Rio South # 301,San Diego,CA,92108,918-354-8912,heffins.com,Tenesha Stropko,Owner,,,Unknown,6512,Operators of Nonresidential Buildings,523930,32.770913,117.134035
"On Assignment, Inc. Common Stock",Legal,1282 South Victoria Avenue # 125,Ventura,CA,93003,918-354-8913,venturadui.com,Anjelica Lovero,Partner,3,501000,,8111,Legal Services,541110,34.26307,119.21185
Ashland Inc. (NEW) Common Stock,Real Estate,4113 Viaduct Marina,Marina Del Rey,CA,90292,918-354-8914,oakwood.com,Olga Adessa,Manager,70,13860000,,6513,Operators of Apartment Buildings,531210,33.98252,118.461081
Deutsche X,Professional Services,1003 Bridgeway # 431,Sausalito,CA,94965,918-354-8915,unspoken.com,Monte Tindal,,2,460000,,8742,Management Consulting Services,541611,37.2337177,122.1296973
Deutsche X,Other Business Services,1862 El  Camino Real #55,Burlingame,CA,94010,918-354-8916,abcservicesssf.com,Pamela Mccoskey,,,,Unknown,,"Business Services, NEC",,37.313609,122.1742116
Avino Silver & Gold Mines Ltd. Common Shares (Canada),Printing & Publishing,9802 Baseline Road,Alta Loma,CA,91701,214-808-1270,dmjsystems.com,Toshia Lippoldt,,,,"$100,000 - $500,002",,"Commercial Printing, Lithographic",,34.1226993,117.5903695
"Aspen Aerogels, Inc. Common Stock",Professional Services,1732 Highway 89,Tahoe City,CA,96145,214-808-1271,sierrasheetmetalandheating.com,Polly Sandusky,Owner,9,1431000,,8748,"Business Consulting Services, NEC",541330,39.17409,120.15586
"Grupo Aeroportuario del Sureste, S.A. de C.V. Common Stock",Other Business Services,PO Box 765,Menlo Park,CA,94026,214-808-1272,happyspacessf.com,Judy Boerboom,,,,Unknown,,"Business Services, NEC",,37.47843933,122.19
"Asterias Biotherapeutics, Inc. Common Series A",Other Business Services,10863 Cherry St Ste 201,Los Alamitos,CA,90720,214-808-1273,medpromedicaltesting.com/,Celestine Pritt,,,,Unknown,,"Business Services, NEC",,33.804644,118.0686008
"Advanced Semiconductor Engineering, Inc. Common Stock",Other Business Services,1290 Kifer Rd. Suite 203,Sunnyvale,CA,94086,214-808-1274,aitech-usa.com,Murray Fode,,,,Unknown,,"Business Services, NEC",,37.3727,121.990151
Atlantic Power Corporation Ordinary Shares (Canada),Other Business Services,2527 N McCall Ave,Sanger,CA,93657,214-808-1275,woodspest.com/,Shoshana Courter,Owner,,,"$100,000 - $500,000",,Disinfecting and Pest Control Services,,36.7724511,119.611538
Advantest Corporation (Kabushiki Kaisha Advantest) ADS American Depositary Shares,Other Business Services,40612 County Center Drive,Temecula,CA,92591,918-354-8900,staffmark.com,Glendora Pezley,,,,"$100,000 - $500,000",7361,Employment Agencies,561311,33.127434,117.15916
"A10 Networks, Inc. Common Stock",Professional Services,7079 Orangewood Avenue # 112,Garden Grove,CA,92841,214-808-1262,hrnetworkinc.com,Carlene Kana,Owner,5,850000,,8742,Management Consulting Services,541612,33.172564,118.100061
"Autohome Inc. American Depositary Shares, each representing one class A ordinary share.",Legal,517 South Figueroa St # 1515,Los Angeles,CA,90071,682-632-5969,hpdlegal.net,Adria Gilliam,Manager,5,835000,,8111,Legal Services,541110,34.052068,118.124834
Allegheny Technologies Incorporated Common Stock,Real Estate,2093 Rose St,Berkeley,CA,94709,214-808-1279,gordoncommercial.com,Paola Perkins,Owner,4,536000,,6531,Real Estate Agents and Managers,531210,37.88201,122.27031
Alliant Techsystems Inc. Common Stock,Printing & Publishing,21802 Oxnard St # 250,Woodland Hills,CA,91367,214-808-1280,penton.com,Elina Maury,,,,Unknown,2721,"Periodicals: Publishing, or Publishing and Printing",511120,,
Atlatsa Resources Corporation,Real Estate,4618 Collwood Lane,San Diego,CA,92115,214-808-1281,propertysandiego.com,Emile Dorio,,,,"$100,000 - $500,000",6512,Operators of Nonresidential Buildings,531312,32.767179,117.084869
"Atlas Energy, L.P. Common Units",Other Business Services,335 Washington Boulevard # 360,Marina Del Rey,CA,90292,214-808-1282,familyentertainment.biz,Zoila Lannigan,Owner,3,1038000,,7389,"Business Services, NEC",454390,33.98123,118.46378
Barclays ETN Plus Select MLP,Advertising & Marketing,7364 Mannix Court,San Diego,CA,92129,214-808-1283,mynextsign.com,Yong Yestramski,Owner,,,"$100,000 - $500,000",3993,Signs and Advertising Specialties,339950,32.938833,117.163825
"Actinium Pharmaceuticals, Inc. (Delaware) Common Stock",Printing & Publishing,2819 West Magnolia Boulevard,Burbank,CA,91505,214-808-1284,hayescoprinting.com,Leontine Stalma,President,5,715000,,2752,"Commercial Printing, Lithographic",323111,34.17071,118.33869
Atmos Energy Corporation Common Stock,Real Estate,923 East Hillsdale Boulevard,San Mateo,CA,94404,512-343-4501,waxcenter.com/ca-foster-city,Troy Dicus,,,,"$1,000,000 - $2,500,002",6512,Operators of Nonresidential Buildings,531120,37.55597,122.2752
"AptarGroup, Inc. Common Stock",Printing & Publishing,3602 American River Drive # 203,Sacramento,CA,95864,512-343-4502,mazzetti.com,Annamaria Vanhuss,,10,2070000,,7363,Help Supply Services,561320,38.569931,121.380921
Atento S.A. Ordinary Shares,Real Estate,P.O. Box 57-2467,Tarzana,CA,91357,682-632-5969,shcommercialrealestate.com,Dorothea Lowther,,,,Unknown,,Real Estate Agents and Managers,,33.7917979,118.2315573
Actuant Corporation Common Stock,Other Business Services,1014 South Wall Street,Los Angeles,CA,90015,512-343-4504,musadirect.com,Marion Letran,,3,2697000,,,"Business Services, NEC",,34.706655,118.25355
"Acorn International, Inc. ADS",Other Business Services,80 ilex drive,Newbury Park,CA,91320,512-343-4505,ultimizer.net,Avery Masso,,,,Unknown,,"Business Services, NEC",,34.882391,118.926957
"Atwood Oceanics, Inc. Common Stock",Professional Services,4112 Palisades Road,San Diego,CA,92116,682-632-5969,freibergs.com,Trinidad Bredernitz,Manager,,,$500.000 - $999.1001,8741,Management Services,541618,32.77491,117.19462
AngloGold Ashanti Limited Common Stock,Other Business Services,2064 Business Center Drive #140,Irvine,CA,92612,512-343-4507,skylinerecoveryllc.com,Herminia Penso,,,,Unknown,,"Business Services, NEC",,33.67875,117.2649
Golden Minerals Company Common Stock,Legal,106 15th St,West Sacramento,CA,95691,512-343-4508,apfss.com,Val Bigaud,Owner,8,3248000,,8111,Legal Services,517919,38.57123,121.5251
WisdomTree Australia New Zealand Debt Fund,Other Business Services,627 Broadway,San Diego,CA,92101,682-632-5969,altaplanning.com,Renay Oviedo,Manager,,,$500.000 - $999.1001,7389,"Business Services, NEC",541410,32.715657,117.15903
AU Optronics Corp American Depositary Shares,Other Business Services,15262 Ventura Boulevard # 1150,Sherman Oaks,CA,91403,512-343-4507,spherion.com,Buck Kotow,,,,"$100,000 - $500,002",7361,Employment Agencies,561311,34.153682,118.46574
AuRico Gold Inc. Ordinary Shares,Insurance,9618 Schlitz Road,Phelan,CA,92371,214-808-1286,deliveringonthepromise.com/rdemarco,Toi Rollison,,,,"$1,000,000 - $2,500,002",,Hospital and Medical Service Plans,,34.42507,117.53407
WisdomTree Australia Dividend Index,Other Business Services,25878 The Old Rd. #179,Stevenson Ranch,CA,91381,214-808-1287,jesusarteaga.com,Shanice Pennel,,,,Unknown,,"Business Services, NEC",,34.39208,118.1212793
Yamana Gold Inc. Ordinary Shares (Canada),Media,3602 West Magnolia Boulevard,Burbank,CA,91505,214-808-1288,lastudios.info,Oliva Ramerez,,,,"$1,000,000 - $2,500,002",7812,Motion Picture and Video Tape Production,512110,34.167992,118.1501661
Aviva plc Unsponsored ADR (UK),Professional Services,1143 Scenic Drive # 100,Modesto,CA,95350,214-808-1243,athertoncpas.com,Tamera Crocker,,22,3806000,,8721,"Accounting, Auditing, and Bookkeeping Services",541211,37.64825,120.97762
Avista Corporation Common Stock,Warehousing & Storage,1848 South 4th St,El Centro,CA,92243,214-808-1244,elcentrointerstate.com,Melvin Rather,Owner,,,"$100,000 - $500,000",4225,General Warehousing and Storage,531130,32.77685,115.55226
Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares),Legal,691 North Arrowhead Avenue,San Bernardino,CA,92401,214-808-1245,robertgrantlaw.com,Essie Fitzke,Owner,,,"$100,000 - $500,000",8111,Legal Services,541110,34.11176,117.29
"AvalonBay Communities, Inc. Common Stock",Other Business Services,1404 E. Juana,San Leandro,CA,94577,918-354-8904,ghaspwaterdamagerestoration.com/mold-testing/ca/mold-inspection-in-san-leandro-ca/,Shay Knieper,,,,Unknown,,"Business Services, NEC",,37.72972,122.13378
American Vanguard Corporation Common Stock ($0.10 Par Value),Legal,430 Yale Avenue,Claremont,CA,91711,918-354-8905,paulbrisson.com,Ruby Sensibaugh,,,,Unknown,,Legal Services,,34.09795,117.71791
AVG Technologies N.V. Ordinary Shares,Professional Services,2837 North Naomi St,Burbank,CA,91504,918-354-8906,aetlab.com,Caren Doscher,Executive Director,35,5005000,,8734,Testing Laboratories,541380,34.20341,118.33996
Avianca Holdings S.A. American Depositary Shares (Each representing 8 preferred Shares),Professional Services,31980 Hilltop Boulevard # D,Running Springs,CA,92382,214-808-1252,brsltd.org,Frank Amend,CEO,,,Unknown,8734,Testing Laboratories,541380,34.2055,117.10597
"Aviv REIT, Inc. Common Stock",Advertising & Marketing,2833 F St,Eureka,CA,95501,214-808-1253,coxrasmussen.com,Lasandra Frisinger,Owner,5,1045000,,7311,Advertising Agencies,541810,40.7826,124.16367
Advent Claymore Convertible Securities and Income Fund,Professional Services,5306 Betsy Ross Drive,Santa Clara,CA,95054,214-808-1254,promo-line.com,Sommer Frere,Owner,50,10500000,,8743,Public Relations Services,237130,37.407367,121.2393469
"Avalon Rare Metals, Inc. Ordinary Shares (Canada)",Insurance,658 University Avenue,Sacramento,CA,95825,214-808-1255,perryfn.com,Gretchen Mckeon,President,10,1960000,,6411,"Insurance Agents, Brokers, and Service",524210,38.567121,121.2956036
Avolon Holdings Limited Common Shares,Other Business Services,14003 Jamboree Road,Irvine,CA,92606,682-632-5969,irvinecompany.com,Providencia Marien,,,,$500.000 - $999.1002,7361,Employment Agencies,561311,33.233888,117.3555673
"Avon Products, Inc. Common Stock",Other Business Services,4573 Eucalyptus Avenue,Chino,CA,91710,214-808-1251,rainchainsworld.com,Lindsey Arnoldi,,,,Unknown,,"Business Services, NEC",,33.260885,117.4280874
"Avnet, Inc. Common Stock",Other Business Services,314 California St # 400,San Francisco,CA,94104,214-808-1252,jmoorepartners.com,Romana Riesgraf,,,,"$100,000 - $500,003",7389,"Business Services, NEC",522320,37.793119,122.400141
Aviva plc Subordinated Capital Securities due 2041,Professional Services,3655 Viaduct Lujosa,Escondido,CA,92025,918-354-8912,resourcetrends.com,Nobuko Logwood,,1,135000,,8748,"Business Consulting Services, NEC",541910,33.070379,117.047899
AVX Corporation Common Stock,Real Estate,333 Pythian Road,Santa Rosa,CA,95409,918-354-8913,torvickrealestate.com,Shawnna Arredondo,President,2,268000,,6531,Real Estate Agents and Managers,531210,38.43007,122.58208
Avery Dennison Corporation Common Stock,Legal,103 West San Fernando St # 300,San Jose,CA,95113,918-354-8914,zilkakotab.com,Doyle Hathcox,,2,334000,,8111,Legal Services,541110,37.1273862,121.140558
Alliancebernstein Global High Income Fund,Legal,15703 Winchester Boulevard,Los Gatos,CA,95030,918-354-8915,receiversinc.com,Jacinta Deppen,Owner,2,334000,,8111,Legal Services,541110,37.1480615,121.149135
"Allied World Assurance Company Holdings, AG (Switzerland)",Other Business Services,4503 Woodman Ave. Suite A,Sherman Oaks,CA,91423,918-354-8916,ziegelgroup.com,Tawanna Kuamoo,,,,Unknown,,"Business Services, NEC",,34.1530861,118.4308632
Armstrong World Industries Inc Common Stock,Other Business Services,251 Rickenbacker Circle,Livermore,CA,94551,214-808-1270,clarkpest.com,Christa Cloutier,,,,Unknown,7342,Disinfecting and Pest Control Services,561710,37.691845,121.8038
"American Water Works Company, Inc. Common Stock",Legal,8914 Research Drive,Irvine,CA,92618,214-808-1271,shimokaji.com,Noe Kotz,Owner,,,$500.000 - $999.1002,8111,Legal Services,541110,33.6427,117.73776
Alpine Global Premier Properties Fund Alpine Global Premier Properties Fund Common Shares of Beneficial Interest,Professional Services,4273 North Blackstone Avenue # 110,Fresno,CA,93726,214-808-1272,chcfresno.org,Ellen Fajen,Executive Director,,,"$1,000,000 - $2,500,003",8748,"Business Consulting Services, NEC",531390,36.795289,119.790415
American States Water Company Common Stock,Other Business Services,27703 Medical Center Road,Mission Viejo,CA,92691,214-808-1273,mission4health.com,Tequila Pelletier,,2000,212000000,,7389,"Business Services, NEC",561499,33.56187,117.6676
Avalon Holdings Corporation Common Stock,Professional Services,13704 Riverside Drive # 604,Sherman Oaks,CA,91423,214-808-1274,levineandassociates.com,Tawny Bonventre,Owner,2,420000,,8743,Public Relations Services,541820,34.157669,118.431302
Anixter International Inc. Common Stock,Printing & Publishing,12403 High Bluff Drive # 100,San Diego,CA,92130,214-808-1275,amnhealthcare.com,Rosalyn Mcspedon,CEO,1700,705843000,,7363,Help Supply Services,561330,32.94466,117.24061
WisdomTree Asia Pacific ex,Legal,3422 West Shaw Avenue,Fresno,CA,93711,918-354-8900,gltlaw.com,Noble Miyata,,9,1503000,,8111,Legal Services,541110,36.80816,119.85421
iShares MSCI Asia ex Japan Minimum Volatility ETF,Professional Services,"1033 15th Street, Suite 100",Sacramento,CA,95814,214-808-1262,adt.com,Lucille Hubbell,,,,Unknown,,"Business Consulting Services, NEC",,33.75782937,117.9
"American Axle & Manufacturing Holdings, Inc. Common Stock",Other Business Services,704 First Ave.,Sunnyvale,CA,94089,682-632-5969,justmyweight.com,Azzie Tuazon,,,,Unknown,,"Business Services, NEC",,37.57063,122.0182
Axiall Corporation Common Stock,Other Business Services,928 Blcaom Hill Road # 1525,San Jose,CA,95123,214-808-1279,ethanallen.com,Darci Arau,,20,6120000,,7389,"Business Services, NEC",541410,37.73488,121.862881
"Aoxing Pharmaceutical Company, Inc. New Common Stock",Transportation & Shipping,2561 Merced Avenue,South El Monte,CA,91733,214-808-1280,vulcan.com,King Suman,Owner,,,"$1,000,000 - $2,500,000",3592,"Carburetors, Pistons, Piston Rings, and Valves",332710,34.05892,118.05125
American Express Company Common Stock,Other Business Services,912 North Sepulveda Boulevard,El Segundo,CA,90245,214-808-1281,loanapp.com,Denny Zeanah,,,0,"$1,000,000 - $2,500,000",7389,"Business Services, NEC",561499,33.930064,118.39625
AMREP Corporation Common Stock,Legal,403 South Hope St # 1060,Los Angeles,CA,90071,214-808-1282,omm.com,Anissa Frayer,,1500,0,"$100,000 - $500,003",8111,Legal Services,541110,34.052214,118.253655
Axis Capital Holdings Limited Common Stock,Printing & Publishing,9843 Sixth St.,Rancho Cucamonga,CA,91730,214-808-1283,safariprinting.com,Rosann Heinricher,,2,414000,,,Printing and Writing Paper,,34.0859906,117.2843656
Axis Capital Holdings Limited Preferred Series C (Bermuda),Legal,Po Box 1903,Redlands,CA,92373,214-808-1284,waynejohnsonlaw.com,Jeannine Rippy,Owner,2,334000,,8111,Legal Services,541110,34.03424,117.3415883
Axis Capital Holdings Limited Preferred Series D (Bermuda),Legal,163 West Santa Clara St # 1050,San Jose,CA,95113,512-343-4501,businessandtechnologylawgroup.com,Lashaun Casteneda,,6,1002000,,8111,Legal Services,541110,37.33496,121.89307
Axalta Coating Systems Ltd. Common Shares,Other Business Services,"1044 n ogden dr #1, West Holly",Lee Vining,CA,93541,512-343-4502,laxlegacylimo.com/,Miesha Walen,,,,Unknown,,"Business Services, NEC",,38.0407567,119.1445952
Alexco Resource Corp Common Shares (Canada),Other Business Services,414 Lewis Rd. #190,San Jose,CA,95111,682-632-5969,quantumleapdatarecovery.com/california/data-recovery-in-san-jose-ca/,Marva Kountz,,,,Unknown,,"Business Services, NEC",,37.29721,121.84172
Alderon Iron Ore Corp. Ordinary Shares (Canada),Professional Services,5633 Cerritos Avenue,Cypress,CA,90630,512-343-4504,wcct.com,Dion Lamastus,,,,"$100,000 - $500,000",8731,Commercial Physical and Biological Research,541712,33.810096,118.034017
Acuity Brands Inc (Holding Company),Other Business Services,3419 Lancashire Lane,Modesto,CA,95350,512-343-4505,homereportcardinspections.com,Hassie Sarkin,President,1,219000,,7389,"Business Services, NEC",531390,37.687056,120.985551
