COMPANY NAME,INDUSTRY,ADDRESS,CITY,STATE,ZIP,COUNTY,number,WEBSITE URL,CEO,CONTACT TITLE,NUMBER OF EMPLOYEES,EMPLOYEE SIZE,SALES,SALES RANGE,SIC CODE,SIC DESCRIPTION,NAICS CODE,LATITUDE,LONGITUDE
"Knight Transportation, Inc. Common Stock",Professional Services,1568 West Grand Avenue,Grover Beach,CA,93433,San Luis Obispo,918-354-8973,cashamerica.com,Dan Hutton,,,4-Jan,,$500.000 - $999.1024,8742,Management Consulting Services,522320,35.1214,120.61259
Coca,Professional Services,3550 Mount Diablo Boulevard 12,Lafayette,CA,94549,Contra Costa,918-354-8974,maryfurlong.com,Mary Furlong,,,4-Jan,,"$100,000 - $500,000",8742,Management Consulting Services,541613,37.4140344,122.3820472
Eastman Kodak Company Common New,Legal,245 Bush St # 1611,San Francisco,CA,94104,San Francisco,918-354-8975,toothattorney.com,James Davis,,7,,1169000,,8111,Legal Services,541110,37.4240988,122.3899259
Eastman Kodak Company Wt Exp 135%,Insurance,6290 Greenwich Drive # 250,San Diego,CA,92122,San Diego,214-808-1344,hpis.biz,Wayne Washkowiak,Chief Executive Officer,4,,784000,,6411,"Insurance Agents, Brokers, and Service",524210,32.85471,117.18512
"Eastman Kodak Company Warrant (Expiring September 3, 2018)",Professional Services,13047 Woodcock Avenue,Sylmar,CA,91342,Los Angeles,214-808-1345,arpnetworks.com,,,,4-Jan,,"$100,000 - $500,000",8712,Architectural Services,541310,34.306082,118.455596
Coca Cola Femsa S.A.B. de C.V.  Common Stock,Insurance,3195 Crow Canyon Place # 120,San Ramon,CA,94583,Contra Costa,214-808-1346,farmersagent.com/jcarlson27,Jason Carlson,Owner,,4-Jan,,"$100,000 - $500,000",6411,"Insurance Agents, Brokers, and Service",524210,37.77703,121.972458
Market Vectors Coal ETF,Real Estate,898 Stevens Avenue,Solana Beach,CA,92075,San Diego,214-808-1347,equityapartments.com,James Peterson,Manager,4,,792000,,6513,Operators of Apartment Buildings,531110,32.984031,117.25961
ProShares UltraShort Bloomberg Natural Gas,Professional Services,5175 Candlewood St # 9g,Lakewood,CA,90712,Los Angeles,682-632-5992,driverstuwilliams.com,Kyle Driver,,,4-Jan,,"$100,000 - $500,000",8721,"Accounting, Auditing, and Bookkeeping Services",541211,33.853543,118.133016
Koppers Holdings Inc. Koppers Holdings Inc. Common Stock,Professional Services,2230 Coy Avenue,Bakersfield,CA,93307,Kern,214-808-1297,krazan.com,Dean Alexander,President,6,,1056000,,8748,"Business Consulting Services, NEC",541711,35.323256,118.99972
Michael Kors Holdings Limited Ordinary Shares,Other Business Services,6771 Greenleaf Ave,Whittier,CA,90601,Los Angeles,214-808-1298,locksmith-los-alamitos.com,,,,4-Jan,,Unknown,,"Business Services, NEC",,33.9795009,118.0370973
Direxion Daily South Korea Bull 3X Shares,Real Estate,2826 Camino Del Rio South # 301,San Diego,CA,92108,San Diego,918-354-9027,heffins.com,Shawn Heffernan,Owner,,4-Jan,,Unknown,6512,Operators of Nonresidential Buildings,523930,32.770936,117.134058
Kosmos Energy Ltd. Common Shares,Legal,1305 South Victoria Avenue # 125,Ventura,CA,93003,Ventura,918-354-9028,venturadui.com,Steven Powell,Partner,3,,501000,,8111,Legal Services,541110,34.2633,119.21208
Kroger Company (The) Common Stock,Real Estate,4136 Viaduct Marina,Marina Del Rey,CA,90292,Los Angeles,918-354-9029,oakwood.com,Oakwood Kornblugh,Manager,70,,13860000,,6513,Operators of Apartment Buildings,531210,33.982543,118.461104
"Kraton Performance Polymers, Inc Common Stock",Professional Services,1026 Bridgeway # 431,Sausalito,CA,94965,Marin,918-354-9030,unspoken.com,Steven Lee Ulrich,,2,,460000,,8742,Management Consulting Services,541611,37.39087175,122.2177355
Kilroy Realty Corporation Common Stock,Other Business Services,1885 El  Camino Real #55,Burlingame,CA,94010,San Mateo,918-354-9031,abcservicesssf.com,Claudia Giraldo,,,4-Jan,,Unknown,,"Business Services, NEC",,37.39886088,122.2221869
Kilroy Realty Corporation Preferred Stock Series G,Printing & Publishing,9825 Baseline Road,Alta Loma,CA,91701,San Bernardino,214-808-1408,dmjsystems.com,DAVID JOHNS,,,4-Jan,,"$100,000 - $500,025",,"Commercial Printing, Lithographic",,34.1227016,117.5903718
Kilroy Realty Corporation Pfd Ser H,Professional Services,1755 Highway 89,Tahoe City,CA,96145,Placer,214-808-1409,sierrasheetmetalandheating.com,Jim Casey,Owner,9,,1431000,,8748,"Business Consulting Services, NEC",541330,39.17432,120.15609
SPDR S&P Regional Banking ETF,Other Business Services,PO Box 788,Menlo Park,CA,94026,,214-808-1410,happyspacessf.com,Natalia Mulholland,,,4-Jan,,Unknown,,"Business Services, NEC",,37.47843933,122.42
Kite Realty Group Trust Common Stock,Other Business Services,10886 Cherry St Ste 201,Los Alamitos,CA,90720,Orange,214-808-1411,medpromedicaltesting.com/,MedPro Testing Services,,,4-Jan,,Unknown,,"Business Services, NEC",,33.804667,118.0686031
Kite Realty Group Trust PERP PFD SER A,Other Business Services,1313 Kifer Rd. Suite 203,Sunnyvale,CA,94086,Santa Clara,214-808-1412,aitech-usa.com,Shanny Wang,,,4-Jan,,Unknown,,"Business Services, NEC",,37.372723,121.990174
Kronos Worldwide Inc Common Stock,Other Business Services,2550 N McCall Ave,Sanger,CA,93657,Fresno,214-808-1413,woodspest.com/,Greg Cook,Owner,,4-Jan,,"$100,000 - $500,000",,Disinfecting and Pest Control Services,,36.7724534,119.611561
IQ Australia Small Cap ETF,Other Business Services,40635 County Center Drive,Temecula,CA,92591,Riverside,918-354-8923,staffmark.com,,,,4-Jan,,"$100,000 - $500,000",7361,Employment Agencies,561311,33.2203414,117.15939
ProShares Short KBW Regional Banking,Professional Services,7102 Orangewood Avenue # 112,Garden Grove,CA,92841,Orange,214-808-1285,hrnetworkinc.com,Audrianne Adams-Lee,Owner,5,,850000,,8742,Management Consulting Services,541612,33.2248544,118.1239619
ProShares Ultra KBW Regional Banking,Legal,540 South Figueroa St # 1515,Los Angeles,CA,90071,Los Angeles,682-632-5992,hpdlegal.net,Robert Prata,Manager,5,,835000,,8111,Legal Services,541110,34.052091,118.1264392
KapStone Paper and Packaging Corporation Common Stock,Real Estate,2116 Rose St,Berkeley,CA,94709,Alameda,214-808-1417,gordoncommercial.com,John Gordon,Owner,4,,536000,,6531,Real Estate Agents and Managers,531210,37.88224,122.27054
Deutsche Strategic Municiple Income Trust Common Shares of Beneficial Interest,Printing & Publishing,21825 Oxnard St # 250,Woodland Hills,CA,91367,Los Angeles,214-808-1418,penton.com,Hershal Sarbin,,,4-Jan,,Unknown,2721,"Periodicals: Publishing, or Publishing and Printing",511120,,
Kohl's Corporation Common Stock,Real Estate,4641 Collwood Lane,San Diego,CA,92115,San Diego,214-808-1419,propertysandiego.com,,,,4-Jan,,"$100,000 - $500,000",6512,Operators of Nonresidential Buildings,531312,32.767202,117.084892
Deutsche Strategic Income Trust Shares of Beneficial Interest,Other Business Services,358 Washington Boulevard # 360,Marina Del Rey,CA,90292,Los Angeles,214-808-1420,familyentertainment.biz,Kermit Murray,Owner,3,,1038000,,7389,"Business Services, NEC",454390,33.98146,118.46401
Kansas City Southern Common Stock,Advertising & Marketing,7387 Mannix Court,San Diego,CA,92129,San Diego,214-808-1421,mynextsign.com,Ong Yang,Owner,,4-Jan,,"$100,000 - $500,000",3993,Signs and Advertising Specialties,339950,32.938856,117.163848
Kansas City Southern Preferred Stock,Printing & Publishing,2842 West Magnolia Boulevard,Burbank,CA,91505,Los Angeles,214-808-1422,hayescoprinting.com,Dan Sumner,President,5,,715000,,2752,"Commercial Printing, Lithographic",323111,34.17094,118.33892
KT Corporation Common Stock,Real Estate,946 East Hillsdale Boulevard,San Mateo,CA,94404,San Mateo,512-343-4547,waxcenter.com/ca-foster-city,,,,4-Jan,,"$1,000,000 - $2,500,025",6512,Operators of Nonresidential Buildings,531120,37.5562,122.27543
Deutsche Municiple Income Trust Common Shares,Printing & Publishing,3625 American River Drive # 203,Sacramento,CA,95864,Sacramento,512-343-4548,mazzetti.com,Bill Mazzetti,,10,,2070000,,7363,Help Supply Services,561320,38.569954,121.380944
Structures Products Cp 8% CorTS Issued by Peco Energy Cap Tr II Preferred Stock,Real Estate,P.O. Box 57-2490,Tarzana,CA,91357,,682-632-5992,shcommercialrealestate.com,Susan (Sue) Horowitz,,,4-Jan,,Unknown,,Real Estate Agents and Managers,,33.7918002,118.2315573
Structured Products Corp 8.205% CorTS 8.205% Corporate Backed Trust Securities (CorTS),Other Business Services,1037 South Wall Street,Los Angeles,CA,90015,Los Angeles,512-343-4550,musadirect.com,James Bae,,3,,2697000,,,"Business Services, NEC",,34.8790511,118.25355
Corts 7.625 Pfd Common Stock,Other Business Services,103 ilex drive,Newbury Park,CA,91320,Ventura,512-343-4551,ultimizer.net,Monica Vernon,,,4-Jan,,Unknown,,"Business Services, NEC",,34.8966247,118.926957
Kennedy,Professional Services,4135 Palisades Road,San Diego,CA,92116,San Diego,682-632-5992,freibergs.com,Patti Cipro,Manager,,4-Jan,,$500.000 - $999.1024,8741,Management Services,541618,32.774933,117.997644
Kennedy,Other Business Services,2087 Business Center Drive #140,Irvine,CA,92612,Orange,512-343-4553,skylinerecoveryllc.com,keng kasn,,,4-Jan,,Unknown,,"Business Services, NEC",,33.67898,117.1019755
Quaker Chemical Corporation Common Stock,Legal,129 15th St,West Sacramento,CA,95691,Yolo,512-343-4554,apfss.com,Loriann Calles,Owner,8,,3248000,,8111,Legal Services,517919,38.57146,121.5274
Market Vectors Solar Energy ETF,Other Business Services,650 Broadway,San Diego,CA,92101,San Diego,682-632-5992,altaplanning.com,Sherry Ryan,Manager,,4-Jan,,$500.000 - $999.1024,7389,"Business Services, NEC",541410,32.71568,117.15926
iShares Global Consumer Staples ETF,Other Business Services,15285 Ventura Boulevard # 1150,Sherman Oaks,CA,91403,Los Angeles,512-343-4530,spherion.com,,,,4-Jan,,"$100,000 - $500,025",7361,Employment Agencies,561311,34.153682,118.46597
"Kayne Anderson Total Energy Return Fund, Inc. Common Stock",Insurance,9641 Schlitz Road,Phelan,CA,92371,San Bernardino,214-808-1355,deliveringonthepromise.com/rdemarco,Robin DeMarco,,,4-Jan,,"$1,000,000 - $2,500,025",,Hospital and Medical Service Plans,,34.42507,117.5343
Kayne Anderson MLP Investment Company Common Stock,Other Business Services,25901 The Old Rd. #179,Stevenson Ranch,CA,91381,Los Angeles,214-808-1356,jesusarteaga.com,Jesus Arteaga,,,4-Jan,,Unknown,,"Business Services, NEC",,34.39208,118.1450072
"Kayne Anderson MLP Investment Company Series E Mandatory Redeemable Preferred Shares, $25.00 liquidation preference",Media,3625 West Magnolia Boulevard,Burbank,CA,91505,Los Angeles,214-808-1357,lastudios.info,Helgar Pedrini,,,4-Jan,,"$1,000,000 - $2,500,025",7812,Motion Picture and Video Tape Production,512110,34.167992,118.1478959
Kayne Anderson MLP Investment Company 3.50% Series F Mandatory Redeemable Preferred Shares $25.00 Liquidation Preference per share,Professional Services,1166 Scenic Drive # 100,Modesto,CA,95350,Stanislaus,214-808-1312,athertoncpas.com,Linda Stanley,,22,,3806000,,8721,"Accounting, Auditing, and Bookkeeping Services",541211,37.648273,120.97785
Kayne Anderson MLP Investment Company Series G Mandatory Redeemable Preferred Shares Liquidation Preference,Warehousing & Storage,1871 South 4th St,El Centro,CA,92243,Imperial,214-808-1313,elcentrointerstate.com,Steve Gray,Owner,,4-Jan,,"$100,000 - $500,000",4225,General Warehousing and Storage,531130,32.77708,115.55249
Kyocera Corporation Common Stock,Legal,714 North Arrowhead Avenue,San Bernardino,CA,92401,San Bernardino,214-808-1314,robertgrantlaw.com,Robert Grant,Owner,,4-Jan,,"$100,000 - $500,000",8111,Legal Services,541110,34.11199,117.2923
Loews Corporation Common Stock,Other Business Services,1427 E. Juana,San Leandro,CA,94577,Alameda,918-354-8973,ghaspwaterdamagerestoration.com/mold-testing/ca/mold-inspection-in-san-leandro-ca/,Terrence Gentry,,,4-Jan,,Unknown,,"Business Services, NEC",,37.72995,122.13401
"Lithia Motors, Inc. Common Stock",Legal,453 Yale Avenue,Claremont,CA,91711,Los Angeles,918-354-8974,paulbrisson.com,Paul Brisson,,,4-Jan,,Unknown,,Legal Services,,34.09795,117.71814
Ladder Capital Corp Class A Common Stock,Professional Services,2860 North Naomi St,Burbank,CA,91504,Los Angeles,918-354-8975,aetlab.com,Cyrus Razmara,Executive Director,35,,5005000,,8734,Testing Laboratories,541380,34.20341,118.34019
SPDR Barclays Aggregate Bond ETF,Professional Services,32003 Hilltop Boulevard # D,Running Springs,CA,92382,San Bernardino,214-808-1344,brsltd.org,Victor Cintron,CEO,,4-Jan,,Unknown,8734,Testing Laboratories,541380,34.2055,117.1062
"Aberdeen Latin America Equity Fund, Inc.",Advertising & Marketing,2856 F St,Eureka,CA,95501,Humboldt,214-808-1345,coxrasmussen.com,Alicia Cox,Owner,5,,1045000,,7311,Advertising Agencies,541810,40.7849,124.1639
"Lentuo International Inc. American Depositary Shares, each representing two ordinary shares",Professional Services,5329 Betsy Ross Drive,Santa Clara,CA,95054,Santa Clara,214-808-1346,promo-line.com,Aldad Matityahu,Owner,50,,10500000,,8743,Public Relations Services,237130,37.40739,121.2827155
"Lazard LTD. Lazard, LTD. Class A Common Stock",Insurance,681 University Avenue,Sacramento,CA,95825,Sacramento,214-808-1347,perryfn.com,Jeff Perry,President,10,,1960000,,6411,"Insurance Agents, Brokers, and Service",524210,38.567144,121.2883412
"L Brands, Inc.",Other Business Services,14026 Jamboree Road,Irvine,CA,92606,Orange,682-632-5992,irvinecompany.com,,,,4-Jan,,$500.000 - $999.1025,7361,Employment Agencies,561311,33.147575,117.3691492
"Deutsche Global High Income Fund, Inc. Common Stock",Other Business Services,4596 Eucalyptus Avenue,Chino,CA,91710,San Bernardino,214-808-1297,rainchainsworld.com,Junelia Dicousta,,,4-Jan,,Unknown,,"Business Services, NEC",,33.1502747,117.3764012
Direxion Daily Latin America 3x Bull Shares,Other Business Services,337 California St # 400,San Francisco,CA,94104,San Francisco,214-808-1298,jmoorepartners.com,James A Moore,,,4-Jan,,"$100,000 - $500,026",7389,"Business Services, NEC",522320,37.793142,122.400164
"Liberator Medical Holdings, Inc. Common Stock",Professional Services,3678 Viaduct Lujosa,Escondido,CA,92025,San Diego,918-354-9027,resourcetrends.com,John Ruetten,,1,,135000,,8748,"Business Consulting Services, NEC",541910,33.070402,117.047922
PowerShares DB 3x Long 25 Year Treasury Bond ETN,Real Estate,356 Pythian Road,Santa Rosa,CA,95409,Sonoma,918-354-9028,torvickrealestate.com,Kathy Torvick,President,2,,268000,,6531,Real Estate Agents and Managers,531210,38.4303,122.58231
"Libbey, Inc. Common Stock",Legal,126 West San Fernando St # 300,San Jose,CA,95113,Santa Clara,918-354-9029,zilkakotab.com,Dominic Kotab,,2,,334000,,8111,Legal Services,541110,37.107845,121.5351
LendingClub Corporation Common Stock,Legal,15726 Winchester Boulevard,Los Gatos,CA,95030,Santa Clara,918-354-9030,receiversinc.com,Gregory Sterling,Owner,2,,334000,,8111,Legal Services,541110,37.10991253,121.543677
Lannett Co Inc Common Stock,Other Business Services,4526 Woodman Ave. Suite A,Sherman Oaks,CA,91423,Los Angeles,918-354-9031,ziegelgroup.com,Ziegel Group,,,4-Jan,,Unknown,,"Business Services, NEC",,34.1530884,118.4308655
Advent/Claymore Enhanced Growth & Income Fund Advent/Claymore Enhanced Growth & Income Fund Common Shares of Beneficial Interest,Other Business Services,274 Rickenbacker Circle,Livermore,CA,94551,Alameda,214-808-1408,clarkpest.com,Dave Erichsen,,,4-Jan,,Unknown,7342,Disinfecting and Pest Control Services,561710,37.691868,121.80403
iPath Bloomberg Lead Subindex Total Return SM Index ETN,Legal,8937 Research Drive,Irvine,CA,92618,Orange,214-808-1409,shimokaji.com,Michael Shimokaji,Owner,,4-Jan,,$500.000 - $999.1025,8111,Legal Services,541110,33.64293,117.73799
"Latin American Discovery Fund, Inc. (The) Common Stock",Professional Services,4296 North Blackstone Avenue # 110,Fresno,CA,93726,Fresno,214-808-1410,chcfresno.org,John Shore,Executive Director,,4-Jan,,"$1,000,000 - $2,500,026",8748,"Business Consulting Services, NEC",531390,36.795312,119.790438
"Lydall, Inc. Common Stock",Other Business Services,27726 Medical Center Road,Mission Viejo,CA,92691,Orange,214-808-1411,mission4health.com,Richard Kozak,,2000,,212000000,,7389,"Business Services, NEC",561499,33.5621,117.6699
"Leidos Holdings, Inc. Common Stock",Professional Services,13727 Riverside Drive # 604,Sherman Oaks,CA,91423,Los Angeles,214-808-1412,levineandassociates.com,Larry Levine,Owner,2,,420000,,8743,Public Relations Services,541820,34.157692,118.431325
"Cohen & Steers Limited Duration Preferred and Income Fund, Inc.",Printing & Publishing,12426 High Bluff Drive # 100,San Diego,CA,92130,San Diego,214-808-1413,amnhealthcare.com,Susan Salka,CEO,1700,,705843000,,7363,Help Supply Services,561330,32.94489,117.24084
"Landauer, Inc. Common Stock",Legal,3445 West Shaw Avenue,Fresno,CA,93711,Fresno,918-354-8923,gltlaw.com,Gerald Lee Tahajian,,9,,1503000,,8111,Legal Services,541110,36.80839,119.85444
PIMCO Low Duration Active Exchange,Professional Services,"1056 15th Street, Suite 100",Sacramento,CA,95814,Sacramento,214-808-1285,adt.com,Florene Barefield,,,4-Jan,,Unknown,,"Business Consulting Services, NEC",,33.75782937,117.113
Lear Corporation Common Stock,Other Business Services,727 First Ave.,Sunnyvale,CA,94089,Santa Clara,682-632-5992,justmyweight.com,Craig Depew,,,4-Jan,,Unknown,,"Business Services, NEC",,37.812613,122.01843
"Springleaf Holdings, Inc. Common Stock",Other Business Services,951 Blcaom Hill Road # 1525,San Jose,CA,95123,Santa Clara,214-808-1417,ethanallen.com,Richard Bloomfield,,20,,6120000,,7389,"Business Services, NEC",541410,37.829038,121.862904
iPath Pure Beta Lead ETN,Transportation & Shipping,2584 Merced Avenue,South El Monte,CA,91733,Los Angeles,214-808-1418,vulcan.com,Joe Garbiero,Owner,,4-Jan,,"$1,000,000 - $2,500,000",3592,"Carburetors, Pistons, Piston Rings, and Valves",332710,34.05915,118.05125
"Lee Enterprises, Incorporated Common Stock",Other Business Services,935 North Sepulveda Boulevard,El Segundo,CA,90245,Los Angeles,214-808-1419,loanapp.com,Monica Lezama,,,4-Jan,0,"$1,000,000 - $2,500,000",7389,"Business Services, NEC",561499,33.930087,118.39625
"Leggett & Platt, Incorporated Common Stock",Legal,426 South Hope St # 1060,Los Angeles,CA,90071,Los Angeles,214-808-1420,omm.com,Gina Marie Durham,,1500,,0,"$100,000 - $500,026",8111,Legal Services,541110,34.052214,118.253655
"Lucas Energy, Inc. Common Stock",Printing & Publishing,9866 Sixth St.,Rancho Cucamonga,CA,91730,San Bernardino,214-808-1421,safariprinting.com,Shelley Drummond,,2,,414000,,,Printing and Writing Paper,,34.0859906,117.2916611
"Leju Holdings Limited American Depositary Shares, each representing one Ordinary share",Legal,Po Box 1926,Redlands,CA,92373,San Bernardino,214-808-1422,waynejohnsonlaw.com,Wayne Johnson,Owner,2,,334000,,8111,Legal Services,541110,34.03424,117.2973833
iShares Emerging Markets Local Currency Bond,Legal,186 West Santa Clara St # 1050,San Jose,CA,95113,Santa Clara,512-343-4547,businessandtechnologylawgroup.com,Stephen Hollman,,6,,1002000,,8111,Legal Services,541110,37.33519,121.8933
Lennar Corporation Class A Common Stock,Other Business Services,"1067 n ogden dr #1, West Holly",Lee Vining,CA,93541,Mono,512-343-4548,laxlegacylimo.com/,Mehdi Nadifi,,,4-Jan,,Unknown,,"Business Services, NEC",,38.040759,119.1445975
Lennar Corporation Class B,Other Business Services,437 Lewis Rd. #190,San Jose,CA,95111,Santa Clara,682-632-5992,quantumleapdatarecovery.com/california/data-recovery-in-san-jose-ca/,Amal Monroe,,,4-Jan,,Unknown,,"Business Services, NEC",,37.29744,121.84195
"Dreyfus Strategic Municipals, Inc. Common Stock",Professional Services,5656 Cerritos Avenue,Cypress,CA,90630,Orange,512-343-4550,wcct.com,Kenneth Kim,,,4-Jan,,"$100,000 - $500,000",8731,Commercial Physical and Biological Research,541712,33.810119,118.03404
Centrus Energy Corp. Class A Common Stock,Other Business Services,3442 Lancashire Lane,Modesto,CA,95350,Stanislaus,512-343-4551,homereportcardinspections.com,Bob Holmes,President,1,,219000,,7389,"Business Services, NEC",531390,37.687079,120.985574
Leapfrog Enterprises Inc Common Stock,Transportation & Shipping,7157 Mirabel Road,Forestville,CA,95436,Sonoma,682-632-5992,rruwater.com,Hal Wood,Owner,9,,2322000,,3713,Truck and Bus Bodies,221310,38.475,122.2338763
China Life Insurance Company Limited American Depositary Shares,Other Business Services,3845 23rd St,San Francisco,CA,94114,San Francisco,512-343-4553,apieceofpeace.com,Margaret Belton,,,4-Jan,,"$100,000 - $500,000",7389,"Business Services, NEC",812199,37.75325,122.238546
LATAM Airlines Group S.A.,Legal,20776 Ventura Boulevard # 400,Woodland Hills,CA,91364,Los Angeles,512-343-4554,lmwslaw.com,Robert Sherwin,Partner,75,,12525000,,8111,Legal Services,541110,34.166527,118.585333
Laclede Gas Company Common Stock,Insurance,14477 Chambers Road Ste 130,Tustin,CA,92780,Orange,682-632-5992,insuremegary.com,Gary Bernat,,,4-Jan,,Unknown,,"Insurance Agents, Brokers, and Service",,33.72224,117.80773
Lions Gate Entertainment Corporation Common Stock,Professional Services,1153 11th St # 310,Sacramento,CA,95814,Sacramento,512-343-4530,theboveecompany.com,John Bovee,Owner,8,,1680000,,8742,Management Consulting Services,541820,38.578564,121.492681
Lazard Global Total Return and Income Fund Common Stock,Legal,561 Anton Boulevard # 810,Costa Mesa,CA,92626,Orange,214-808-1355,lawfriend.com,Noel Torgerson,,,4-Jan,,"$100,000 - $500,026",8111,Legal Services,541110,33.6903,117.87711
"LGL Group, Inc. (The) Common Stock",Professional Services,13287 Moorpark Street Suite 201,Sherman Oaks,CA,91423,Los Angeles,214-808-1356,hadassteincpa.com,Hadas Stein,,4,,1876000,,,"Accounting, Auditing, and Bookkeeping Services",,34.1503,118.422
"LGL Group, Inc. (The) Warrants",Advertising & Marketing,8680 Washington Boulevard,Culver City,CA,90232,Los Angeles,214-808-1357,haleymiranda.com,Jed West,Owner,10,,2090000,,7311,Advertising Agencies,541810,34.02997,118.38266
SPDR Russell 1000 Low Volatility ETF,Professional Services,,San Diego,CA,92121,San Diego,682-632-5992,wilsonarchitecture.com,Timothy Wilson,,1,,207000,,8712,Architectural Services,541310,,
Laboratory Corporation of America Holdings Common Stock,Printing & Publishing,720 South Oxford Avenue,Los Angeles,CA,90005,Los Angeles,214-808-1385,calbook.org,Mary Menzel,Other,,4-Jan,,Unknown,5192,"Books, Periodicals, and Newspapers",813319,34.06004,118.30777
LaSalle Hotel Properties Common Stock,Professional Services,3340 Capobella,Aliso Viejo,CA,92656,Orange,214-808-1386,yeseverestcs.com,Diane L Smith,,,4-Jan,,Unknown,8742,Management Consulting Services,999990,33.59512,117.7357
LaSalle Hotel Properties 7.50% Series H Cumulative Redeemable Preferred Shares of Beneficial Interest,Legal,381 South Grand Avenue # 2900,Los Angeles,CA,90071,Los Angeles,214-808-1387,reedsmith.com,Junga Kim,,200,,33400000,,8111,Legal Services,541110,34.052295,118.252014
LaSalle Hotel Properties 6.375% Series I Cumulative Redeemable Redeemable Preferred SBI,Legal,581 California St,San Francisco,CA,94104,San Francisco,214-808-1388,ltws.com,Wayne H Gilbert,,4,,668000,,8111,Legal Services,541110,37.792737,122.403242
"Lennox International, Inc. Common Stock",Insurance,2266 East Plaza Boulevard # L,National City,CA,91950,San Diego,682-632-5992,farmersagent.com/tbundalian,Teresita Bundalian,Manager,4,,784000,,6411,"Insurance Agents, Brokers, and Service",524210,32.67894,117.08209
"LiqTech International, Inc. Common Stock",Other Business Services,3351 Longview Drive,Sacramento,CA,95821,Sacramento,512-343-4605,local.terminix.com,,,,4-Jan,,Unknown,7342,Disinfecting and Pest Control Services,561710,38.643425,121.386598
Global X Lithium ETF,Other Business Services,781 East Nees Avenue Unit 27156,Fresno,CA,93729,,512-343-4606,levelupcareers.com,,,,4-Jan,,"$100,000 - $500,026",7361,Employment Agencies,541612,36.85232,119.77157
"LightInTheBox Holding Co., Ltd. American Depositary Shares, each representing 2 ordinary shares",Other Business Services,627 East Holt Boulevard,Ontario,CA,91764,San Bernardino,512-343-4607,acesmogcheck.com,Smog Ontario,,3,,324000,,,"Business Services, NEC",,34.06347,117.3572963
"Lumber Liquidators Holdings, Inc Common Stock",Legal,"7726 Irvine Center Drive, Suite 955",Irvine,CA,92618,Orange,512-343-4608,habbaspilaw.com/city/orange-county/,Samer Habbas,,3,,510000,,,Legal Services,,33.659121,117.364155
Direxion Daily FTSE Developed Markets Bull 1.25X Shares,Legal,345 North Main St # B,Fort Bragg,CA,95437,Mendocino,682-632-5992,fortbragglaw.com,Ryan F Perkins,Partner,2,,334000,,8111,Legal Services,541110,39.44493,123.80631
Direxion Daily FTSE Emerging Markets Bull 1.25X Shares,Printing & Publishing,126 S. CITRUS SUITE 204,Covina,CA,91723,Los Angeles,512-343-4532,rochaarts.com,ROCHA ARTS,,,4-Jan,,Unknown,,Miscellaneous Publishing,,34.0884,117.89045
L,Real Estate,2201 North Calif Boulevard # 300,Walnut Creek,CA,94596,Contra Costa,682-632-5992,cbre.com,Trevor Thorpe,,,4-Jan,,Unknown,6531,Real Estate Agents and Managers,531210,37.90969,122.06567
Direxion Daily Small Cap 1.25X Shares,Legal,"9022 Miramar Rd, Ste 220",San Diego,CA,92126,San Diego,214-808-1293,aimeemorris.com,Aimee Morris,,,4-Jan,,Unknown,,Legal Services,,32.8940773,117.806585
Direxion Daily S&P 500 Bull 1.25X Shares,Professional Services,1507 Ford St # 201,Redlands,CA,92373,San Bernardino,214-808-1294,caeap.com,Robert Bruner,President,7,,574000,,8748,"Business Consulting Services, NEC",624190,34.03754,117.822096
Eli Lilly and Company Common Stock,Professional Services,3504 Buskirk Avenue # 215,Pleasant Hill,CA,94523,Contra Costa,214-808-1237,mazeassociates.com,Tim Kirsch,,38,,3230000,,8721,"Accounting, Auditing, and Bookkeeping Services",541219,37.941545,122.05734
"Legg Mason, Inc. Common Stock",Professional Services,28239 Foxlane Drive,Canyon Country,CA,91351,Los Angeles,214-808-1238,svsmusicproductions.com,Scott V Smith,,,4-Jan,,"$50,000 - $100,026",8748,"Business Consulting Services, NEC",541618,34.4344,118.467063
ETRACS Monthly Pay 2xLeveraged Wells Fargo MLP Ex,Legal,2251 East Bayshore Road # 200,Palo Alto,CA,94303,San Mateo,214-808-1239,williamclewis.com,William Lewis,Owner,4,,668000,,8111,Legal Services,541110,37.450327,122.123123
Lockheed Martin Corporation Common Stock,Professional Services,1569 West Grand Avenue,Grover Beach,CA,93433,San Luis Obispo,918-354-8976,cashamerica.com,Dan Hutton,,,4-Jan,,$500.000 - $999.1025,8742,Management Consulting Services,522320,35.12141,120.6126
Lincoln National Corporation Common Stock,Professional Services,3551 Mount Diablo Boulevard 12,Lafayette,CA,94549,Contra Costa,918-354-8977,maryfurlong.com,Mary Furlong,,,4-Jan,,"$100,000 - $500,000",8742,Management Consulting Services,541613,37.4341632,122.3978046
"Lincoln National Corporation Warrant expiring July 10, 2019",Legal,246 Bush St # 1611,San Francisco,CA,94104,San Francisco,918-354-8978,toothattorney.com,James Davis,,7,,1169000,,8111,Legal Services,541110,37.4442276,122.4056833
Brasilagro Brazilian Agric Real Estate Co Sponsored ADR (Brazil),Insurance,6291 Greenwich Drive # 250,San Diego,CA,92122,San Diego,214-808-1348,hpis.biz,Wayne Washkowiak,Chief Executive Officer,4,,784000,,6411,"Insurance Agents, Brokers, and Service",524210,32.85472,117.18513
