Contract Identifier,Instrument Identifier,Channel of Origination,Date of Origination,Country of Origination,Asset Class,Loan Purpose,Product Type,Amortisation Type,Original Maturity Date,Current Maturity Date,Loan Currency,Origination Amount,Principal Balance,Accrued Interest Balance (On book),Total Balance,Original Interest Rate,Original Interest Rate Type,Description of Original Interest Rate Type,Original Interest Rate Reference,Current Interest Rate,Current Interest Rate Type,Current Interest Rate Reference,Start Date of Current Fixed Interest Period,End Date of Current Fixed Interest Period,Interest Cap Rate,Interest Floor Rate,Early Redemption Penalty,Past-Due Penalty Interest Margin,Default Penalty Interest Margin,Last Payment Date,Last Payment Amount,Next Principal Scheduled Repayment Amount,Next Interest Scheduled Repayment Amount,Next Principal Scheduled Repayment Date,Next Interest Scheduled Repayment Date,Interest Payment Frequency,Principal Payment Frequency,Past-Due Principal Amount,Past-Due Interest Amount,Early Redemption Penalty,Past-Due Penalty Interest Margin,Default Penalty Interest Margin,Loan Status,Days in Past-Due,Time in Past-Due
A00019503,LP19440,Branch,42074,USA,Resi,Mortage,Loan,Linear,53024,53029,USD,184190.4762,165771.4286,1064.620952,166836.0495,0.05,mixed,5 years fixed then variable,,,fixed,,42075,53029,,,0.03,0.005,0.0075,43672,511.6402116,511.6402116,41.70901238,43707,43707,monthly,monthly,1534.920635,4973.142857,0.04,0.005,0.01,non-performing,93,3
A00019504,LP19441,Web,42075,USA,Resi,Mortage,Loan,Linear,53025,53030,USD,189761.9048,185966.6667,948.8095238,186915.4762,0.04145402299,fixed,,,,fixed,,42076,53030,,,0.03,0.005,0.0075,43672,527.1164021,527.1164021,46.72886905,43707,43707,monthly,monthly,3162.698413,11158,0.04,0.005,0.01,non-performing,213,6
A00019505,LP19442,Broker,42076,USA,Resi,Mortage,Loan,Linear,53026,53031,USD,195333.3333,185566.6667,33.20666667,185599.8733,0.04155858361,fixed,,,,fixed,,42077,53031,,,0.03,0.005,0.0075,43672,542.5925926,542.5925926,46.39996833,43707,43707,monthly,monthly,1627.777778,5567,0.04,0.005,0.01,,20,3
A00019506,LP19443,Branch,42077,USA,Resi,Mortage,Loan,Linear,53027,53032,USD,200000,190000,34,190034,0.04166314423,fixed,,,,fixed,,42078,53032,,,0.03,0.005,0.0075,43672,555.5555556,555.5555556,47.5085,43707,43707,monthly,monthly,1666.666667,5700,0.04,0.005,0.01,,90,3
A00019507,LP19444,Web,42078,USA,Resi,Mortage,Loan,Balloon,53028,53033,USD,150000,142500,25.5,142525.5,0.04176770486,mixed,5 years fixed then variable,,,fixed,,42079,53033,,,0.03,0.005,0.0075,43672,416.6666667,416.6666667,35.631375,43707,43707,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,91,3
A00019508,LP19445,Broker,42079,USA,Resi,Mortage,Loan,Linear,53029,55219,USD,100000,95000,250,95250,0.04187226548,fixed,,,,fixed,,42080,55219,,,0.03,0.005,0.0075,43672,277.7777778,277.7777778,23.8125,43707,43707,monthly,monthly,833.3333333,2850,0.04,0.005,0.01,non-performing,95,3
A00019509,LP19446,Branch,42080,USA,Resi,Mortage,Loan,Linear,53030,54855,USD,85000,76500,229.5,76729.5,0.0419768261,fixed,,,,fixed,,42081,54855,,,0.03,0.005,0.0075,43672,236.1111111,236.1111111,19.182375,43707,43707,monthly,monthly,708.3333333,2295,0.04,0.005,0.01,non-performing,97,3
A00019510,LP19447,Branch,42081,USA,Resi,Mortage,Loan,Linear,53031,54856,USD,200000,196000,1156,197156,0.04208138673,fixed,,,,fixed,,42082,54856,,,0.03,0.005,0.0075,43672,555.5555556,555.5555556,49.289,43707,43707,monthly,monthly,1666.666667,5880,0.04,0.005,0.01,non-performing,93,3
A00019511,LP19448,Web,42082,USA,Resi,Mortage,Loan,Linear,53032,54857,USD,150000,142500,750,143250,0.04218594735,fixed,,,,fixed,,42083,54857,,,0.03,0.005,0.0075,43672,416.6666667,416.6666667,35.8125,43707,43707,monthly,monthly,1250,4275,0.04,0.005,0.01,,20,3
A00019512,LP19449,Broker,42083,USA,CRE,Mortage,Loan,Linear,53033,54858,USD,136000,122400,23.12,122423.12,0.04229050797,fixed,,,,fixed,,42084,54858,,,0.03,0.005,0.0075,43672,377.7777778,377.7777778,30.60578,43707,43707,monthly,monthly,1133.333333,3672,0.04,0.005,0.01,,90,3
A00019513,LP19450,Branch,42084,USA,Resi,Mortage,Loan,Linear,53034,54859,USD,132714.2857,130060,663.5714286,130723.5714,0.04239506859,fixed,,,,fixed,,42085,54859,,,0.03,0.005,0.0075,43669,368.6507937,368.6507937,32.68089286,43707,43707,monthly,monthly,1105.952381,3901.8,0.04,0.005,0.01,non-performing,91,3
A00019514,LP19451,Web,42085,USA,Resi,Mortage,Loan,Linear,53035,55955,USD,129428.5714,122957.1429,647.1428571,123604.2857,0.04249962922,fixed,,,,fixed,,42086,55955,,,0.03,0.005,0.0075,43672,359.5238095,359.5238095,30.90107143,43707,43707,monthly,monthly,1078.571429,3688.714286,0.04,0.005,0.01,non-performing,95,3
A00019515,LP19452,Broker,42086,USA,Resi,Mortage,Loan,Linear,53036,53041,USD,126142.8571,119835.7143,315.3571429,120151.0714,0.04260418984,fixed,,,,fixed,,42087,53041,,,0.03,0.005,0.0075,43672,350.3968254,350.3968254,30.03776786,43707,43707,monthly,monthly,1051.190476,3595.071429,0.04,0.005,0.01,non-performing,97,3
A00019516,LP19453,Branch,42087,USA,Resi,Mortage,Loan,Linear,53037,53042,USD,122857.1429,122881.7143,331.7142857,123213.4286,0.04270875046,fixed,,,,fixed,,42088,53042,,,0.03,0.005,0.0075,43672,341.2698413,341.2698413,30.80335714,43707,43707,monthly,monthly,1023.809524,3686.451429,0.04,0.005,0.01,non-performing,93,3
A00019517,LP19454,Branch,42088,USA,CRE,Mortage,Loan,Linear,53038,53043,USD,119571.4286,113592.8571,691.1228571,114283.98,0.04281331109,fixed,,,,fixed,,42089,53043,,,0.03,0.005,0.0075,43672,332.1428571,332.1428571,28.570995,43707,43707,monthly,monthly,996.4285714,3407.785714,0.04,0.005,0.01,,20,3
A00019518,LP19455,Web,42089,USA,Resi,Mortage,Loan,Linear,53039,53044,USD,116285.7143,104657.1429,581.4285714,105238.5714,0.04291787171,fixed,,,,fixed,,42090,53044,,,0.03,0.005,0.0075,43672,323.015873,323.015873,26.30964286,43707,43707,monthly,monthly,969.047619,3139.714286,0.04,0.005,0.01,,90,3
A00019519,LP19456,Broker,42090,USA,Resi,Mortage,Loan,Linear,53040,53045,USD,200000,196000,540,196540,0.04302243233,fixed,,,,fixed,,42091,53045,,,0.03,0.005,0.0075,43672,555.5555556,555.5555556,49.135,43707,43707,monthly,monthly,1666.666667,5880,0.04,0.005,0.01,non-performing,91,3
A00019520,LP19457,Branch,42091,USA,Resi,Mortage,Loan,Linear,53041,53046,USD,150000,142500,867,143367,0.04312699296,fixed,,,,fixed,,42092,53046,,,0.03,0.005,0.0075,43672,416.6666667,416.6666667,35.84175,43707,43707,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,95,3
A00019521,LP19458,Web,42092,USA,Resi,Mortage,Loan,Linear,53042,55232,USD,100000,95000,500,95500,0.04323155358,mixed,5 years fixed then variable,,,fixed,,42093,55232,,,0.03,0.005,0.0075,43672,277.7777778,277.7777778,23.875,43707,43707,monthly,monthly,833.3333333,2850,0.04,0.005,0.01,non-performing,97,3
A00019522,LP19459,Broker,42093,USA,Resi,Mortage,Loan,Linear,53043,54868,USD,85000,80750,14.45,80764.45,0.0433361142,variable,,LIBOR,3,fixed,LIBOR,42094,54868,,,0.03,0.005,0.0075,43672,236.1111111,236.1111111,20.1911125,43707,43707,monthly,monthly,708.3333333,2422.5,0.04,0.005,0.01,non-performing,93,3
A00019523,LP19460,Branch,42094,USA,Resi,Mortage,Loan,Linear,53044,54869,USD,200000,190000,34,190034,0.04344067482,fixed,,,,fixed,,42095,54869,,,0.03,0.005,0.0075,43672,555.5555556,555.5555556,47.5085,43707,43707,monthly,monthly,1666.666667,5700,0.04,0.005,0.01,,20,3
A00019524,LP19461,Branch,42095,USA,Resi,Mortage,Loan,Linear,53045,54870,USD,150000,135000,25.5,135025.5,0.04354523545,fixed,,,,fixed,,42096,54870,,,0.03,0.005,0.0075,43672,416.6666667,416.6666667,33.756375,43707,43707,monthly,monthly,1250,4050,0.04,0.005,0.01,,90,3
A00019525,LP19462,Web,42096,USA,Resi,Mortage,Loan,Linear,53046,54871,USD,136000,133280,340,133620,0.04364979607,mixed,5 years fixed then variable,,,fixed,,42097,54871,,,0.03,0.005,0.0075,43672,377.7777778,377.7777778,33.405,43707,43707,monthly,monthly,1133.333333,3998.4,0.04,0.005,0.01,non-performing,91,3
A00019526,LP19463,Broker,42097,USA,Resi,Mortage,Loan,Linear,53047,54872,USD,132714.2857,126078.5714,358.3285714,126436.9,0.04375435669,fixed,,,,fixed,,42098,54872,,,0.03,0.005,0.0075,43675,368.6507937,368.6507937,31.609225,43707,43707,monthly,monthly,1105.952381,3782.357143,0.04,0.005,0.01,non-performing,95,3
A00019527,LP19464,Branch,42098,USA,Resi,Mortage,Loan,Balloon,53048,55968,USD,129428.5714,116485.7143,748.0971429,117233.8114,0.04385891732,fixed,,,,fixed,,42099,55968,,,0.03,0.005,0.0075,43672,0,359.5238095,29.30845286,43707,43707,monthly,monthly,1078.571429,3494.571429,0.04,0.005,0.01,non-performing,97,3
A00019528,LP19465,Web,42099,USA,Resi,Mortage,Loan,Linear,53049,53054,USD,126142.8571,123620,630.7142857,124250.7143,0.04396347794,fixed,,,,fixed,,42100,53054,,,0.03,0.005,0.0075,43672,350.3968254,350.3968254,31.06267857,43707,43707,monthly,monthly,1051.190476,3708.6,0.04,0.005,0.01,non-performing,93,3
A00019529,LP19466,Broker,42100,USA,Resi,Mortage,Loan,Linear,53050,53055,USD,122857.1429,116714.2857,20.88571429,116735.1714,0.04406803856,fixed,,,,fixed,,42101,53055,,,0.03,0.005,0.0075,43672,341.2698413,341.2698413,29.18379286,43707,43707,monthly,monthly,1023.809524,3501.428571,0.04,0.005,0.01,,90,3
A00019530,LP19467,Branch,42101,USA,Resi,Mortage,Loan,Linear,53051,53056,USD,119571.4286,113592.8571,597.8571429,114190.7143,0.04417259918,fixed,,,,fixed,,42102,53056,,,0.03,0.005,0.0075,43672,332.1428571,332.1428571,28.54767857,43707,43707,monthly,monthly,996.4285714,3407.785714,0.04,0.005,0.01,non-performing,92,3
A00019531,LP19468,Branch,42102,USA,Resi,Mortage,Loan,Linear,53052,53057,USD,116285.7143,116308.9714,581.4285714,116890.4,0.04427715981,fixed,,,,fixed,,42103,53057,,,0.03,0.005,0.0075,43672,323.015873,323.015873,29.2226,43707,43707,monthly,monthly,969.047619,3489.269143,0.04,0.005,0.01,,20,3
A00019532,LP19469,Web,42103,USA,Resi,Mortage,Loan,Linear,53053,53058,USD,150000,142500,375,142875,0.04438172043,mixed,5 years fixed then variable,,,fixed,,42104,53058,,,0.03,0.005,0.0075,43672,416.6666667,416.6666667,35.71875,43707,43707,monthly,monthly,1250,4275,0.04,0.005,0.01,,90,3
A00019533,LP19470,Broker,42104,USA,CRE,Mortage,Loan,Linear,53054,53059,USD,100000,90000,270,90270,0.04448628105,fixed,,,,fixed,,42105,53059,,,0.03,0.005,0.0075,43672,277.7777778,277.7777778,22.5675,43707,43707,monthly,monthly,833.3333333,2700,0.04,0.005,0.01,non-performing,91,3
A00019534,LP19471,Branch,42105,USA,Resi,Mortage,Loan,Linear,53055,55245,USD,85000,83300,491.3,83791.3,0.04459084168,fixed,,,,fixed,,42106,55245,,,0.03,0.005,0.0075,43672,236.1111111,236.1111111,20.947825,43707,43707,monthly,monthly,708.3333333,2499,0.04,0.005,0.01,non-performing,95,3
A00019535,LP19472,Web,42106,USA,Resi,Mortage,Loan,Linear,53056,54881,USD,200000,190000,1000,191000,0.0446954023,fixed,,,,fixed,,42107,54881,,,0.03,0.005,0.0075,43672,555.5555556,555.5555556,47.75,43707,43707,monthly,monthly,1666.666667,5700,0.04,0.005,0.01,non-performing,97,3
A00019536,LP19473,Broker,42107,USA,Resi,Mortage,Loan,Linear,53057,54882,USD,150000,142500,405,142905,0.04479996292,mixed,5 years fixed then variable,,,fixed,,42108,54882,,,0.03,0.005,0.0075,43672,416.6666667,416.6666667,35.72625,43707,43707,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,93,3
A00019537,LP19474,Branch,42108,USA,Resi,Mortage,Loan,Linear,53058,54883,USD,136000,129200,786.08,129986.08,0.04490452354,fixed,,,,fixed,,42109,54883,,,0.03,0.005,0.0075,43672,468.9655172,377.7777778,32.49652,43707,43707,monthly,monthly,1133.333333,3876,0.04,0.005,0.01,,20,3
A00019538,LP19475,Branch,42109,USA,CRE,Mortage,Loan,Linear,53059,54884,USD,156333.3333,148516.6667,781.6666667,149298.3333,0.04,fixed,,,,fixed,,42110,54884,,,0.03,0.005,0.0075,43672,434.2592593,434.2592593,37.32458333,43707,43707,monthly,monthly,1302.777778,4455.5,0.04,0.005,0.01,,90,3
A00019539,LP19476,Web,42110,USA,Resi,Mortage,Loan,Linear,53060,54885,USD,161904.7619,145714.2857,27.52380952,145741.8095,0.035,fixed,,,,fixed,,42111,54885,,,0.03,0.005,0.0075,43669,449.7354497,449.7354497,36.43545238,43707,43707,monthly,monthly,1349.206349,4371.428571,0.04,0.005,0.01,non-performing,91,3
A00019540,LP19477,Broker,42111,USA,Resi,Mortage,Loan,Linear,53061,55981,USD,167476.1905,164126.6667,28.47095238,164155.1376,0.04,fixed,,,,fixed,,42112,55981,,,0.03,0.005,0.0075,43672,465.2116402,465.2116402,41.0387844,43707,43707,monthly,monthly,1395.634921,4923.8,0.04,0.005,0.01,non-performing,95,3
A00019541,LP19478,Branch,42112,USA,Resi,Mortage,Loan,Linear,53062,53067,USD,173047.619,164395.2381,29.41809524,164424.6562,0.04,fixed,,,,fixed,,42113,53067,,,0.03,0.005,0.0075,43672,480.6878307,480.6878307,41.10616405,43707,43707,monthly,monthly,1442.063492,4931.857143,0.04,0.005,0.01,non-performing,97,3
A00019542,LP19479,Web,42113,USA,Resi,Mortage,Loan,Linear,53063,53068,USD,178619.0476,160757.1429,446.547619,161203.6905,0.04,fixed,,,,fixed,,42114,53068,,,0.03,0.005,0.0075,43672,496.1640212,496.1640212,40.30092262,43707,43707,monthly,monthly,1488.492063,4822.714286,0.04,0.005,0.01,non-performing,93,3
A00019543,LP19480,Broker,42114,USA,Resi,Mortage,Loan,Linear,53064,53069,USD,184190.4762,180506.6667,497.3142857,181003.981,0.0375,fixed,,,,fixed,,42115,53069,,,0.03,0.005,0.0075,43672,511.6402116,511.6402116,45.25099524,43707,43707,monthly,monthly,1534.920635,5415.2,0.04,0.005,0.01,,20,3
A00019544,LP19481,Branch,42115,USA,Resi,Mortage,Loan,Linear,53065,53070,USD,189761.9048,180273.8095,1096.82381,181370.6333,0.04,fixed,,,,fixed,,42116,53070,,,0.03,0.005,0.0075,43672,527.1164021,527.1164021,45.34265833,43707,43707,monthly,monthly,1581.349206,5408.214286,0.04,0.005,0.01,,90,3
A00019545,LP19482,Branch,42116,USA,Resi,Mortage,Loan,Linear,53066,53071,USD,195333.3333,185566.6667,976.6666667,186543.3333,0.04,fixed,,,,fixed,,42117,53071,,,0.03,0.005,0.0075,43672,542.5925926,542.5925926,46.63583333,43707,43707,monthly,monthly,1627.777778,5567,0.04,0.005,0.01,non-performing,91,3
A00019546,LP19483,Web,42117,USA,Resi,Mortage,Loan,Linear,53067,53072,USD,200000,200040,34,200074,0.04,fixed,,,,fixed,,42118,53072,,,0.03,0.005,0.0075,43672,555.5555556,555.5555556,50.0185,43707,43707,monthly,monthly,1666.666667,6001.2,0.04,0.005,0.01,non-performing,95,3
A00019547,LP19484,Broker,42118,USA,Resi,Mortage,Loan,Balloon,53068,55258,USD,150000,142500,750,143250,0.04,fixed,,,,fixed,,42119,55258,,,0.03,0.005,0.0075,43672,416.6666667,416.6666667,35.8125,43707,43707,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,97,3
A00019548,LP19485,Branch,42119,USA,Resi,Mortage,Loan,Linear,53069,54894,USD,100000,90000,500,90500,0.04,fixed,,,,fixed,,42120,54894,,,0.03,0.005,0.0075,43672,277.7777778,277.7777778,22.625,43707,43707,monthly,monthly,833.3333333,2700,0.04,0.005,0.01,non-performing,93,3
A00019549,LP19486,Web,42120,USA,Resi,Mortage,Loan,Linear,53070,54895,USD,85000,83300,212.5,83512.5,0.04,fixed,,,,fixed,,42121,54895,,,0.03,0.005,0.0075,43672,236.1111111,236.1111111,20.878125,43707,43707,monthly,monthly,708.3333333,2499,0.04,0.005,0.01,,20,3
A00019550,LP19487,Broker,42121,USA,Resi,Mortage,Loan,Linear,53071,54896,USD,200000,190000,540,190540,0.0375,mixed,5 years fixed then variable,,,fixed,,42122,54896,,,0.03,0.005,0.0075,43672,555.5555556,555.5555556,47.635,43707,43707,monthly,monthly,1666.666667,5700,0.04,0.005,0.01,,90,3
A00019551,LP19488,Branch,42122,USA,Resi,Mortage,Loan,Linear,53072,54897,USD,150000,142500,867,143367,0.04,variable,,LIBOR,3,fixed,LIBOR,42123,54897,,,0.03,0.005,0.0075,43672,416.6666667,416.6666667,35.84175,43707,43707,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,91,3
A00019552,LP19489,Branch,42123,USA,Resi,Mortage,Loan,Linear,53073,54898,USD,136000,129200,680,129880,0.04,fixed,,,,fixed,,42124,54898,,,0.03,0.005,0.0075,43672,377.7777778,377.7777778,32.47,43707,43707,monthly,monthly,1133.333333,3876,0.04,0.005,0.01,non-performing,95,3
A00019553,LP19490,Web,42124,USA,Resi,Mortage,Loan,Linear,53074,55994,USD,132714.2857,126078.5714,358.3285714,126436.9,0.04,fixed,,,,fixed,,42125,55994,,,0.03,0.005,0.0075,43672,368.6507937,368.6507937,31.609225,43707,43707,monthly,monthly,1105.952381,3782.357143,0.04,0.005,0.01,non-performing,97,3
A00019554,LP19491,Broker,42125,USA,CRE,Mortage,Loan,Linear,53075,53080,USD,129428.5714,116485.7143,748.0971429,117233.8114,0.035,mixed,5 years fixed then variable,,,fixed,,42126,53080,,,0.03,0.005,0.0075,43672,359.5238095,359.5238095,29.30845286,43707,43707,monthly,monthly,1078.571429,3494.571429,0.04,0.005,0.01,non-performing,93,3
A00019555,LP19492,Branch,42126,USA,Resi,Mortage,Loan,Linear,53076,53081,USD,126142.8571,123620,630.7142857,124250.7143,0.04,fixed,,,,fixed,,42127,53081,,,0.03,0.005,0.0075,43672,350.3968254,350.3968254,31.06267857,43707,43707,monthly,monthly,1051.190476,3708.6,0.04,0.005,0.01,,90,3
A00019556,LP19493,Web,42127,USA,Resi,Mortage,Loan,Linear,53077,53082,USD,122857.1429,116714.2857,20.88571429,116735.1714,0.04,fixed,,,,fixed,,42128,53082,,,0.03,0.005,0.0075,43672,341.2698413,341.2698413,29.18379286,43707,43707,monthly,monthly,1023.809524,3501.428571,0.04,0.005,0.01,non-performing,92,3
A00019557,LP19494,Broker,42128,USA,Resi,Mortage,Loan,Linear,53078,53083,USD,119571.4286,107614.2857,20.32714286,107634.6129,0.04,fixed,,,,fixed,,42129,53083,,,0.03,0.005,0.0075,43672,332.1428571,332.1428571,26.90865321,43707,43707,monthly,monthly,996.4285714,3228.428571,0.04,0.005,0.01,non-performing,91,3
A00019558,LP19495,Branch,42129,USA,Resi,Mortage,Loan,Linear,53079,53084,USD,116285.7143,113960,19.76857143,113979.7686,0.04,fixed,,,,fixed,,42130,53084,,,0.03,0.005,0.0075,43672,323.015873,323.015873,28.49494214,43707,43707,monthly,monthly,969.047619,3418.8,0.04,0.005,0.01,non-performing,95,3
A00019559,LP19496,Branch,42130,USA,CRE,Mortage,Loan,Linear,53080,53085,USD,200000,190000,500,190500,0.04,fixed,,,,fixed,,42131,53085,,,0.03,0.005,0.0075,43672,555.5555556,555.5555556,47.625,43707,43707,monthly,monthly,1666.666667,5700,0.04,0.005,0.01,non-performing,97,3
A00019560,LP19497,Web,42131,USA,Resi,Mortage,Loan,Linear,53081,55271,USD,150000,142500,405,142905,0.04,fixed,,,,fixed,,42132,55271,,,0.03,0.005,0.0075,43672,416.6666667,416.6666667,35.72625,43707,43707,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,93,3
A00019561,LP19498,Broker,42132,USA,Resi,Mortage,Loan,Linear,53082,54907,USD,100000,100020,578,100598,0.04,mixed,5 years fixed then variable,,,fixed,,42133,54907,,,0.03,0.005,0.0075,43672,277.7777778,277.7777778,25.1495,43707,43707,monthly,monthly,833.3333333,3000.6,0.04,0.005,0.01,,90,3
A00019562,LP19499,Branch,42133,USA,Resi,Mortage,Loan,Linear,53083,54908,USD,85000,80750,425,81175,0.04,fixed,,,,fixed,,42134,54908,,,0.03,0.005,0.0075,43672,236.1111111,236.1111111,20.29375,43707,43707,monthly,monthly,708.3333333,2422.5,0.04,0.005,0.01,non-performing,92,3
A00019563,LP19500,Web,42134,USA,Resi,Mortage,Loan,Linear,53084,54909,USD,200000,180000,34,180034,0.04,fixed,,,,fixed,,42135,54909,,,0.03,0.005,0.0075,43672,555.5555556,555.5555556,45.0085,43707,43707,monthly,monthly,3333.333333,10800,0.04,0.005,0.01,non-performing,180,6
A00019564,LP19501,Broker,42135,USA,Resi,Mortage,Loan,Linear,53085,54910,USD,150000,147000,750,147750,0.04,fixed,,,,fixed,,42136,54910,,,0.03,0.005,0.0075,43669,416.6666667,416.6666667,36.9375,43707,43707,monthly,monthly,2500,8820,0.04,0.005,0.01,non-performing,170,6
A00019565,LP19502,Branch,42136,USA,Resi,Mortage,Loan,Linear,53086,54911,USD,136000,129200,680,129880,0.04,mixed,5 years fixed then variable,,,fixed,,42137,54911,,,0.03,0.005,0.0075,43672,377.7777778,377.7777778,32.47,43707,43707,monthly,monthly,2266.666667,7752,0.04,0.005,0.01,non-performing,213,6
A00019566,LP19503,Branch,42137,USA,Resi,Mortage,Loan,Linear,53087,56007,USD,132714.2857,126078.5714,331.7857143,126410.3571,0.04,fixed,,,,fixed,,42138,56007,,,0.03,0.005,0.0075,43672,368.6507937,368.6507937,31.60258929,43707,43707,monthly,monthly,1105.952381,3782.357143,0.04,0.005,0.01,,20,3
A00019567,LP19504,Web,42138,USA,Resi,Mortage,Loan,Balloon,53088,53093,USD,129428.5714,122957.1429,349.4571429,123306.6,0.05,fixed,,,,fixed,,42139,53093,,,0.03,0.005,0.0075,43672,359.5238095,359.5238095,30.82665,43707,43707,monthly,monthly,1078.571429,3688.714286,0.04,0.005,0.01,,90,3
A00019568,LP19505,Broker,42139,USA,Resi,Mortage,Loan,Linear,53089,53094,USD,126142.8571,119835.7143,729.1057143,120564.82,0.04145402299,fixed,,,,fixed,,42140,53094,,,0.03,0.005,0.0075,43672,350.3968254,350.3968254,30.141205,43707,43707,monthly,monthly,1051.190476,3595.071429,0.04,0.005,0.01,non-performing,91,3
A00019569,LP19506,Branch,42140,USA,Resi,Mortage,Loan,Linear,53090,53095,USD,122857.1429,110571.4286,614.2857143,111185.7143,0.04155858361,fixed,,,,fixed,,42141,53095,,,0.03,0.005,0.0075,43672,341.2698413,341.2698413,27.79642857,43707,43707,monthly,monthly,1023.809524,3317.142857,0.04,0.005,0.01,non-performing,95,3
A00019570,LP19507,Web,42141,USA,Resi,Mortage,Loan,Linear,53091,53096,USD,119571.4286,117180,322.8428571,117502.8429,0.04166314423,fixed,,,,fixed,,42142,53096,,,0.03,0.005,0.0075,43672,332.1428571,332.1428571,29.37571071,43707,43707,monthly,monthly,996.4285714,3515.4,0.04,0.005,0.01,non-performing,97,3
A00019571,LP19508,Broker,42142,USA,Resi,Mortage,Loan,Linear,53092,53097,USD,116285.7143,110471.4286,672.1314286,111143.56,0.04176770486,fixed,,,,fixed,,42143,53097,,,0.03,0.005,0.0075,43672,323.015873,323.015873,27.78589,43707,43707,monthly,monthly,969.047619,3314.142857,0.04,0.005,0.01,non-performing,93,3
A00019572,LP19509,Branch,42143,USA,Resi,Mortage,Loan,Linear,53093,53098,USD,150000,135000,750,135750,0.04187226548,fixed,,,,fixed,,42144,53098,,,0.03,0.005,0.0075,43672,416.6666667,416.6666667,33.9375,43707,43707,monthly,monthly,2500,8100,0.04,0.005,0.01,non-performing,213,6
A00019573,LP19510,Branch,42144,USA,Resi,Mortage,Loan,Linear,53094,55284,USD,100000,98000,17,98017,0.0419768261,fixed,,,,fixed,,42145,55284,,,0.03,0.005,0.0075,43672,277.7777778,277.7777778,24.50425,43707,43707,monthly,monthly,833.3333333,2940,0.04,0.005,0.01,,20,3
A00019574,LP19511,Web,42145,USA,Resi,Mortage,Loan,Linear,53095,54920,USD,85000,80750,14.45,80764.45,0.04208138673,fixed,,,,fixed,,42146,54920,,,0.03,0.005,0.0075,43672,236.1111111,236.1111111,20.1911125,43707,43707,monthly,monthly,708.3333333,2422.5,0.04,0.005,0.01,,90,3
A00019575,LP19512,Broker,42146,USA,CRE,Mortage,Loan,Linear,53096,54921,USD,200000,190000,34,190034,0.04218594735,fixed,,,,fixed,,42147,54921,,,0.03,0.005,0.0075,43672,555.5555556,555.5555556,47.5085,43707,43707,monthly,monthly,1666.666667,5700,0.04,0.005,0.01,non-performing,91,3
A00019576,LP19513,Branch,42147,USA,Resi,Mortage,Loan,Linear,53097,54922,USD,150000,150030,375,150405,0.04229050797,fixed,,,,fixed,,42148,54922,,,0.03,0.005,0.0075,43672,416.6666667,416.6666667,37.60125,43707,43707,monthly,monthly,1250,4500.9,0.04,0.005,0.01,non-performing,95,3
A00019577,LP19514,Web,42148,USA,Resi,Mortage,Loan,Linear,53098,54923,USD,136000,129200,367.2,129567.2,0.04239506859,fixed,,,,fixed,,42149,54923,,,0.03,0.005,0.0075,43668,377.7777778,377.7777778,32.3918,43707,43707,monthly,monthly,1133.333333,3876,0.04,0.005,0.01,non-performing,97,3
A00019578,LP19515,Broker,42149,USA,Resi,Mortage,Loan,Linear,53099,54924,USD,156333.3333,140700,903.6066667,141603.6067,0.04249962922,fixed,,,,fixed,,42150,54924,,,0.03,0.005,0.0075,43672,434.2592593,434.2592593,35.40090167,43707,43707,monthly,monthly,1302.777778,4221,0.04,0.005,0.01,non-performing,93,3
A00019579,LP19516,Branch,42150,USA,Resi,Mortage,Loan,Linear,53100,56020,USD,161904.7619,158666.6667,809.5238095,159476.1905,0.04260418984,mixed,5 years fixed then variable,,,fixed,,42151,56020,,,0.03,0.005,0.0075,43672,449.7354497,449.7354497,39.86904762,43707,43707,monthly,monthly,1349.206349,4760,0.04,0.005,0.01,,20,3
A00019580,LP19517,Branch,42151,USA,CRE,Mortage,Loan,Linear,53101,53106,USD,167476.1905,159102.381,28.47095238,159130.8519,0.04270875046,variable,,LIBOR,3,fixed,LIBOR,42152,53106,,,0.03,0.005,0.0075,43672,465.2116402,465.2116402,39.78271298,43707,43707,monthly,monthly,1395.634921,4773.071429,0.04,0.005,0.01,,90,3
A00019581,LP19518,Web,42152,USA,Resi,Mortage,Loan,Linear,53102,53107,USD,173047.619,164395.2381,865.2380952,165260.4762,0.04281331109,fixed,,,,fixed,,42153,53107,,,0.03,0.005,0.0075,43672,480.6878307,480.6878307,41.31511905,43707,43707,monthly,monthly,1442.063492,4931.857143,0.04,0.005,0.01,non-performing,91,3
A00019582,LP19519,Broker,42153,USA,Resi,Mortage,Loan,Linear,53103,53108,USD,178619.0476,169688.0952,893.0952381,170581.1905,0.04291787171,fixed,,,,fixed,,42154,53108,,,0.03,0.005,0.0075,43672,496.1640212,496.1640212,42.64529762,43707,43707,monthly,monthly,1488.492063,5090.642857,0.04,0.005,0.01,non-performing,95,3
