Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
4000,2019-01-02,Debt consolidation,,15.32%,902xx,CA,< 1 year,0
10000,2019-01-02,Credit card refinancing,,34.39%,201xx,VA,< 1 year,0
12000,2019-01-02,Credit card refinancing,,10.65%,131xx,NY,< 1 year,0
6000,2019-01-02,Debt consolidation,,7.47%,410xx,KY,< 1 year,0
1000,2019-01-02,Debt consolidation,,0%,462xx,IN,1 year,0
5000,2019-01-02,Home buying,,17.75%,321xx,FL,< 1 year,0
1000,2019-01-02,Other,,0.96%,190xx,PA,1 year,0
1000,2019-01-02,Other,,10.63%,162xx,PA,1 year,0
40000,2019-01-02,Debt consolidation,,25.09%,104xx,NY,< 1 year,0
10000,2019-01-02,Debt consolidation,,8.22%,675xx,KS,< 1 year,0
20000,2019-01-02,Credit card refinancing,,50.01%,021xx,MA,< 1 year,0
6775,2019-01-02,Car financing,,100%,437xx,OH,< 1 year,0
7500,2019-01-02,Debt consolidation,,36.27%,293xx,SC,< 1 year,0
9000,2019-01-02,Debt consolidation,,24.42%,622xx,IL,n/a,0
14000,2019-01-02,Debt consolidation,,25%,338xx,FL,< 1 year,0
40000,2019-01-02,Debt consolidation,,48.54%,151xx,PA,< 1 year,0
4000,2019-01-02,Debt consolidation,,24.58%,681xx,NE,5 years,0
20000,2019-01-02,Debt consolidation,,56.64%,085xx,NJ,< 1 year,0
10000,2019-01-02,Other,,38.27%,323xx,FL,< 1 year,0
22000,2019-01-02,Debt consolidation,,8.98%,840xx,UT,< 1 year,0
2000,2019-01-02,Debt consolidation,631,1.09%,773xx,TX,< 1 year,0
40000,2019-01-02,Debt consolidation,667,38.04%,660xx,KS,< 1 year,0
9000,2019-01-02,Credit card refinancing,,35.63%,191xx,PA,< 1 year,0
2500,2019-01-02,Debt consolidation,,1.51%,705xx,LA,1 year,0
1000,2019-01-02,Other,,44.06%,631xx,MO,< 1 year,0
5000,2019-01-02,Debt consolidation,,2.02%,210xx,MD,< 1 year,0
10000,2019-01-02,Debt consolidation,,25.22%,114xx,NY,< 1 year,0
15000,2019-01-02,Debt consolidation,,25.62%,168xx,PA,< 1 year,0
5000,2019-01-02,Major purchase,,8.43%,580xx,ND,< 1 year,0
18000,2019-01-02,Other,,100%,337xx,FL,< 1 year,0
35000,2019-01-02,Debt consolidation,,39.36%,084xx,NJ,< 1 year,0
2500,2019-01-02,Medical expenses,,9.84%,857xx,AZ,5 years,0
35000,2019-01-02,Other,,1.67%,301xx,GA,< 1 year,0
2500,2019-01-02,Debt consolidation,526,100%,495xx,MI,< 1 year,0
20000,2019-01-02,Debt consolidation,,27.26%,195xx,PA,< 1 year,0
13000,2019-01-02,Debt consolidation,,2.53%,232xx,VA,< 1 year,0
1000,2019-01-02,Other,,16.54%,130xx,NY,< 1 year,0
28000,2019-01-02,Debt consolidation,,24.36%,801xx,CO,< 1 year,0
20000,2019-01-02,Credit card refinancing,,13.67%,028xx,RI,< 1 year,0
20000,2019-01-02,Debt consolidation,,46.13%,244xx,VA,< 1 year,0
35000,2019-01-02,Debt consolidation,,19.05%,080xx,NJ,< 1 year,0
40000,2019-01-02,Credit card refinancing,,48.47%,531xx,WI,< 1 year,0
1000,2019-01-02,Debt consolidation,,11.57%,802xx,CO,< 1 year,0
2000,2019-01-02,Home improvement,,100%,890xx,NV,< 1 year,0
12000,2019-01-02,Credit card refinancing,,17.68%,201xx,VA,< 1 year,0
25000,2019-01-02,Debt consolidation,,21.8%,541xx,WI,< 1 year,0
6000,2019-01-02,Debt consolidation,,52%,140xx,NY,< 1 year,0
3000,2019-01-02,Home improvement,,36.2%,060xx,CT,< 1 year,0
1000,2019-01-02,Other,,27.2%,335xx,FL,1 year,0
2500,2019-01-02,Other,,100%,080xx,NJ,< 1 year,0
10000,2019-01-02,Home buying,,30.26%,148xx,NY,< 1 year,0
5000,2019-01-02,Debt consolidation,,67.9%,670xx,KS,< 1 year,0
10000,2019-01-02,Other,,44.11%,150xx,PA,< 1 year,0
13975,2019-01-02,Other,,0%,325xx,FL,< 1 year,0
20000,2019-01-02,Credit card refinancing,,39.48%,442xx,OH,< 1 year,0
9000,2019-01-02,Other,,16.37%,446xx,OH,< 1 year,0
13000,2019-01-02,Debt consolidation,,2.66%,070xx,NJ,< 1 year,0
2500,2019-01-02,Debt consolidation,,13.25%,321xx,FL,< 1 year,0
150000,2019-01-02,Business Loan,,-1%,553xx,MN,< 1 year,0
1000,2019-01-02,Other,,0%,447xx,OH,5 years,0
30000,2019-01-02,Other,,22.93%,151xx,PA,< 1 year,0
3500,2019-01-02,Car financing,633,0.9%,109xx,NY,< 1 year,0
10000,2019-01-02,Debt consolidation,,25.45%,925xx,CA,< 1 year,0
10000,2019-01-02,Debt consolidation,,100%,113xx,NY,< 1 year,0
8000,2019-01-02,Moving and relocation,,29.18%,967xx,HI,< 1 year,0
1000,2019-01-02,Other,521,11.46%,850xx,AZ,5 years,0
7675,2019-01-02,Home buying,,18.05%,766xx,TX,< 1 year,0
30000,2019-01-02,Debt consolidation,,38.52%,562xx,MN,< 1 year,0
1000,2019-01-02,Debt consolidation,,23.63%,770xx,TX,1 year,0
12000,2019-01-02,Debt consolidation,,36.66%,622xx,IL,< 1 year,0
20000,2019-01-02,Major purchase,,6.19%,342xx,FL,< 1 year,0
15750,2019-01-02,Car financing,,100%,206xx,MD,< 1 year,0
31000,2019-01-02,Car financing,,100%,743xx,OK,n/a,0
1800,2019-01-02,Other,,31.79%,768xx,TX,< 1 year,0
15000,2019-01-02,Medical expenses,,19.35%,020xx,MA,< 1 year,0
25000,2019-01-02,Debt consolidation,,33.3%,083xx,NJ,< 1 year,0
10000,2019-01-02,Debt consolidation,,113.6%,574xx,SD,< 1 year,0
20000,2019-01-02,Business,,14.6%,329xx,FL,< 1 year,0
10000,2019-01-02,Other,,2.21%,127xx,NY,< 1 year,0
25000,2019-01-02,Debt consolidation,,30.69%,608xx,IL,< 1 year,0
1000,2019-01-02,Other,,18.8%,477xx,IN,4 years,0
1000,2019-01-02,Debt consolidation,,7.96%,852xx,AZ,< 1 year,0
20000,2019-01-02,Debt consolidation,,71.16%,331xx,FL,< 1 year,0
10000,2019-01-02,Credit card refinancing,,7.5%,321xx,FL,< 1 year,0
1000,2019-01-02,Other,,83.09%,925xx,CA,< 1 year,0
10000,2019-01-02,Debt consolidation,,31.4%,083xx,NJ,< 1 year,0
4000,2019-01-02,Medical expenses,,37.69%,450xx,OH,< 1 year,0
1000,2019-01-02,Medical expenses,,53.95%,112xx,NY,< 1 year,0
20500,2019-01-02,Other,,17.19%,480xx,MI,< 1 year,0
33500,2019-01-02,Credit card refinancing,,60.13%,252xx,WV,< 1 year,0
33000,2019-01-02,Debt consolidation,,34.8%,325xx,FL,< 1 year,0
2800,2019-01-02,Debt consolidation,,100%,107xx,NY,< 1 year,0
40000,2019-01-02,Other,,7.86%,620xx,IL,< 1 year,0
2500,2019-01-02,Car financing,,0.54%,532xx,WI,2 years,0
1000,2019-01-02,Other,,11.1%,437xx,OH,< 1 year,0
25000,2019-01-02,Credit card refinancing,,100%,362xx,AL,< 1 year,0
10000,2019-01-02,Debt consolidation,,2.64%,664xx,KS,< 1 year,0
1000,2019-01-02,Other,,2.18%,674xx,KS,5 years,0
15000,2019-01-02,Debt consolidation,,16.85%,432xx,OH,10+ years,0
1000,2019-01-02,Other,,217.39%,240xx,VA,< 1 year,0
1000,2019-01-02,Home buying,,57.03%,236xx,VA,< 1 year,0
7000,2019-01-02,Credit card refinancing,,14.13%,640xx,MO,< 1 year,0
8000,2019-01-02,Credit card refinancing,,44.63%,860xx,AZ,< 1 year,0
8000,2019-01-02,Debt consolidation,,31.38%,327xx,FL,< 1 year,0
20000,2019-01-02,Debt consolidation,,14.28%,383xx,TN,< 1 year,0
30000,2019-01-02,Debt consolidation,,100%,494xx,MI,< 1 year,0
1000,2019-01-02,Credit card refinancing,,46.94%,240xx,VA,< 1 year,0
2500,2019-01-02,Debt consolidation,,13.08%,604xx,IL,n/a,0
25000,2019-01-02,Debt consolidation,,41.02%,346xx,FL,< 1 year,0
1000,2019-01-02,Major purchase,,23.12%,711xx,LA,< 1 year,0
1000,2019-01-02,Other,,1.25%,292xx,SC,1 year,0
1000,2019-01-02,Debt consolidation,,4.2%,233xx,VA,5 years,0
16350,2019-01-02,Car financing,,100%,028xx,RI,< 1 year,0
5000,2019-01-02,Debt consolidation,,3.99%,530xx,WI,< 1 year,0
18000,2019-01-02,Debt consolidation,,38.69%,802xx,CO,< 1 year,0
15000,2019-01-02,Credit card refinancing,,21.28%,605xx,IL,< 1 year,0
1000,2019-01-02,Other,,6%,809xx,CO,< 1 year,0
5000,2019-01-02,Home buying,,9.06%,480xx,MI,< 1 year,0
10500,2019-01-02,Debt consolidation,,18.24%,481xx,MI,< 1 year,0
25000,2019-01-02,Other,,18.24%,115xx,NY,< 1 year,0
29500,2019-01-02,Home buying,,13.17%,442xx,OH,< 1 year,0
15000,2019-01-02,Debt consolidation,,39.29%,388xx,MS,< 1 year,0
40000,2019-01-02,Debt consolidation,,35.29%,336xx,FL,< 1 year,0
10000,2019-01-02,Debt consolidation,,36.09%,313xx,GA,< 1 year,0
10000,2019-01-02,Other,,11.76%,303xx,GA,< 1 year,0
18000,2019-01-02,Car financing,,37.02%,451xx,OH,< 1 year,0
14000,2019-01-02,Debt consolidation,,48.25%,560xx,MN,< 1 year,0
18000,2019-01-02,Car financing,,15.16%,480xx,MI,< 1 year,0
1000,2019-01-02,Other,,7.36%,871xx,NM,3 years,0
40000,2019-01-02,Credit card refinancing,,18.65%,074xx,NJ,< 1 year,0
25000,2019-01-02,Credit card refinancing,,18.93%,023xx,MA,< 1 year,0
1000,2019-01-02,Other,,20.78%,282xx,NC,2 years,0
3000,2019-01-02,Credit card refinancing,,20.7%,280xx,NC,< 1 year,0
8500,2019-01-02,Debt consolidation,,63.89%,368xx,AL,< 1 year,0
1000,2019-01-02,Other,,12.38%,442xx,OH,1 year,0
35000,2019-01-02,Credit card refinancing,,18.49%,234xx,VA,< 1 year,0
7500,2019-01-02,Debt consolidation,,43.58%,024xx,MA,< 1 year,0
10000,2019-01-02,Medical expenses,,8.13%,432xx,OH,< 1 year,0
10000,2019-01-02,Home buying,,25.48%,363xx,AL,< 1 year,0
35000,2019-01-02,Debt consolidation,,42.05%,483xx,MI,< 1 year,0
22600,2019-01-02,Car financing,,100%,301xx,GA,1 year,0
1000,2019-01-02,Medical expenses,,12.22%,380xx,TN,< 1 year,0
8000,2019-01-02,Home buying,,16.72%,535xx,WI,< 1 year,0
1000,2019-01-02,Debt consolidation,,0%,207xx,MD,< 1 year,0
5000,2019-01-02,Debt consolidation,,13.42%,838xx,ID,< 1 year,0
20000,2019-01-02,Major purchase,,7.69%,740xx,OK,< 1 year,0
25000,2019-01-02,Debt consolidation,,24.45%,968xx,HI,< 1 year,0
3000,2019-01-02,Medical expenses,,17.12%,767xx,TX,< 1 year,0
3500,2019-01-02,Debt consolidation,,100%,156xx,CA,< 1 year,0
12925,2019-01-02,Car financing,,100%,330xx,FL,3 years,0
35525,2019-01-02,Car financing,,100%,338xx,FL,< 1 year,0
2000,2019-01-02,Other,,0%,294xx,SC,< 1 year,0
5000,2019-01-02,Debt consolidation,,54.31%,294xx,SC,5 years,0
1000,2019-01-02,Debt consolidation,,21.2%,365xx,AL,3 years,0
1000,2019-01-02,Medical expenses,,23.98%,930xx,CA,< 1 year,0
5000,2019-01-02,Major purchase,,4.82%,800xx,CO,< 1 year,0
4000,2019-01-02,Debt consolidation,,16.94%,984xx,WA,< 1 year,0
10000,2019-01-02,Debt consolidation,,8.61%,104xx,NY,< 1 year,0
5000,2019-01-02,Other,,18.68%,319xx,GA,< 1 year,0
5000,2019-01-02,Other,,23.03%,074xx,NJ,< 1 year,0
1000,2019-01-02,Other,,11.68%,640xx,MO,1 year,0
10000,2019-01-02,Home buying,,33.18%,661xx,KS,< 1 year,0
38000,2019-01-02,Debt consolidation,,34.69%,282xx,NC,< 1 year,0
10000,2019-01-02,Credit card refinancing,,10.39%,708xx,LA,< 1 year,0
2500,2019-01-02,Debt consolidation,,14.17%,441xx,OH,< 1 year,0
20000,2019-01-02,Debt consolidation,,21.33%,756xx,TX,< 1 year,0
15000,2019-01-02,Credit card refinancing,,26.75%,121xx,NY,< 1 year,0
20000,2019-01-02,Debt consolidation,,26.76%,028xx,RI,n/a,0
2000,2019-01-02,Debt consolidation,,15.7%,331xx,FL,< 1 year,0
1000,2019-01-02,Other,,100%,801xx,CO,< 1 year,0
2500,2019-01-02,Home buying,,32.45%,346xx,FL,< 1 year,0
3000,2019-01-02,Credit card refinancing,,100%,441xx,OH,< 1 year,0
10000,2019-01-02,Other,,18.94%,660xx,KS,< 1 year,0
30000,2019-01-02,Debt consolidation,,100%,015xx,MA,< 1 year,0
25000,2019-01-02,Debt consolidation,,33.57%,604xx,IL,< 1 year,0
15000,2019-01-02,Car financing,,2.48%,322xx,FL,< 1 year,0
10000,2019-01-02,Home buying,,17.85%,115xx,NY,< 1 year,0
10000,2019-01-02,Other,,46.83%,109xx,NY,< 1 year,0
1800,2019-01-02,Credit card refinancing,,21.72%,028xx,RI,< 1 year,0
2000,2019-01-02,Other,,9.71%,705xx,LA,< 1 year,0
3025,2019-01-02,Moving and relocation,,29.32%,301xx,GA,< 1 year,0
1000,2019-01-02,Other,,11.28%,441xx,OH,< 1 year,0
15000,2019-01-02,Debt consolidation,,15.64%,306xx,GA,< 1 year,0
20000,2019-01-02,Debt consolidation,,27.97%,283xx,NC,< 1 year,0
7500,2019-01-02,Other,,8.82%,462xx,IN,< 1 year,0
10000,2019-01-02,Debt consolidation,,8.92%,492xx,MI,< 1 year,0
12500,2019-01-02,Other,628,0%,873xx,NM,< 1 year,0
15000,2019-01-02,Debt consolidation,,27.6%,066xx,CT,10+ years,0
12000,2019-01-02,Debt consolidation,,23.41%,331xx,FL,< 1 year,0
11500,2019-01-02,Debt consolidation,,30%,295xx,SC,< 1 year,0
5000,2019-01-02,Major purchase,,2%,146xx,NY,< 1 year,0
3000,2019-01-02,Home buying,,0%,701xx,LA,< 1 year,0
1000,2019-01-02,Other,,6.91%,284xx,NC,< 1 year,0
2500,2019-01-02,Debt consolidation,,41.94%,379xx,TN,< 1 year,0
36925,2019-01-02,Car financing,,100%,488xx,MI,10+ years,0
5000,2019-01-02,Debt consolidation,,5.38%,068xx,CT,< 1 year,0
1000,2019-01-02,Other,,0%,779xx,TX,4 years,0
8000,2019-01-02,Debt consolidation,,24.29%,786xx,TX,< 1 year,0
30000,2019-01-02,Debt consolidation,,46.71%,141xx,NY,< 1 year,0
10000,2019-01-02,Debt consolidation,,31.4%,083xx,NJ,< 1 year,0
9075,2019-01-02,Car financing,,100%,450xx,OH,4 years,0
30000,2019-01-02,Debt consolidation,,28.85%,314xx,GA,< 1 year,0
2500,2019-01-02,Other,,38.45%,846xx,UT,1 year,0
3000,2019-01-02,Debt consolidation,,21.65%,846xx,UT,< 1 year,0
20000,2019-01-02,Major purchase,,24.36%,680xx,NE,< 1 year,0
10000,2019-01-02,Credit card refinancing,,65.6%,530xx,WI,< 1 year,0
20500,2019-01-02,Car financing,,26.99%,571xx,SD,< 1 year,0
3000,2019-01-02,Debt consolidation,,25.84%,273xx,NC,< 1 year,0
5000,2019-01-02,Credit card refinancing,648,10.15%,121xx,NY,< 1 year,0
2000,2019-01-02,Other,,12.02%,953xx,CA,< 1 year,0
10000,2019-01-02,Other,,1.49%,019xx,MA,< 1 year,0
1000,2019-01-02,Debt consolidation,,48.4%,799xx,TX,3 years,0
30000,2019-01-02,Debt consolidation,,72.92%,136xx,NY,< 1 year,0
15500,2019-01-02,Car financing,,100%,174xx,PA,8 years,0
12000,2019-01-02,Credit card refinancing,,38.62%,142xx,NY,< 1 year,0
5000,2019-01-02,Vacation,,7.01%,029xx,RI,< 1 year,0
15000,2019-01-02,Home improvement,,23.3%,371xx,TN,< 1 year,0
5000,2019-01-02,Business,,9999%,853xx,AZ,< 1 year,0
25000,2019-01-02,Debt consolidation,,37.28%,795xx,TX,< 1 year,0
2500,2019-01-02,Moving and relocation,,0%,565xx,MN,1 year,0
35000,2019-01-02,Home improvement,,48.26%,017xx,MA,< 1 year,0
1000,2019-01-02,Debt consolidation,,20.3%,834xx,ID,1 year,0
1000,2019-01-02,Other,,2.57%,653xx,MO,1 year,0
5000,2019-01-02,Other,,9.68%,294xx,SC,n/a,0
10000,2019-01-02,Debt consolidation,,27%,658xx,MO,< 1 year,0
2500,2019-01-02,Other,706,4.23%,707xx,LA,< 1 year,0
40000,2019-01-02,Home improvement,,65.08%,296xx,SC,< 1 year,0
2500,2019-01-02,Debt consolidation,,32.28%,209xx,MD,5 years,0
11000,2019-01-02,Debt consolidation,,44.25%,330xx,FL,< 1 year,0
40000,2019-01-02,Debt consolidation,,28.73%,897xx,NV,< 1 year,0
25000,2019-01-02,Debt consolidation,,100%,784xx,TX,< 1 year,0
15000,2019-01-02,Debt consolidation,,14.42%,331xx,FL,< 1 year,0
4000,2019-01-02,Debt consolidation,660,13.52%,272xx,NC,< 1 year,0
24000,2019-01-02,Debt consolidation,,14.42%,551xx,MN,< 1 year,0
1000,2019-01-02,Other,,1.03%,617xx,IL,< 1 year,0
25425,2019-01-02,Debt consolidation,,16.46%,117xx,NY,< 1 year,0
25000,2019-01-02,Debt consolidation,,32.92%,785xx,TX,< 1 year,0
10000,2019-01-02,Debt consolidation,,30.74%,328xx,FL,< 1 year,0
4000,2019-01-02,Debt consolidation,,47.22%,671xx,KS,< 1 year,0
6000,2019-01-02,Credit card refinancing,,46.88%,994xx,WA,< 1 year,0
40000,2019-01-02,Debt consolidation,,13.56%,953xx,CA,< 1 year,0
2500,2019-01-02,Debt consolidation,,21.5%,071xx,NJ,1 year,0
15000,2019-01-02,Debt consolidation,,52.94%,662xx,KS,< 1 year,0
15000,2019-01-02,Credit card refinancing,,24.25%,104xx,NY,< 1 year,0
5000,2019-01-02,Credit card refinancing,,3.06%,285xx,NC,< 1 year,0
5000,2019-01-02,Credit card refinancing,,22.06%,331xx,FL,< 1 year,0
1000,2019-01-02,Home buying,,32.98%,444xx,OH,< 1 year,0
8000,2019-01-02,Other,,31.87%,105xx,NY,< 1 year,0
1000,2019-01-02,Home buying,,37%,447xx,OH,< 1 year,0
2500,2019-01-02,Other,,17.26%,760xx,TX,< 1 year,0
25000,2019-01-02,Debt consolidation,,36.53%,347xx,FL,< 1 year,0
40000,2019-01-02,Home improvement,,11.69%,378xx,TN,< 1 year,0
25000,2019-01-02,Other,,26.26%,770xx,TX,< 1 year,0
5000,2019-01-02,Other,,12.19%,276xx,NC,< 1 year,0
3000,2019-01-02,Debt consolidation,,12.18%,024xx,MA,< 1 year,0
3300,2019-01-02,Debt consolidation,,28.29%,301xx,GA,< 1 year,0
2000,2019-01-02,Debt consolidation,,17.13%,453xx,OH,< 1 year,0
10000,2019-01-02,Debt consolidation,,39.18%,427xx,KY,< 1 year,0
30000,2019-01-02,Other,,8.35%,926xx,CA,< 1 year,0
4000,2019-01-02,Other,,41.49%,176xx,PA,< 1 year,0
16000,2019-01-02,Credit card refinancing,,410.65%,337xx,FL,< 1 year,0
25000,2019-01-02,Debt consolidation,,61.55%,971xx,OR,< 1 year,0
10000,2019-01-02,Debt consolidation,,8.66%,601xx,IL,< 1 year,0
2500,2019-01-02,Other,,12.65%,480xx,MI,< 1 year,0
16000,2019-01-02,Credit card refinancing,,50.91%,295xx,SC,< 1 year,0
10000,2019-01-02,Credit card refinancing,,21.76%,194xx,PA,< 1 year,0
10000,2019-01-02,Debt consolidation,,16.12%,405xx,KY,< 1 year,0
1000,2019-01-02,Other,,3.86%,809xx,CO,< 1 year,0
25000,2019-01-02,Credit card refinancing,,61.62%,278xx,NC,< 1 year,0
2500,2019-01-02,Other,,37.4%,761xx,TX,10+ years,0
2500,2019-01-02,Debt consolidation,,40.93%,331xx,FL,3 years,0
15000,2019-01-02,Debt consolidation,,34.21%,145xx,NY,< 1 year,0
3000,2019-01-02,Other,,26.74%,984xx,WA,n/a,0
2500,2019-01-02,Other,,37.4%,761xx,TX,< 1 year,0
5000,2019-01-02,Credit card refinancing,,29.07%,138xx,NY,< 1 year,0
1000,2019-01-02,Other,,12.87%,150xx,PA,5 years,0
75000,2019-01-02,Business Loan,,-1%,100xx,NY,< 1 year,0
5500,2019-01-02,Debt consolidation,,47.31%,117xx,NY,< 1 year,0
40000,2019-01-02,Home buying,,36.12%,773xx,TX,< 1 year,0
3000,2019-01-02,Debt consolidation,,11.56%,895xx,NV,< 1 year,0
5000,2019-01-02,Credit card refinancing,,74.42%,925xx,CA,< 1 year,0
2500,2019-01-02,Debt consolidation,,4.58%,386xx,MS,< 1 year,0
13500,2019-01-02,Credit card refinancing,,33.95%,328xx,FL,< 1 year,0
2000,2019-01-02,Debt consolidation,,100%,112xx,NY,< 1 year,0
7000,2019-01-02,Car financing,,1.04%,802xx,CO,< 1 year,0
40000,2019-01-02,Debt consolidation,,36.41%,047xx,ME,< 1 year,0
3000,2019-01-02,Other,,14.1%,327xx,FL,< 1 year,0
50000,2019-01-02,Business Loan,,-1%,327xx,FL,< 1 year,0
9000,2019-01-02,Major purchase,,7.2%,296xx,SC,< 1 year,0
20000,2019-01-02,Other,,1.69%,482xx,MI,< 1 year,0
35000,2019-01-02,Debt consolidation,,25.23%,492xx,MI,< 1 year,0
1000,2019-01-02,Other,,33.69%,071xx,NJ,5 years,0
25000,2019-01-02,Other,,100%,022xx,MA,< 1 year,0
3000,2019-01-02,Debt consolidation,,53.98%,841xx,UT,< 1 year,0
40000,2019-01-02,Debt consolidation,,32.19%,752xx,TX,< 1 year,0
2000,2019-01-02,Other,,15.66%,716xx,AR,< 1 year,0
10000,2019-01-02,Debt consolidation,,27.95%,463xx,IN,< 1 year,0
25000,2019-01-02,Credit card refinancing,,33.94%,622xx,IL,< 1 year,0
1000,2019-01-02,Other,,4.21%,636xx,MO,1 year,0
14500,2019-01-02,Debt consolidation,,100%,446xx,OH,n/a,0
20000,2019-01-02,Credit card refinancing,621,36.92%,750xx,TX,< 1 year,0
20000,2019-01-02,Debt consolidation,,17.94%,365xx,AL,< 1 year,0
5000,2019-01-02,Debt consolidation,,100%,919xx,CA,< 1 year,0
18000,2019-01-02,Car financing,,16.77%,354xx,AL,< 1 year,0
5000,2019-01-02,Home buying,,27.8%,357xx,AL,n/a,0
5000,2019-01-02,Home buying,,0.86%,790xx,TX,< 1 year,0
25000,2019-01-02,Debt consolidation,,100%,080xx,NJ,< 1 year,0
2500,2019-01-02,Moving and relocation,,14.36%,020xx,MA,5 years,0
2000,2019-01-02,Other,,0.64%,342xx,FL,< 1 year,0
10000,2019-01-02,Debt consolidation,,100%,331xx,FL,< 1 year,0
10000,2019-01-02,Other,,34.11%,088xx,NJ,< 1 year,0
2500,2019-01-02,Debt consolidation,,7.41%,782xx,TX,10+ years,0
5000,2019-01-02,Debt consolidation,,21.81%,104xx,NY,< 1 year,0
2500,2019-01-02,Medical expenses,,50.7%,756xx,TX,< 1 year,0
5000,2019-01-02,Other,,15.65%,488xx,MI,< 1 year,0
10000,2019-01-02,Home buying,,6.88%,456xx,OH,< 1 year,0
1000,2019-01-02,Other,,100%,554xx,MN,< 1 year,0
10000,2019-01-02,Debt consolidation,,22.44%,925xx,CA,< 1 year,0
3000,2019-01-02,Debt consolidation,,0%,446xx,OH,< 1 year,0
7500,2019-01-02,Debt consolidation,,14.34%,571xx,SD,< 1 year,0
25000,2019-01-02,Home improvement,,11.2%,258xx,WV,< 1 year,0
32000,2019-01-02,Debt consolidation,,28.96%,600xx,IL,7 years,0
22950,2019-01-02,Car financing,,100%,761xx,TX,< 1 year,0
10000,2019-01-02,Credit card refinancing,,11.96%,114xx,NY,< 1 year,0
40000,2019-01-02,Credit card refinancing,,14.94%,945xx,CA,< 1 year,0
25000,2019-01-02,Debt consolidation,,15.44%,284xx,NC,< 1 year,0
13000,2019-01-02,Debt consolidation,,9.34%,352xx,AL,6 years,0
1000,2019-01-02,Other,,3.84%,482xx,MI,5 years,0
10000,2019-01-02,Debt consolidation,,25.64%,786xx,TX,< 1 year,0
12000,2019-01-02,Debt consolidation,,41.02%,322xx,FL,< 1 year,0
10000,2019-01-02,Credit card refinancing,,29.4%,435xx,OH,< 1 year,0
30000,2019-01-02,Other,,36.96%,221xx,VA,< 1 year,0
10000,2019-01-02,Major purchase,,0%,216xx,MD,< 1 year,0
40000,2019-01-02,Debt consolidation,,35.22%,956xx,CA,< 1 year,0
14000,2019-01-02,Debt consolidation,,54.87%,441xx,OH,< 1 year,0
1000,2019-01-02,Other,511,0.17%,448xx,OH,1 year,0
15000,2019-01-02,Home improvement,,838.55%,557xx,MN,< 1 year,0
10000,2019-01-02,Home buying,,48.97%,913xx,CA,< 1 year,0
5000,2019-01-02,Other,,51.7%,334xx,FL,< 1 year,0
1500,2019-01-02,Other,,64.37%,338xx,FL,< 1 year,0
20000,2019-01-02,Debt consolidation,,15.6%,210xx,MD,< 1 year,0
1000,2019-01-02,Debt consolidation,,26.17%,751xx,TX,1 year,0
20000,2019-01-02,Debt consolidation,,37.83%,322xx,FL,< 1 year,0
1000,2019-01-02,Other,,0.8%,146xx,NY,< 1 year,0
3500,2019-01-02,Debt consolidation,,11.04%,946xx,CA,< 1 year,0
5000,2019-01-02,Other,586,1.25%,750xx,TX,1 year,0
12000,2019-01-02,Credit card refinancing,,0.81%,334xx,FL,< 1 year,0
5000,2019-01-02,Credit card refinancing,,33.1%,088xx,NJ,< 1 year,0
30000,2019-01-02,Credit card refinancing,,17.12%,381xx,TN,< 1 year,0
2500,2019-01-02,Debt consolidation,,44.12%,070xx,NJ,1 year,0
5000,2019-01-02,Other,,0%,236xx,VA,< 1 year,0
22000,2019-01-02,Debt consolidation,,9.01%,551xx,MN,< 1 year,0
8000,2019-01-02,Debt consolidation,,14.72%,189xx,PA,< 1 year,0
15000,2019-01-02,Credit card refinancing,,11.59%,070xx,NJ,< 1 year,0
6000,2019-01-02,Debt consolidation,,0.72%,249xx,WV,< 1 year,0
10000,2019-01-02,Debt consolidation,,28.84%,327xx,FL,< 1 year,0
7000,2019-01-02,Credit card refinancing,,26.57%,930xx,CA,< 1 year,0
1000,2019-01-02,Other,,5.31%,324xx,FL,5 years,0
10000,2019-01-02,Debt consolidation,,21.99%,346xx,FL,1 year,0
18000,2019-01-02,Debt consolidation,,52.84%,300xx,GA,< 1 year,0
10000,2019-01-02,Debt consolidation,,62.91%,814xx,CO,< 1 year,0
10000,2019-01-02,Other,,13.3%,610xx,IL,< 1 year,0
10500,2019-01-02,Credit card refinancing,,60.31%,958xx,CA,< 1 year,0
25000,2019-01-02,Debt consolidation,,133.65%,770xx,TX,< 1 year,0
15000,2019-01-02,Debt consolidation,,14.8%,471xx,IN,< 1 year,0
15000,2019-01-02,Debt consolidation,,3.17%,300xx,GA,< 1 year,0
10000,2019-01-02,Other,,45.75%,945xx,CA,< 1 year,0
3500,2019-01-02,Major purchase,610,0.83%,336xx,FL,< 1 year,0
5000,2019-01-02,Credit card refinancing,,19.41%,719xx,AR,< 1 year,0
3500,2019-01-02,Home buying,,24.23%,103xx,NY,< 1 year,0
3000,2019-01-02,Debt consolidation,,6.48%,550xx,MN,< 1 year,0
12500,2019-01-02,Debt consolidation,,32.48%,339xx,FL,< 1 year,0
5000,2019-01-02,Debt consolidation,,38.27%,018xx,MA,< 1 year,0
20000,2019-01-02,Other,,4.42%,664xx,KS,< 1 year,0
18075,2019-01-02,Car financing,,100%,081xx,NJ,< 1 year,0
4000,2019-01-02,Other,,0%,975xx,OR,< 1 year,0
