LOAN_IDENTIFIER,ORIGINATION_CHANNEL ,SELLER_NAME ,ORIGINAL_INTEREST_RATE ,ORIGINAL_UPB,ORIGINAL_LOAN_TERM ,ORIGINATION_DATE,FIRST_PAYMENT_DATE ,ORIGINAL_LOAN-TO-VALUE_(LTV) ,ORIGINAL_COMBINED_LOAN-TO-VALUE_(CLTV) ,NUMBER_OF_BORROWERS ,ORIGINAL_DEBT_TO_INCOME_RATIO,BORROWER_CREDIT_SCORE_AT_ORIGINATION ,FIRST_TIME_HOME_BUYER_INDICATOR ,LOAN_PURPOSE ,PROPERTY_TYPE,NUMBER_OF_UNITS,OCCUPANCY_TYPE,PROPERTY_STATE ,ZIP_CODE_SHORT,PRIMARY_MORTGAGE_INSURANCE_PERCENT ,PRODUCT_TYPE,CO-BORROWER_CREDIT_SCORE_AT_ORIGINATION ,MORTGAGE_INSURANCE_TYPE,RELOCATION_MORTGAGE_INDICATOR
100760960577,R,OTHER,4,109000,360,03/2017,05/2017,95,95,1,18,814,N,P,SF,1,P,VA,243,30,FRM,,1,N
100768797627,R,OTHER,4.375,94000,360,03/2017,05/2017,65,65,2,38,802,N,P,SF,1,P,MI,480,,FRM,,,N
100771156193,C,"WELLS FARGO BANK, N.A.",4.125,219000,360,02/2017,04/2017,90,90,1,22,756,Y,P,CO,1,P,GA,303,25,FRM,,1,N
100774111284,C,OTHER,3.5,199000,180,05/2017,07/2017,84,84,2,43,792,N,R,PU,1,P,MO,630,6,FRM,780,1,N
100778646306,C,"WELLS FARGO BANK, N.A.",4.375,214000,360,03/2017,05/2017,80,80,2,38,736,N,P,PU,1,P,TX,782,,FRM,727,,N
100783237705,R,QUICKEN LOANS INC.,3.99,198000,360,04/2017,06/2017,95,95,1,39,747,N,P,SF,1,P,IL,605,30,FRM,,1,Y
100784116611,C,OTHER,4.5,140000,360,05/2017,07/2017,48,48,1,35,785,N,R,CO,1,P,IN,461,,FRM,,,N
100790989994,C,PMTT4,4.125,283000,360,05/2017,07/2017,78,78,1,26,803,N,P,PU,1,P,GA,300,,FRM,,,N
100795072415,R,OTHER,5.25,110000,360,05/2017,07/2017,60,60,1,47,655,N,C,SF,1,P,TN,372,,FRM,,,N
100795409195,C,OTHER,4.25,112000,360,06/2017,08/2017,80,80,1,24,783,Y,P,SF,1,P,GA,301,,FRM,,,N
100797702378,R,QUICKEN LOANS INC.,4.75,226000,240,03/2017,05/2017,95,95,1,32,688,N,R,SF,1,P,TN,380,25,FRM,,2,N
100798788953,R,OTHER,3.5,64000,180,06/2017,08/2017,54,54,1,21,752,N,R,SF,1,S,MI,497,,FRM,,,N
100801996613,C,"WELLS FARGO BANK, N.A.",4.625,275000,360,02/2017,04/2017,95,95,1,38,760,Y,P,CO,1,P,AZ,850,30,FRM,,1,N
100804293014,C,SUNTRUST BANK,3.875,160000,360,03/2017,05/2017,75,75,2,32,787,N,P,CO,1,S,FL,341,,FRM,788,,N
100806943903,C,FRANKLIN AMERICAN MORTGAGE COMPANY,4.125,424000,360,04/2017,06/2017,84,84,2,25,765,Y,P,SF,1,P,IL,600,12,FRM,766,1,N
100808606171,C,"WELLS FARGO BANK, N.A.",4.5,165000,360,04/2017,06/2017,72,72,1,42,741,N,C,SF,2,P,TN,370,,FRM,,,N
100814558232,C,"WELLS FARGO BANK, N.A.",4.625,342000,360,03/2017,05/2017,95,95,2,41,718,N,P,PU,1,P,NV,891,30,FRM,705,1,N
100815338698,R,OTHER,4.375,77000,360,04/2017,06/2017,60,60,1,20,758,N,P,CO,1,P,FL,342,,FRM,,,N
100815504911,B,OTHER,4.75,226000,360,03/2017,05/2017,63,63,2,42,739,N,R,CO,1,I,SC,295,,FRM,692,,N
100820189092,R,OTHER,5,134000,360,05/2017,07/2017,75,75,1,21,782,N,P,SF,4,I,PA,170,,FRM,,,N
100820354661,C,"AMERIHOME MORTGAGE COMPANY, LLC",4.25,139000,360,03/2017,05/2017,45,45,2,43,801,N,R,SF,1,I,CA,925,,FRM,797,,N
100822352680,C,PMTT4,4.625,184000,360,04/2017,06/2017,95,95,2,33,783,N,P,PU,1,P,SC,290,30,FRM,770,1,N
100822839104,R,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",4.375,191000,360,03/2017,05/2017,97,97,1,37,717,Y,P,SF,1,P,AZ,850,18,FRM,,1,N
100824817413,R,OTHER,4.375,375000,360,03/2017,05/2017,85,85,2,18,816,N,R,SF,1,P,IN,462,12,FRM,786,1,N
100825292457,R,"WELLS FARGO BANK, N.A.",4.375,244000,240,05/2017,07/2017,80,80,2,26,784,N,C,PU,1,P,FL,323,,FRM,805,,N
100828747417,C,"WELLS FARGO BANK, N.A.",4.25,230000,360,03/2017,05/2017,60,60,2,26,801,N,P,SF,1,P,UT,840,,FRM,802,,N
100830504783,B,"CALIBER HOME LOANS, INC.",4.25,252000,360,04/2017,06/2017,56,56,1,40,769,N,P,SF,1,P,WA,980,,FRM,,,N
100831070184,R,DITECH FINANCIAL LLC,4.875,130000,360,03/2017,06/2017,80,80,1,29,668,N,C,SF,1,P,WI,530,,FRM,,,N
100831695660,B,OTHER,4.375,476000,360,03/2017,05/2017,75,75,2,34,757,N,P,SF,1,P,CA,934,,FRM,808,,N
100835551162,C,OTHER,3.625,113000,180,06/2017,08/2017,75,75,1,24,808,N,P,SF,2,I,IA,500,,FRM,,,N
100837356479,R,OTHER,4,112000,360,03/2017,05/2017,80,80,2,30,803,N,P,SF,1,P,WI,539,,FRM,712,,N
100837805984,R,"WELLS FARGO BANK, N.A.",4.5,53000,360,03/2017,05/2017,80,80,1,42,731,Y,P,SF,1,P,OH,455,,FRM,,,N
100839294497,R,OTHER,3.25,227000,180,06/2017,08/2017,82,82,1,39,742,N,R,PU,1,P,TX,775,6,FRM,,1,N
100842004200,B,"UNITED SHORE FINANCIAL SERVICES, LLC D/B/A UNITED WHOLESALE MORTGAGE",4.125,265000,360,05/2017,07/2017,80,80,2,44,782,Y,P,PU,1,P,VA,201,,FRM,719,,N
100842152779,C,OTHER,4.25,366000,360,04/2017,06/2017,80,80,1,46,793,N,P,SF,1,P,FL,330,,FRM,,,N
100844014420,C,FRANKLIN AMERICAN MORTGAGE COMPANY,5,95000,360,03/2017,05/2017,61,61,1,38,644,N,C,SF,1,P,MS,395,,FRM,,,N
100846006601,R,QUICKEN LOANS INC.,4.375,174000,360,04/2017,06/2017,65,65,2,16,725,N,R,SF,1,P,AZ,853,,FRM,811,,N
100846764906,R,OTHER,4.313,162000,360,05/2017,06/2017,95,95,2,43,767,Y,P,SF,1,P,WI,531,30,FRM,749,1,N
100851526545,C,PMTT4,4.25,351000,360,04/2017,06/2017,95,95,1,37,751,N,P,PU,1,P,PA,194,30,FRM,,1,N
100851543360,R,OTHER,4.375,107000,360,02/2017,04/2017,50,50,1,45,674,N,C,SF,1,P,IL,601,,FRM,,,N
100856681172,B,QUICKEN LOANS INC.,4.25,193000,360,04/2017,06/2017,56,56,1,32,791,N,C,SF,1,P,CA,945,,FRM,,,N
100857476660,C,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",4.125,288000,360,04/2017,06/2017,81,81,1,34,777,Y,P,CO,1,P,VA,221,12,FRM,,1,N
100857988173,C,"FLAGSTAR BANK, FSB",5.125,180000,360,03/2017,05/2017,73,73,1,41,712,N,P,SF,2,I,FL,339,,FRM,,,N
100858019192,R,QUICKEN LOANS INC.,4.75,105000,360,03/2017,05/2017,62,62,1,35,821,N,C,SF,1,P,TX,751,,FRM,,,N
100861582471,R,OTHER,4.75,203000,360,05/2017,07/2017,90,90,2,45,796,Y,P,SF,1,P,UT,841,25,FRM,808,2,N
100862209800,B,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,4.25,212000,360,04/2017,06/2017,80,80,2,40,713,N,P,SF,1,P,CA,935,,FRM,720,,N
100863405796,R,OTHER,4.125,260000,360,02/2017,04/2017,70,70,2,16,809,N,R,PU,1,P,MD,206,,FRM,810,,N
100864132236,R,OTHER,5,280000,360,05/2017,07/2017,80,80,1,35,703,N,P,SF,1,I,CT,69,,FRM,,,N
100866776421,C,PENNYMAC CORP.,4,178000,360,03/2017,05/2017,80,80,2,18,777,Y,P,SF,1,P,IA,522,,FRM,746,,N
100867019581,C,FRANKLIN AMERICAN MORTGAGE COMPANY,4.125,257000,360,05/2017,07/2017,95,95,2,42,782,N,P,SF,1,P,PA,175,30,FRM,798,1,N
100867307167,R,OTHER,3.875,172000,240,05/2017,07/2017,80,80,2,27,799,N,P,SF,1,P,WI,547,,FRM,752,,N
100868718657,R,OTHER,3.875,500000,360,04/2017,06/2017,63,63,1,26,784,N,P,SF,1,P,WA,981,,FRM,,,N
100875284084,R,OTHER,3.25,92000,120,03/2017,05/2017,64,64,1,45,783,N,C,SF,1,P,OH,442,,FRM,,,N
100875703517,C,OTHER,4.375,385000,360,05/2017,07/2017,70,70,1,40,691,N,C,SF,1,P,CA,914,,FRM,,,N
100877513613,R,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,4.375,415000,360,03/2017,05/2017,95,95,2,35,762,N,P,PU,1,P,AZ,850,30,FRM,803,1,N
100879212676,R,QUICKEN LOANS INC.,4.5,220000,360,03/2017,05/2017,80,80,2,44,801,N,R,SF,1,P,OR,974,,FRM,796,,N
100883805355,R,OTHER,4,58000,360,06/2017,08/2017,55,55,2,20,734,N,C,SF,1,P,IL,612,,FRM,682,,N
100885020889,R,OTHER,3.5,100000,180,05/2017,07/2017,46,46,2,24,766,N,R,MH,1,P,NV,894,,FRM,784,,N
100885258906,R,QUICKEN LOANS INC.,4.375,113000,360,04/2017,06/2017,54,54,1,41,711,N,C,SF,1,P,MI,490,,FRM,,,N
100886632538,B,OTHER,4,336000,360,05/2017,07/2017,50,50,2,32,753,N,C,SF,1,P,CA,919,,FRM,753,,N
100889186395,R,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,4.375,131000,360,04/2017,06/2017,80,80,3,13,773,Y,P,PU,1,P,AL,352,,FRM,807,,N
100891047352,R,OTHER,3.625,331000,180,04/2017,06/2017,78,78,1,44,672,N,R,SF,1,P,MA,18,,FRM,,,N
100891135159,C,"WELLS FARGO BANK, N.A.",4,54000,240,03/2017,05/2017,95,95,1,22,,Y,P,SF,1,P,IN,478,25,FRM,,1,N
100895613099,R,OTHER,4.75,163000,360,05/2017,07/2017,95,95,1,44,674,Y,P,PU,1,P,GA,300,30,FRM,,1,N
100895949934,R,OTHER,5.125,27000,360,03/2017,05/2017,97,97,2,33,661,Y,P,SF,1,P,OH,436,35,FRM,688,2,N
100897681346,R,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",4.25,160000,240,02/2017,04/2017,80,80,1,16,791,N,C,PU,1,P,MD,211,,FRM,,,N
100897687791,C,OTHER,4.5,308000,360,03/2017,05/2017,38,38,2,43,801,N,R,PU,1,I,CA,950,,FRM,791,,N
100898068758,R,QUICKEN LOANS INC.,3.625,618000,180,03/2017,05/2017,31,31,2,28,813,N,C,SF,1,P,CA,902,,FRM,814,,N
100899004058,C,PMTT4,4.375,263000,360,04/2017,06/2017,75,75,1,29,809,N,P,CO,1,S,UT,841,,FRM,,,N
100901364722,R,QUICKEN LOANS INC.,3.5,100000,180,04/2017,06/2017,58,58,1,35,733,N,C,SF,1,P,FL,331,,FRM,,,N
100903642414,C,"WELLS FARGO BANK, N.A.",4.5,285000,360,05/2017,07/2017,69,69,2,15,781,N,C,SF,1,P,CA,960,,FRM,793,,N
100904458237,R,QUICKEN LOANS INC.,3.75,87000,180,05/2017,07/2017,52,52,1,35,774,N,R,SF,1,P,MN,562,,FRM,,,N
100907351224,C,OTHER,3.5,264000,180,03/2017,05/2017,46,46,1,15,785,N,R,PU,1,P,GA,303,,FRM,,,N
100907998574,R,OTHER,4.25,273000,360,04/2017,06/2017,80,80,2,31,798,N,P,PU,1,P,TN,371,,FRM,780,,N
100908419282,R,OTHER,4.75,180000,360,04/2017,06/2017,78,78,2,45,814,N,P,CO,1,S,FL,341,,FRM,813,,N
100911475411,R,OTHER,4.625,251000,360,05/2017,07/2017,85,85,1,45,710,N,P,CO,1,P,CA,907,12,FRM,,2,N
100914902980,C,OTHER,4.375,259000,360,03/2017,05/2017,90,90,2,44,738,N,P,SF,1,P,NE,681,25,FRM,713,1,N
100917359731,R,OTHER,3.5,84000,180,05/2017,07/2017,40,40,2,24,808,N,R,SF,1,P,WA,988,,FRM,816,,N
100918973943,C,SUNTRUST BANK,4.75,81000,360,04/2017,06/2017,75,75,2,43,746,Y,P,CO,1,P,FL,349,,FRM,680,,N
100919001140,R,DITECH FINANCIAL LLC,3.75,165000,120,03/2017,05/2017,50,50,2,18,783,N,R,PU,1,P,TX,750,,FRM,802,,N
100922452023,B,OTHER,4.25,140000,360,05/2017,07/2017,39,39,1,34,717,N,C,PU,1,P,CA,917,,FRM,,,N
100925440167,R,OTHER,3.95,220000,360,05/2017,07/2017,80,80,1,19,808,Y,P,PU,1,P,GA,300,,FRM,,,N
100925482170,R,"WELLS FARGO BANK, N.A.",4,352000,360,05/2017,07/2017,95,95,2,34,740,N,P,PU,1,P,TX,782,30,FRM,760,1,Y
100929340608,R,OTHER,4.5,126000,360,04/2017,06/2017,80,80,1,30,809,N,P,CO,1,S,NC,284,,FRM,,,N
100930643258,R,OTHER,4.99,567000,360,04/2017,07/2017,66,66,1,41,636,N,C,PU,1,P,CA,954,,FRM,,,N
100934132882,C,"WELLS FARGO BANK, N.A.",4,273000,360,05/2017,07/2017,80,80,2,30,813,N,P,PU,1,P,TX,786,,FRM,803,,N
100936004609,R,OTHER,4.375,194000,360,04/2017,06/2017,90,90,2,14,740,Y,P,PU,1,P,GA,302,25,FRM,800,1,N
100936047450,R,OTHER,3.625,187000,180,05/2017,07/2017,49,49,2,24,776,N,C,SF,1,P,TX,752,,FRM,768,,N
100936117188,R,OTHER,4.25,468000,360,03/2017,05/2017,80,80,2,37,783,N,P,CO,1,P,VA,222,,FRM,779,,N
100937654161,R,OTHER,4.375,250000,360,03/2017,05/2017,34,34,2,28,793,N,P,SF,1,P,CA,930,,FRM,789,,N
100940673547,R,"CITIMORTGAGE, INC.",4.5,300000,360,03/2017,05/2017,60,60,2,42,777,N,P,CO,1,I,CA,916,,FRM,786,,N
100940996667,R,OTHER,4.375,59000,360,03/2017,05/2017,75,75,1,32,779,N,C,SF,1,I,OH,448,,FRM,,,N
100943100213,R,OTHER,4.75,381000,360,04/2017,06/2017,80,95,2,39,747,N,P,PU,1,P,TX,750,,FRM,750,,N
100950048200,R,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",4.125,360000,360,03/2017,05/2017,47,47,2,44,773,N,P,SF,1,P,NY,105,,FRM,783,,N
100952349143,B,FRANKLIN AMERICAN MORTGAGE COMPANY,3.75,176000,120,04/2017,06/2017,69,69,2,36,746,N,C,SF,1,P,AR,722,,FRM,756,,N
100952387424,R,OTHER,3.5,204000,360,05/2016,07/2016,79,79,1,25,737,N,P,SF,1,P,TX,781,,FRM,,,N
100955845818,R,OTHER,4.625,463000,360,03/2017,05/2017,95,95,1,42,752,Y,P,SF,1,P,HI,967,30,FRM,,1,N
100958037454,B,OTHER,4.25,271000,360,05/2017,07/2017,95,95,1,44,728,N,P,SF,1,P,CA,937,30,FRM,,2,N
100961200847,C,"WELLS FARGO BANK, N.A.",4.5,228000,360,05/2017,07/2017,97,97,1,37,812,Y,P,SF,1,P,UT,841,25,FRM,,2,N
100964928027,R,QUICKEN LOANS INC.,4.75,442000,360,04/2017,06/2017,60,60,1,41,632,N,C,SF,3,I,NY,112,,FRM,,,N
100964942028,C,OTHER,4,294000,360,03/2017,05/2017,95,95,2,25,780,N,R,SF,1,P,LA,714,30,FRM,763,1,N
100965127535,R,OTHER,3.375,267000,180,05/2017,07/2017,80,80,2,26,767,N,P,SF,1,P,IN,478,,FRM,771,,N
100968348944,B,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,3.375,320000,180,05/2017,07/2017,59,59,2,34,621,N,P,PU,1,P,IN,460,,FRM,744,,N
100968668764,R,QUICKEN LOANS INC.,3.99,84000,180,03/2017,05/2017,60,60,1,26,700,N,C,SF,1,P,OH,434,,FRM,,,N
100971534569,R,U.S. BANK N.A.,4,304000,360,04/2017,06/2017,75,75,1,18,765,N,P,SF,1,P,CO,802,,FRM,,,N
100977158017,R,OTHER,3.375,176000,180,03/2017,05/2017,95,95,1,29,784,Y,P,CO,1,P,VA,220,25,FRM,,1,N
100982012610,R,GUILD MORTGAGE COMPANY,4,136000,360,05/2017,07/2017,90,90,1,34,781,N,P,SF,1,S,ID,834,25,FRM,,1,N
100982776207,R,QUICKEN LOANS INC.,4.5,489000,360,03/2017,05/2017,68,68,2,36,736,N,C,SF,1,P,CA,928,,FRM,800,,N
100983065621,R,OTHER,4.75,176000,360,06/2017,08/2017,75,75,1,30,758,N,P,SF,3,I,WY,820,,FRM,,,N
100984660045,R,OTHER,4.125,215000,360,05/2017,07/2017,85,85,1,28,809,N,P,SF,1,P,MO,641,12,FRM,,1,N
100984697936,B,"UNITED SHORE FINANCIAL SERVICES, LLC D/B/A UNITED WHOLESALE MORTGAGE",3.875,160000,180,05/2017,07/2017,75,75,2,35,731,N,C,SF,1,P,IL,604,,FRM,743,,N
100991565978,R,OTHER,4.5,190000,360,05/2017,07/2017,80,80,1,41,776,N,P,CO,1,P,FL,339,,FRM,,,N
100993737331,B,OTHER,3.25,226000,180,06/2017,08/2017,80,80,1,30,721,Y,P,CO,1,P,NJ,88,,FRM,,,N
100996863495,R,"LOANDEPOT.COM, LLC",4.75,219000,360,04/2017,06/2017,69,69,1,42,684,N,C,SF,1,P,CA,935,,FRM,,,N
100998280628,R,QUICKEN LOANS INC.,3.99,399000,360,04/2017,06/2017,58,58,1,39,750,N,C,CO,1,P,MA,21,,FRM,,,N
100998390773,B,PMTT4,4.25,399000,360,04/2017,06/2017,70,70,2,45,701,N,R,SF,1,P,CA,906,,FRM,804,,N
100999961382,C,OTHER,4.125,257000,360,04/2017,06/2017,97,97,2,41,797,Y,P,SF,1,P,IA,505,35,FRM,799,1,N
101001698666,C,OTHER,5.125,54000,360,02/2017,04/2017,90,90,1,41,634,Y,P,SF,1,P,TN,381,25,FRM,,1,N
101004485690,R,OTHER,3.5,400000,180,03/2017,05/2017,26,26,1,21,770,N,C,SF,1,P,CA,945,,FRM,,,N
101004603792,C,"WELLS FARGO BANK, N.A.",4.75,183000,360,03/2017,05/2017,90,90,1,35,671,Y,P,SF,1,P,AZ,852,25,FRM,,1,N
101005035129,C,"WELLS FARGO BANK, N.A.",4.5,420000,360,02/2017,04/2017,60,90,1,24,808,Y,P,PU,1,P,TX,773,,FRM,,,N
101007640963,R,OTHER,3.749,100000,180,05/2017,07/2017,26,26,1,14,743,N,C,PU,1,P,NV,891,,FRM,,,N
101008819840,C,PENNYMAC CORP.,4.5,340000,360,02/2017,04/2017,80,80,2,47,771,N,P,SF,1,P,NY,109,,FRM,721,,N
101012846637,R,"WELLS FARGO BANK, N.A.",4.5,434000,360,05/2017,07/2017,70,70,2,45,794,N,P,SF,3,I,CA,922,,FRM,771,,N
101014308524,R,"NATIONSTAR MORTGAGE, LLC",4.5,419000,360,04/2017,06/2017,62,62,1,44,723,N,C,PU,1,P,VA,223,,FRM,,,N
101014409781,B,PENNYMAC CORP.,4.5,380000,360,05/2017,07/2017,95,95,1,35,768,N,P,SF,1,P,CA,902,30,FRM,,2,N
101014590321,R,OTHER,5.375,146000,360,04/2017,06/2017,89,89,1,23,752,N,R,SF,1,P,GA,305,25,FRM,,2,N
101017589563,C,FRANKLIN AMERICAN MORTGAGE COMPANY,4.5,241000,360,04/2017,06/2017,90,90,1,38,751,N,P,SF,1,P,PA,178,25,FRM,,1,N
101018384550,R,OTHER,4.25,226000,360,03/2017,05/2017,79,79,1,25,701,N,R,PU,1,P,TX,775,,FRM,,,N
101019332566,C,OTHER,4.25,175000,240,04/2017,06/2017,80,93,1,40,744,N,R,SF,1,P,KY,400,,FRM,,,N
101019851605,R,"NATIONSTAR MORTGAGE, LLC",4.125,129000,360,04/2017,06/2017,59,59,1,33,745,N,R,SF,1,P,CO,809,,FRM,,,N
101023920578,C,PMTT4,4.625,390000,360,03/2017,05/2017,80,80,2,37,797,N,P,SF,1,I,CA,934,,FRM,801,,N
101024924558,R,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",4.125,256000,180,03/2017,05/2017,80,80,2,41,689,N,C,PU,1,P,MI,480,,FRM,722,,N
101025677925,B,"LOANDEPOT.COM, LLC",3.5,276000,360,03/2017,05/2017,80,80,2,33,766,N,R,SF,1,P,CA,921,,FRM,749,,N
101030239379,R,OTHER,4.25,187000,360,03/2017,05/2017,68,68,2,33,781,N,R,PU,1,P,FL,341,,FRM,686,,N
101035970028,C,"AMERIHOME MORTGAGE COMPANY, LLC",4.625,176000,360,03/2017,05/2017,90,90,2,38,726,N,P,SF,1,S,TN,371,25,FRM,805,2,N
101037540517,R,OTHER,4.125,582000,360,04/2017,06/2017,50,50,1,38,698,N,R,CO,1,P,CA,904,,FRM,,,N
101038926000,R,OTHER,5,84000,360,05/2017,07/2017,80,80,1,37,748,N,P,SF,1,I,GA,302,,FRM,,,N
101040632270,R,QUICKEN LOANS INC.,4.125,162000,240,02/2017,04/2017,70,70,2,32,688,N,C,SF,1,P,PA,190,,FRM,790,,N
101041147156,R,"LOANDEPOT.COM, LLC",5,85000,360,04/2017,06/2017,65,65,1,43,764,N,R,SF,1,I,SD,577,,FRM,,,N
101041503443,R,OTHER,4.5,632000,360,05/2017,07/2017,49,76,2,33,808,N,P,PU,1,P,CA,950,,FRM,809,,N
101041841986,R,"CALIBER HOME LOANS, INC.",4.99,107000,360,03/2017,05/2017,97,97,1,22,748,Y,P,CO,1,P,GA,303,25,FRM,,2,N
101045066720,R,OTHER,3.5,108000,180,05/2017,07/2017,80,80,1,27,727,N,P,PU,1,P,IL,605,,FRM,,,N
101045472002,R,OTHER,4.25,131000,360,04/2017,06/2017,95,95,2,21,813,N,P,PU,1,P,NC,287,30,FRM,787,1,N
101054446461,R,OTHER,4.5,283000,360,03/2017,05/2017,80,80,1,28,809,N,P,PU,1,P,CO,809,,FRM,,,N
101056549401,R,OTHER,3.5,40000,180,06/2017,08/2017,31,31,1,45,795,N,P,SF,1,P,MI,480,,FRM,,,N
101056975458,C,OTHER,4.125,103000,360,04/2017,06/2017,59,59,1,36,806,N,R,PU,1,P,TX,770,,FRM,,,N
101058636660,C,OTHER,4.25,223000,360,03/2017,05/2017,80,80,2,25,781,N,P,PU,1,P,TN,379,,FRM,723,,N
101058806979,R,OTHER,3.875,200000,120,04/2017,06/2017,40,40,2,18,804,N,C,SF,1,P,CA,957,,FRM,800,,N
101059985422,C,"WELLS FARGO BANK, N.A.",4.375,187000,360,03/2017,05/2017,67,67,1,41,741,N,C,SF,1,P,CA,953,,FRM,,,N
101061300794,R,OTHER,4,180000,180,04/2017,06/2017,53,53,1,30,644,N,C,SF,1,P,NJ,70,,FRM,,,N
101061373702,R,OTHER,3.625,135000,180,04/2017,06/2017,49,49,2,19,797,N,R,SF,1,P,CA,924,,FRM,737,,N
101064998173,R,OTHER,4.375,161000,360,04/2017,06/2017,67,67,2,40,649,Y,P,PU,1,P,TN,370,,FRM,642,,N
101065666629,R,OTHER,4.625,293000,360,06/2017,08/2017,69,69,1,46,674,N,C,CO,1,P,FL,330,,FRM,,,N
101066819705,R,OTHER,4.625,152000,240,04/2017,06/2017,79,79,1,33,649,N,R,SF,1,P,GA,300,,FRM,,,N
101066947585,R,OTHER,4.25,130000,360,05/2017,07/2017,65,65,1,20,783,N,P,CO,1,P,MN,554,,FRM,,,N
101067013084,R,"WELLS FARGO BANK, N.A.",4.25,80000,360,05/2017,07/2017,34,34,2,38,787,N,P,PU,1,P,FL,335,,FRM,808,,N
101067353689,B,OTHER,3.625,129000,180,06/2017,08/2017,53,53,1,27,744,N,R,CO,1,P,CA,913,,FRM,,,N
101068351368,C,FRANKLIN AMERICAN MORTGAGE COMPANY,4.25,120000,360,03/2017,05/2017,80,80,1,43,790,Y,P,PU,1,P,FL,329,,FRM,,,N
101068550490,B,OTHER,4,424000,360,05/2017,07/2017,85,85,2,26,814,N,P,PU,1,P,VA,221,12,FRM,811,1,N
101069668148,R,OTHER,3.75,424000,360,05/2017,07/2017,58,58,2,32,762,N,P,PU,1,P,CO,803,,FRM,785,,N
101070612782,R,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",4.375,203000,360,04/2017,06/2017,90,90,1,49,793,N,P,SF,1,P,IL,604,25,FRM,,1,N
101071861680,C,OTHER,4.375,67000,360,05/2017,07/2017,95,95,2,32,700,Y,P,SF,1,P,IA,526,30,FRM,649,1,N
101073180220,R,OTHER,4.875,584000,360,03/2017,05/2017,95,95,2,39,680,Y,P,CO,1,P,CA,926,30,FRM,684,1,N
101074663272,R,OTHER,4.375,424000,360,03/2017,05/2017,89,89,2,37,768,N,P,SF,1,P,OR,970,25,FRM,791,1,N
101081136022,B,"CITIMORTGAGE, INC.",4.25,275000,360,05/2017,07/2017,47,47,2,43,684,N,C,SF,1,P,CA,928,,FRM,697,,N
101083732800,C,"AMERIHOME MORTGAGE COMPANY, LLC",3.375,203000,180,05/2017,08/2017,77,77,1,35,818,N,R,SF,1,P,MO,640,,FRM,,,N
101087850177,R,SUNTRUST BANK,3.3,236000,180,05/2017,07/2017,66,66,1,27,641,N,R,PU,1,P,FL,331,,FRM,,,N
101088741771,R,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",4.125,300000,240,03/2017,05/2017,32,32,2,41,763,N,R,SF,1,P,CA,915,,FRM,789,,N
101089476045,C,OTHER,4.375,212000,360,04/2017,06/2017,90,90,1,40,756,Y,P,SF,1,P,NJ,88,25,FRM,,1,N
101089535915,R,OTHER,4.125,375000,360,03/2017,05/2017,80,80,2,31,807,N,P,PU,1,S,WA,983,,FRM,807,,N
101095129945,R,DITECH FINANCIAL LLC,4.75,143000,360,03/2017,05/2017,55,55,1,40,625,N,C,PU,1,P,NV,891,,FRM,,,N
101095598263,C,OTHER,4.375,92000,360,05/2017,07/2017,71,80,1,41,747,Y,P,SF,1,P,WI,535,,FRM,,,N
101096762458,B,"FLAGSTAR BANK, FSB",3.5,205000,180,05/2017,07/2017,54,54,2,35,673,N,C,PU,1,P,CO,801,,FRM,678,,N
101098436689,B,QUICKEN LOANS INC.,4.25,265000,360,04/2017,06/2017,70,70,2,41,691,N,R,SF,2,P,NJ,70,,FRM,749,,N
101099412183,C,OTHER,4.375,125000,360,04/2017,06/2017,90,90,1,45,729,N,R,PU,1,P,SC,295,25,FRM,,1,N
101099992441,R,OTHER,4.375,98000,360,05/2017,07/2017,90,90,1,43,796,Y,P,SF,1,P,WA,986,25,FRM,,1,N
101100303073,C,DITECH FINANCIAL LLC,3,390000,180,05/2017,07/2017,73,73,2,42,782,N,R,PU,1,P,SC,299,,FRM,793,,N
101102819797,R,OTHER,4,95000,360,03/2017,05/2017,95,95,1,33,809,Y,P,SF,1,P,MI,482,30,FRM,,1,N
101102824020,R,OTHER,4.375,162000,360,05/2017,07/2017,95,95,2,31,675,Y,P,SF,1,P,WI,532,25,FRM,682,1,N
101104794856,R,SUNTRUST BANK,4.1,359000,360,03/2017,05/2017,80,80,1,36,776,N,P,PU,1,P,MD,208,,FRM,,,N
101106373810,R,OTHER,3.625,399000,240,04/2017,06/2017,86,86,1,31,773,N,R,SF,1,P,CA,945,12,FRM,,1,N
101108089557,C,OTHER,4.5,84000,360,04/2017,06/2017,60,60,1,35,732,N,R,SF,1,I,IA,523,,FRM,,,N
101110605645,R,OTHER,4.125,401000,360,04/2017,06/2017,85,85,2,18,809,N,P,PU,1,P,AL,368,12,FRM,782,2,N
